GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
06037109200,2669,1006,94,486,1005,0.0352192,0.3769202,0.1820907,0.3765455
06037109300,3085,1010,125,511,1352,0.0405186,0.3273906,0.1656402,0.4382496
06037109400,3720,519,89,231,2790,0.0239247,0.1395161,0.0620968,0.75
06037109500,4303,134,40,105,3983,0.0092958,0.0311411,0.0244016,0.9256333
06037109601,5020,753,148,508,3516,0.0294821,0.15,0.1011952,0.7003984
06037109603,4252,761,191,459,2761,0.04492,0.1789746,0.1079492,0.6493415
06037109604,2975,708,116,286,1800,0.0389916,0.2379832,0.0961345,0.605042
06037109700,4493,1585,122,752,1890,0.0271533,0.352771,0.1673715,0.4206544
06037109800,4565,1518,135,671,2110,0.0295728,0.3325301,0.146988,0.4622125
06037111100,2982,1171,103,456,1170,0.0345406,0.3926895,0.1529175,0.3923541
06037111201,3410,1703,92,498,995,0.0269795,0.4994135,0.1460411,0.2917889
06037111202,5213,2617,147,843,1421,0.0281987,0.5020142,0.1617111,0.2725878
06037111204,5859,3443,224,1154,871,0.0382318,0.5876429,0.1969619,0.1486602
06037111205,3375,1397,154,1096,610,0.0456296,0.4139259,0.3247407,0.1807407
06037111206,4490,2556,133,730,931,0.0296214,0.569265,0.1625835,0.2073497
06037111301,7087,2663,389,1627,2080,0.0548892,0.3757584,0.2295753,0.2934951
06037111302,4786,2402,278,905,1023,0.0580861,0.5018805,0.1890932,0.2137484
06037111400,7560,3122,252,1533,2427,0.0333333,0.412963,0.2027778,0.3210317
06037113101,3558,2150,110,437,731,0.0309162,0.6042721,0.1228218,0.2054525
06037113102,2828,1888,93,388,369,0.0328854,0.6676096,0.1371994,0.1304809
06037113211,3787,2628,103,458,466,0.0271983,0.693953,0.1209401,0.1230525
06037113212,3069,1569,151,528,712,0.0492017,0.5112414,0.172043,0.2319974
06037113213,4316,2040,187,881,1035,0.0433272,0.4726599,0.2041242,0.2398054
06037113231,2125,1496,79,223,239,0.0371765,0.704,0.1049412,0.1124706
06037113232,3894,2380,155,522,692,0.0398048,0.6111967,0.1340524,0.1777093
06037113233,6655,1608,459,791,3622,0.0689707,0.2416228,0.118858,0.5442524
06037113234,4667,1113,160,724,2565,0.0342833,0.238483,0.1551318,0.5496036
06037113237,3661,2081,191,653,588,0.0521715,0.5684239,0.1783666,0.1606119
06037113301,2201,1263,88,346,431,0.0399818,0.5738301,0.1572013,0.1958201
06037113303,4006,2019,132,574,1167,0.0329506,0.503994,0.1432851,0.291313
06037113321,5473,2091,299,1092,1804,0.0546318,0.3820574,0.1995249,0.3296181
06037113322,3947,2164,146,741,760,0.0369901,0.5482645,0.1877375,0.1925513
06037113401,5543,2002,200,949,2232,0.0360815,0.3611763,0.1712069,0.40267
06037113421,6109,1414,533,796,3176,0.0872483,0.2314618,0.1302996,0.5198887
06037113422,6057,1912,339,1061,2556,0.0559683,0.3156678,0.1751692,0.4219911
06037115101,5046,3272,195,531,899,0.0386445,0.6484344,0.1052319,0.1781609
06037115103,2776,744,672,341,879,0.2420749,0.2680115,0.1228386,0.3166427
06037115104,4444,1916,360,964,1003,0.0810081,0.4311431,0.2169217,0.2256976
06037115201,6437,2584,405,1559,1590,0.0629175,0.4014292,0.2421936,0.2470095
06037115202,4828,1767,305,951,1602,0.0631732,0.3659901,0.196976,0.3318144
06037115301,4156,2312,184,777,729,0.0442733,0.5563041,0.1869586,0.175409
06037115302,4351,470,69,301,3455,0.0158584,0.1080211,0.0691795,0.7940703
06037115401,5776,1928,303,700,2667,0.0524584,0.333795,0.1211911,0.4617382
06037115403,3188,688,127,458,1829,0.0398369,0.2158093,0.1436637,0.5737139
06037115404,2913,708,208,410,1496,0.0714041,0.2430484,0.1407484,0.5135599
06037117101,4796,494,251,1769,2186,0.0523353,0.1030025,0.368849,0.4557965
06037117102,2631,571,111,351,1544,0.0421893,0.2170277,0.1334094,0.5868491
06037117201,4352,580,223,543,2875,0.0512408,0.1332721,0.1247702,0.6606158
06037117202,2471,766,110,621,911,0.0445164,0.309996,0.2513153,0.3686766
06037117301,3851,1741,194,549,1252,0.0503765,0.4520904,0.1425604,0.3251104
06037117302,4914,2458,219,746,1335,0.0445665,0.5002035,0.1518112,0.2716728
