GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
26163512100,3532,60,3365,7,23,0.952718,0.0169875,0.0019819,0.0065119
26163512200,1321,15,1282,1,6,0.9704769,0.011355,7.57e-4,0.004542
26163512300,1677,28,1564,13,14,0.9326178,0.0166965,0.0077519,0.0083482
26163512400,1481,22,1427,0,17,0.9635381,0.0148548,0,0.0114787
26163512600,1953,60,1856,0,14,0.9503328,0.030722,0,0.0071685
26163512900,1639,91,1467,3,25,0.895058,0.0555217,0.0018304,0.0152532
26163513200,1843,220,1559,3,20,0.8459034,0.1193706,0.0016278,0.0108519
26163513300,2300,236,1972,11,18,0.8573913,0.1026087,0.0047826,0.0078261
26163513600,1469,64,1377,0,7,0.9373724,0.0435671,0,0.0047651
26163513700,3256,51,3109,16,10,0.9548526,0.0156634,0.004914,0.0030713
26163513900,2235,26,2154,1,13,0.9637584,0.0116331,4.474e-4,0.0058166
26163514100,3486,52,3339,4,22,0.9578313,0.0149168,0.0011474,0.006311
26163514200,2726,15,2651,1,16,0.9724872,0.0055026,3.668e-4,0.0058694
26163514300,3075,63,2956,1,24,0.9613008,0.0204878,3.252e-4,0.0078049
26163514500,1416,18,1367,7,9,0.9653955,0.0127119,0.0049435,0.0063559
26163515200,2032,116,1865,4,13,0.917815,0.0570866,0.0019685,0.0063976
26163515300,3117,198,2814,14,32,0.9027911,0.0635226,0.0044915,0.0102663
26163515400,1344,426,826,7,24,0.6145833,0.3169643,0.0052083,0.0178571
26163515600,1385,31,1305,0,10,0.9422383,0.0223827,0,0.0072202
26163515700,3295,380,2765,24,31,0.8391502,0.1153263,0.0072838,0.0094082
26163515900,1643,34,1587,0,6,0.965916,0.0206939,0,0.0036519
26163516000,3052,66,2906,1,16,0.9521625,0.0216252,3.277e-4,0.0052425
26163516100,734,11,706,2,2,0.9618529,0.0149864,0.0027248,0.0027248
26163516200,774,20,739,0,5,0.9547804,0.0258398,0,0.0064599
26163516300,890,51,821,2,6,0.9224719,0.0573034,0.0022472,0.0067416
26163516400,1095,83,969,7,12,0.8849315,0.0757991,0.0063927,0.0109589
26163516500,1404,243,1061,15,30,0.755698,0.1730769,0.0106838,0.0213675
26163516600,2058,13,1963,1,16,0.9538387,0.0063168,4.859e-4,0.0077745
26163516700,2977,30,2849,9,15,0.9570037,0.0100773,0.0030232,0.0050386
26163516800,1041,31,961,0,15,0.9231508,0.0297791,0,0.0144092
26163516900,1991,92,1836,2,15,0.9221497,0.0462079,0.0010045,0.0075339
26163517000,2360,568,1620,86,38,0.6864407,0.240678,0.0364407,0.0161017
26163517100,1062,106,909,8,18,0.8559322,0.0998117,0.007533,0.0169492
26163517200,1438,381,908,49,53,0.6314325,0.2649513,0.0340751,0.0368567
26163517300,1943,289,1557,21,23,0.8013381,0.1487391,0.010808,0.0118374
26163517500,2192,225,1778,96,25,0.8111314,0.102646,0.0437956,0.0114051
26163518000,2264,534,1551,62,61,0.6850707,0.2358657,0.0273852,0.0269435
26163518400,630,105,472,5,17,0.7492063,0.1666667,0.0079365,0.0269841
26163518500,1210,161,990,0,26,0.8181818,0.1330579,0,0.0214876
26163518600,797,17,758,0,3,0.9510665,0.021329999999999998,0,0.0037641
26163518800,795,45,721,3,10,0.9069182,0.0566038,0.0037736,0.0125786
26163518900,1854,41,1757,5,11,0.9476807,0.0221143,0.0026969,0.0059331
26163520200,2571,1061,819,493,58,0.3185531,0.4126799,0.1917542,0.0225593
26163520300,2038,713,858,340,47,0.421001,0.3498528,0.1668302,0.0230618
26163520400,1835,385,1247,88,41,0.679564,0.2098093,0.0479564,0.0223433
26163520700,2233,480,1572,39,69,0.7039857,0.2149575,0.0174653,0.0309001
26163520800,1616,538,857,124,45,0.5303218,0.3329208,0.0767327,0.0278465
26163521100,2080,335,602,1,1067,0.2894231,0.1610577,4.808e-4,0.5129808
26163521300,954,70,744,1,128,0.7798742,0.0733753,0.0010482,0.1341719
26163521400,1192,448,487,14,206,0.408557,0.3758389,0.011745,0.1728188
26163521500,1690,288,1243,2,103,0.735503,0.1704142,0.0011834,0.0609467
