GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
261635002003002,52,3,49,0,0,0.9423077,0.0576923,0,0
261635002003003,51,3,47,0,0,0.9215686,0.0588235,0,0
261635002003004,97,3,88,0,2,0.9072165,0.0309278,0,0.0206186
261635002003005,74,5,63,0,1,0.8513514,0.0675676,0,0.0135135
261635002003000,78,6,72,0,0,0.9230769,0.0769231,0,0
261635002003006,68,8,55,0,1,0.8088235,0.1176471,0,0.0147059
261635002003007,111,9,94,4,0,0.8468468,0.0810811,0.036036,0
261635002003008,64,16,45,0,0,0.703125,0.25,0,0
261635002004004,81,8,73,0,0,0.9012346,0.0987654,0,0
261635002004006,121,9,112,0,0,0.9256198,0.0743802,0,0
261635002004007,65,3,62,0,0,0.9538462,0.0461538,0,0
261635002004008,82,8,73,0,0,0.8902439,0.097561,0,0
261635002004009,110,5,104,0,0,0.9454545,0.0454545,0,0
261635002004000,33,1,32,0,0,0.969697,0.030303,0,0
261635002004003,68,0,67,1,0,0.9852941,0,0.014706,0
261635002004001,19,3,15,0,0,0.7894737,0.1578947,0,0
261635002004002,69,7,62,0,0,0.8985507,0.1014493,0,0
261635002004005,89,6,82,0,0,0.9213483,0.0674157,0,0
261635002004010,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635003001010,84,10,68,0,0,0.8095238,0.1190476,0,0
261635003001000,82,2,79,1,0,0.9634146,0.0243902,0.012195,0
261635003001013,95,2,93,0,0,0.9789474,0.0210526,0,0
261635003001001,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635003001005,61,1,60,0,0,0.9836066,0.0163934,0,0
261635003001002,86,3,82,0,0,0.9534884,0.0348837,0,0
261635003001012,81,0,81,0,0,1,0,0,0
261635003001003,82,3,79,0,0,0.9634146,0.0365854,0,0
261635003001004,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
