GEOID,nhblk,nhwhite,nhasn,hisp,noth,tpop,pblk,pwht,pasn,phisp,poth,ppov,pu18,p2234,pcol,pfb,NAME,nhwhitec,nhasnc,nhblkc,nothc,hispc,tpopc,pwhtc,pasnc,pblkc,pothc,phispc
48015760100,253,1152,0,966,140,2511,0.10075667064914377,0.45878136200716846,0,0.3847072879330944,0.05575467941059339,0.0946271050521251,0.2477100756670649,0.14774990043807248,0.11423650975889782,0.06172839506172839,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48015760200,655,3144,14,2527,27,6367,0.10287419506832103,0.49379613632794095,0.002198837757185488,0.39689021517198053,0.004240615674572012,0.24956507986715168,0.3296686037380242,0.09894769907334694,0.2274256144890039,0.17009580650227737,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48015760300,455,4143,0,2061,146,6805,0.0668626010286554,0.6088170462894931,0,0.3028655400440852,0.021454812637766347,0.0613032507050616,0.22321822189566495,0.1801616458486407,0.13682219419924338,0.11667891256429096,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48015760400,287,2814,44,326,22,3493,0.08216432865731463,0.8056112224448898,0.01259662181505869,0.09332951617520756,0.006298310907529345,0.16142073346809124,0.1729172630976238,0.09332951617520756,0.2532088681446908,0.038935012882908675,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48015760501,152,3968,0,649,167,4936,0.03079416531604538,0.8038897893030794,0,0.13148298217179902,0.03383306320907618,0.07611877875365956,0.25243111831442466,0.10595623987034036,0.35779011984799763,0.055915721231766614,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48015760502,799,3312,0,1069,0,5180,0.15424710424710425,0.6393822393822394,0,0.20637065637065638,0,0.14310544611819234,0.19111969111969113,0.2138996138996139,0.23461968680089484,0.12702702702702703,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660100,349,3176,307,744,205,4781,0.07299728090357666,0.6642961723488809,0.06421250784354737,0.15561597992051873,0.04287805898347626,0.021961932650073207,0.232796486090776,0.12298682284040996,0.35456161137440756,0.09286760092030956,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660200,461,4200,349,1251,41,6302,0.0731513805141225,0.6664550936210727,0.05537924468422723,0.19850841002856237,0.006505871152015234,0.07602905569007264,0.2826086956521739,0.12567438908283085,0.4091277342695112,0.07108854331958109,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660300,1064,6571,393,2942,119,11089,0.0959509423753269,0.5925692127333393,0.03544052664802958,0.26530796284606367,0.01073135539724051,0.030759401241328952,0.28379475155559564,0.14563982324826405,0.36377774635939486,0.06357651726936604,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660400,879,5504,937,2800,187,10307,0.08528184728825071,0.5340060153293877,0.09090909090909091,0.2716600368681479,0.01814300960512273,0.13229420360448124,0.3319103521878335,0.19578926942854372,0.4426481909160893,0.14262151935577763,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660500,624,4779,484,3991,216,10094,0.061818902318208836,0.47344957400435905,0.04794927679809788,0.39538339607687734,0.021398850802456904,0.060035664751337425,0.2851198731919952,0.19863285119873192,0.30411877394636017,0.1325539924707747,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660601,2543,5261,2443,2009,405,12661,0.20085301319011137,0.4155279993681384,0.19295474291130243,0.15867624990127163,0.03198799462917621,0.0408228352734811,0.24200300134270594,0.14698680988863438,0.5433988929454717,0.20456520022115157,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48039660602,11893,11222,8261,8695,812,40883,0.2909033094440232,0.27449061957292764,0.20206442775725852,0.21268008707775848,0.01986155614803219,0.038559842713197345,0.2947679964777536,0.22165692341560062,0.5538838612368024,0.24555438690898418,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
