County,GEOID,pcol,pnhwhite,pnhasn,pnhblk,phisp
"Alameda County, California",06001,0.438878304540012,0.32208895966225154,0.2874028528210651,0.10742598711965709,0.22523172651209028
"Alpine County, California",06003,0.2974683544303797,0.6458852867830424,0.006650041562759767,0.014962593516209476,0.09725685785536159
"Amador County, California",06005,0.21512558268976553,0.7926606980110438,0.015145016887363963,0.020479279472470916,0.13249879375971693
"Butte County, California",06007,0.26145642162124727,0.7290359535893645,0.043746419960303186,0.014573259268139977,0.15738853588032345
"Calaveras County, California",06009,0.2021977372758692,0.8196728588232683,0.01169629580309386,0.005726080298288834,0.11465477062387643
"Colusa County, California",06011,0.1442652329749104,0.36314539783043903,0.015270729549792821,0.008659621025187393,0.5837795055635737
"Contra Costa County, California",06013,0.40269631282541707,0.44925503569527925,0.15800255945208502,0.08288851432527823,0.25274411352718484
"Del Norte County, California",06015,0.1490667216664948,0.6279790102762189,0.02700240507251658,0.01763719845492311,0.1924422418191094
"El Dorado County, California",06017,0.32983115886415965,0.7845471988757668,0.04218576872145502,0.0087236170040267,0.12582223062994893
"Fresno County, California",06019,0.19731980053044534,0.3022562411487666,0.09893620524981063,0.04653793268122386,0.5243244244639857
"Glenn County, California",06021,0.1270792495099412,0.5248970825129765,0.026096294970467157,0.007589045999642026,0.4083407911222481
"Humboldt County, California",06023,0.2822569112130513,0.7488375525869068,0.02868108347479519,0.010251679090707802,0.11060594877850764
"Imperial County, California",06025,0.13957224714196825,0.11320482115171958,0.012575226304061526,0.022833232383291564,0.8341325983429375
"Inyo County, California",06027,0.24491800801027733,0.6351744984885958,0.01483924154987634,0.009453146468810113,0.21401483924154988
"Kern County, California",06029,0.15664682616171038,0.35350227142375934,0.045301020547508716,0.05123676520124177,0.5222305927551141
"Kings County, California",06031,0.1278873484856735,0.3311160384331116,0.0363756217414754,0.05936757156269351,0.5374443179321228
"Lake County, California",06033,0.16156808446194454,0.7170138076293002,0.014353693735860831,0.021249707465480928,0.19416491145955223
"Lassen County, California",06035,0.12538346919098958,0.6613282491261518,0.014680648236415635,0.08605020654591675,0.1852240228789323
"Los Angeles County, California",06037,0.3076410453452649,0.26489764907445507,0.14274853394938036,0.07912141260169239,0.48423843442358694
"Madera County, California",06039,0.13129912159038373,0.35058922558922556,0.01965164465164465,0.030775705775705774,0.56884226884226885
"Marin County, California",06041,0.5708133693870344,0.7146165466577714,0.056569049207481195,0.020945961489797327,0.15869930295152868
"Mariposa County, California",06043,0.22636632200886264,0.810340921961717,0.009514101257220523,0.01217578434703817,0.10590100804168083
"Mendocino County, California",06045,0.24078819331819656,0.6592454598443375,0.017086300101717772,0.006400219436094952,0.24460267209161457
"Merced County, California",06047,0.1366227728429692,0.28831295112008676,0.0732749915853248,0.029945024122068887,0.5821085306107184
"Modoc County, California",06049,0.18270237917103097,0.7801929688366419,0.010646556504380615,0.007208605966507708,0.14605744704447154
"Mono County, California",06051,0.30644987617099173,0.6606914212548015,0.01977521695831555,0.003770095319391094,0.271375729122208
"Monterey County, California",06053,0.23649148231397138,0.3061167953311417,0.05589748088501459,0.024519355077014,0.5792510065378791
"Napa County, California",06055,0.33046080437666464,0.5319669515265416,0.07758590120917698,0.02040353178965285,0.3372008084819687
"Nevada County, California",06057,0.3440203425403958,0.8538112871567616,0.011028147068941096,0.00547360326999737,0.09216090977154535
"Orange County, California",06059,0.38447168065082515,0.41396519949198557,0.19508710267011764,0.015704337641991802,0.34196290278013675
"Placer County, California",06061,0.36901690582155744,0.7380401882741976,0.06818406069576116,0.014397909249703321,0.13635478752483432
"Plumas County, California",06063,0.21939444099593075,0.8352916043580432,0.007904293954283274,0.008545182653279214,0.08539841914120914
"Riverside County, California",06065,0.2118904265516415,0.36571985926126604,0.06108487381327065,0.05979188128078023,0.47984375384819206
"Sacramento County, California",06067,0.29283682319617754,0.45749699077169986,0.15103049351344122,0.09523605724220945,0.2278025946235121
"San Benito County, California",06069,0.18954747551894383,0.35574645054626647,0.02665712191713112,0.0074483134768454605,0.5890644441035605
"San Bernardino County, California",06071,0.19317209507960786,0.2982043352410405,0.06732069280885528,0.0796640612477725,0.5228104581325841
"San Diego County, California",06073,0.3649443046406632,0.46203038373281075,0.11470993539231317,0.047081233926116094,0.33360833093509845
"San Francisco County, California",06075,0.5479323462806149,0.4084404862871603,0.33866311527856685,0.050865303732775785,0.15267227684165585
"San Joaquin County, California",06077,0.18162139910248987,0.33165643172092085,0.14750612094405463,0.0665259965780712,0.40820931488235224
"San Luis Obispo County, California",06079,0.3405896552659416,0.6938301221980658,0.035691973768291335,0.017699620518422526,0.2219556688407427
"San Mateo County, California",06081,0.470513648875261,0.39917610845503965,0.2718868295238719,0.022865937520466305,0.24892920296024626
"Santa Barbara County, California",06083,0.3223111150564241,0.45310341402631177,0.05192597675825515,0.016860197383272085,0.44821172200200454
"Santa Clara County, California",06085,0.4910329904690741,0.32558472938312893,0.34928417675356027,0.02379572065260728,0.2606981068696219
"Santa Cruz County, California",06087,0.3899148739644329,0.5781536468530317,0.04399424730021993,0.0080654900224326,0.3333638289852633
"Shasta County, California",06089,0.20091028865732424,0.8043807533017734,0.029035485331351057,0.010904375723092573,0.096233491132859
"Sierra County, California",06091,0.19781604367912642,0.8696707105719237,0,0.0013864818024263432,0.10051993067590988
"Siskiyou County, California",06093,0.22156028368794325,0.7715828164484264,0.015759246496668964,0.015368711233631979,0.11987135308982311
"Solano County, California",06095,0.25121947003612605,0.3895250597152519,0.14838809051429833,0.13761980408339675,0.2577078079272428
"Sonoma County, California",06097,0.33067991569148103,0.6384059663474687,0.03856925837869778,0.013917751121385068,0.26353896551104616
"Stanislaus County, California",06099,0.1651974202427048,0.4335205083594059,0.053539026739645015,0.025401169346107033,0.44954861448167205
"Sutter County, California",06101,0.1790138569260148,0.47329546048983606,0.15135536654007511,0.01849701306717722,0.3024596424050302
"Tehama County, California",06103,0.1380598757647938,0.6921909339573419,0.014340601135231711,0.005944946005344127,0.24216168355811343
"Trinity County, California",06105,0.20064788455875135,0.828104625297231,0.010815371634578507,0.007977295390043722,0.0718723632737593
"Tulare County, California",06107,0.13992071425585045,0.2950508817394602,0.03186947073836825,0.013018489175234139,0.6361405290654717
"Tuolumne County, California",06109,0.19742468177126848,0.8082710254364645,0.011002059407410156,0.017143175198055624,0.11846230913375017
"Ventura County, California",06111,0.3219986458160759,0.46132615582767383,0.07019416536727709,0.015823852310711768,0.42254026141909856
"Yolo County, California",06113,0.40024378671117,0.4752710425436843,0.13583876202347075,0.022130241527715717,0.31413654429575977
"Yuba County, California",06115,0.1554797366751963,0.5629119554150367,0.06296554311130165,0.032246396227426186,0.27435560795241415
