GEOID,county,state,tract,medincome,rent,pnewh,medhval,pwht,pblk,pasn,phsp,region
04007000200,Gila County,Arizona,Census Tract 2,43734,885,12.841969745735435,178200,92.69662921348316,0,0,6.882022471910113,Arizona
04007000301,Gila County,Arizona,Census Tract 3.01,45604,784,30.902111324376197,213000,85.1077213398333,0.20443465953766302,0,10.441893379462181,Arizona
04007000302,Gila County,Arizona,Census Tract 3.02,42301,1019,24.103139013452914,181200,93.3852140077821,0,0,4.492394764768306,Arizona
04007000400,Gila County,Arizona,Census Tract 4,42577,909,13.64497789008212,201800,83.90374331550802,1.8716577540106951,1.577540106951871,10.16042780748663,Arizona
04007000500,Gila County,Arizona,Census Tract 5,38212,742,21.88641647293258,199000,87.06959706959707,0.293040293040293,0.274725274725274,6.7032967032967035,Arizona
04007000600,Gila County,Arizona,Census Tract 6,39583,1039,18.501529051987767,166800,86.21883656509695,0,0,10.526315789473683,Arizona
04007000700,Gila County,Arizona,Census Tract 7,35255,640,35.97025016903313,147500,99.41451990632318,0.0585480093676815,0,0.5269320843091331,Arizona
04007000800,Gila County,Arizona,Census Tract 8,34188,645,11.270125223613595,99700,56.402248594628354,0,0.124921923797626,42.973141786383515,Arizona
04007000900,Gila County,Arizona,Census Tract 9,34396,588,6.676136363636363,58100,50.796340223653004,0,1.592680447305998,46.66214842426296,Arizona
04007001000,Gila County,Arizona,Census Tract 10,33277,747,10.183378852906747,83200,62.036336109008325,0,0,35.57910673732021,Arizona
04007001100,Gila County,Arizona,Census Tract 11,39129,804,4.819277108433735,100800,49.35275080906149,0.45846817691477804,1.375404530744336,41.693635382955776,Arizona
04007001200,Gila County,Arizona,Census Tract 12,50844,818,11.718020541549953,123400,60.222974318136565,2.6677284491339828,1.214413696993828,27.612980290662954,Arizona
04007001300,Gila County,Arizona,Census Tract 13,40709,582,2.893890675241157,55900,32.11743772241993,0,0.444839857651245,66.72597864768683,Arizona
04007940200,Gila County,Arizona,Census Tract 9402,22017,579,28.2312925170068,47600,1.415324548560273,0.390434358223523,0,3.806734992679356,Arizona
04007940400,Gila County,Arizona,Census Tract 9404,31553,422,23.14709236031927,41700,1.8991596638655461,0.588235294117647,2.504201680672269,3.8487394957983185,Arizona
04009940500,Graham County,Arizona,Census Tract 9405,30256,348,20.189003436426116,39300,0.76103500761035,0.13046314416177401,0,8.023483365949119,Arizona
04009961100,Graham County,Arizona,Census Tract 9611,50913,862,30.218068535825545,119100,70.62420919443272,0.147617039223956,0.063264445381695,26.086039645719104,Arizona
04009961201,Graham County,Arizona,Census Tract 9612.01,34634,784,35.43495610534716,165200,74.1128563118092,1.018033740546829,0.930773705642815,17.830133798720187,Arizona
04009961202,Graham County,Arizona,Census Tract 9612.02,53203,766,20.646067415730336,144300,62.31966053748232,0.08486562942008487,0.028288543140028287,36.633663366336634,Arizona
04009961300,Graham County,Arizona,Census Tract 9613,37031,812,8.641160949868073,97100,58.01058790749513,2.2847589857899133,0.250766230147673,38.56227361382,Arizona
04009961400,Graham County,Arizona,Census Tract 9614,55625,837,19.032921810699587,144400,50.90274928190398,0.90274928190398,1.559294214197784,45.83504308576118,Arizona
04009961500,Graham County,Arizona,Census Tract 9615,56190,858,31.28734383487235,106700,60.41522491349481,0.138408304498269,0.369088811995386,35.50173010380623,Arizona
04009961600,Graham County,Arizona,Census Tract 9616,52763,1016,18.093385214007785,168100,42.499078510873574,8.367121267969038,2.580169553999262,40.54552156284556,Arizona
04009961700,Graham County,Arizona,Census Tract 9617,47273,748,24.31791221826809,105500,49.8422159887798,4.73352033660589,1.0168302945301542,39.88429172510519,Arizona
04011960100,Greenlee County,Arizona,Census Tract 9601,42835,423,18.73259052924791,83500,31.418658442559753,3.1611410948342327,0.38550501156515,61.06399383191982,Arizona
04011960200,Greenlee County,Arizona,Census Tract 9602,69433,410,11.168831168831169,81800,41.69050715214565,2.132639791937581,1.06631989596879,50.533159947984394,Arizona
04011960300,Greenlee County,Arizona,Census Tract 9603,39167,766,13.88121546961326,80100,71.41831238779174,0,0,27.396768402154397,Arizona
04012020100,La Paz County,Arizona,Census Tract 201,31722,525,20.618007458710707,72500,61.5848406546081,0,0,36.04651162790697,Arizona
04012020201,La Paz County,Arizona,Census Tract 202.01,34293,798,21.191775073436844,103500,89.41048034934498,0,0,8.73362445414847,Arizona
04012020202,La Paz County,Arizona,Census Tract 202.02,58580,675,18.302945301542774,135000,93.35604770017036,0,0,5.792163543441227,Arizona
04012020501,La Paz County,Arizona,Census Tract 205.01,37017,466,23.08834446919079,49100,77.64460656591974,0,0,21.93850964043773,Arizona
04012020502,La Paz County,Arizona,Census Tract 205.02,38636,454,30.794469182095145,49800,95.32219570405728,0,0,4.248210023866348,Arizona
04012020602,La Paz County,Arizona,Census Tract 206.02,42813,1023,20.56843679880329,70700,60.71932299012695,0,3.80818053596615,34.4851904090268,Arizona
04012940200,La Paz County,Arizona,Census Tract 9402,45509,822,11.206896551724139,138200,35.261255340124876,2.5303976339139,0.394347683207361,37.89023989484062,Arizona
04012940300,La Paz County,Arizona,Census Tract 9403,26465,427,10.463684858432499,45800,18.465852193070294,0,1.50210294412177,40.937312237131984,Arizona
04012980000,La Paz County,Arizona,Census Tract 9800,39379.375,648.75,19.529319961742022,83075,66.47057518717783,0.316299704239237,0.7130788954119099,23.758970228850014,Arizona
04013010101,Maricopa County,Arizona,Census Tract 101.01,94110,2832,56.481481481481474,503100,97.36732135394902,0,0.6059339740910991,0.58503969912244,Arizona
04013010102,Maricopa County,Arizona,Census Tract 101.02,133320,1745,49.95592124595945,794800,93.46846846846847,0.54054054054054,3.6036036036036028,1.486486486486486,Arizona
04013030401,Maricopa County,Arizona,Census Tract 304.01,100053,1060,23.5048231511254,816500,94.12747672475533,0,1.623299116734304,4.201480066841728,Arizona
04013030402,Maricopa County,Arizona,Census Tract 304.02,79978,1329,34.40993788819876,473700,90.43722235211597,0.350713116670563,2.43161094224924,2.595277063362169,Arizona
04013040502,Maricopa County,Arizona,Census Tract 405.02,37555,677,20.65328342973801,177400,81.80198019801979,0,0.0594059405940594,14.613861386138613,Arizona
04013040506,Maricopa County,Arizona,Census Tract 405.06,37472,995,0.6652902041752691,150500,99.32910244786945,0,0,0,Arizona
04013040507,Maricopa County,Arizona,Census Tract 405.07,36943,2395,4.234253212555298,161800,98.03268284943678,1.285102332222751,0.269712835157861,0.41250198318261105,Arizona
04013040512,Maricopa County,Arizona,Census Tract 405.12,45201,1083,1.00502512562814,208600,94.24544920728128,0.998238402818555,0.998238402818555,1.87903699354081,Arizona
04013040513,Maricopa County,Arizona,Census Tract 405.13,58500,1133,1.162790697674418,205300,97.76649746192894,1.387478849407783,0,0.27072758037225,Arizona
04013040514,Maricopa County,Arizona,Census Tract 405.14,43961,1330,0,171200,95.87874659400543,0.306539509536784,2.17983651226158,1.6348773841961852,Arizona
04013040515,Maricopa County,Arizona,Census Tract 405.15,51731,627,42.39335598338996,216500,70.11322367015595,0,0.192266609698782,28.00683614612262,Arizona
04013040516,Maricopa County,Arizona,Census Tract 405.16,65887,1314,93.00496688741721,237500,89.25339366515837,0.995475113122171,0,9.343891402714933,Arizona
04013040517,Maricopa County,Arizona,Census Tract 405.17,55200,1129,56.55816951337415,162000,79.67178401270513,4.1159343568025415,1.50873478030704,11.064055055584966,Arizona
04013040518,Maricopa County,Arizona,Census Tract 405.18,66800,1110,60.8394033992369,191700,71.59499496620164,6.601466992665037,1.74025600460233,19.746871853876023,Arizona
04013040519,Maricopa County,Arizona,Census Tract 405.19,86463,2016,99.08357771260997,365000,82.48829159030747,4.255752392588068,1.486458969659947,7.982081042557524,Arizona
04013040520,Maricopa County,Arizona,Census Tract 405.20,114583,1841,97.8978978978979,330200,78.0956740672923,2.3575188830395972,3.158617532616159,10.116731517509727,Arizona
04013040521,Maricopa County,Arizona,Census Tract 405.21,93067,1622,93.33040807371654,237300,65.63146997929607,7.149758454106281,10.890269151138716,12.22912353347136,Arizona
04013040522,Maricopa County,Arizona,Census Tract 405.22,45445,796,10.362173038229376,213000,99.0137614678899,0.688073394495412,0.298165137614678,0,Arizona
04013040523,Maricopa County,Arizona,Census Tract 405.23,70313,1483,69.97742663656885,316200,96.06545961002786,2.01949860724234,0,1.2534818941504169,Arizona
04013040524,Maricopa County,Arizona,Census Tract 405.24,68841,1104,93.73776908023484,305700,92.8122819260293,4.745289602233078,0.488485694347522,1.95394277739009,Arizona
04013040525,Maricopa County,Arizona,Census Tract 405.25,60714,1104,96.64855072463769,285400,94.3026706231454,1.810089020771513,0.86053412462908,2.759643916913946,Arizona
04013040526,Maricopa County,Arizona,Census Tract 405.26,55781,672,56.779661016949156,228100,92.1549636803874,2.566585956416464,0.920096852300242,3.87409200968523,Arizona
04013040527,Maricopa County,Arizona,Census Tract 405.27,52120,1121,55.94300712410949,158900,84.78497550353838,3.293413173652695,0.517147523135547,9.689711486118673,Arizona
04013040528,Maricopa County,Arizona,Census Tract 405.28,57841,1103,35.83387692976734,277900,96.393652828979,0.22439493508575,0.43276166052251896,1.410482449110434,Arizona
04013040529,Maricopa County,Arizona,Census Tract 405.29,50877,1475,65.70841889117042,262700,95.55410264792415,0,2.157567832625041,2.05949656750572,Arizona
04013040530,Maricopa County,Arizona,Census Tract 405.30,55208,1203,6.8139963167587485,144700,68.55670103092784,5.283505154639175,1.365979381443299,20.309278350515463,Arizona
04013040531,Maricopa County,Arizona,Census Tract 405.31,39792,1092,22.528482175670707,144700,81.93221243661596,5.73792367227115,0.8006405124099271,8.780357619428877,Arizona
04013050603,Maricopa County,Arizona,Census Tract 506.03,47765,796,51.59883720930233,122700,68.12563323201621,0.60790273556231,0,28.611955420466057,Arizona
04013050604,Maricopa County,Arizona,Census Tract 506.04,42424,715,46.44727000747943,112300,57.13520749665329,0,0.107095046854083,41.68674698795181,Arizona
04013050605,Maricopa County,Arizona,Census Tract 506.05,70893,1328,88.46743295019157,181900,70.64439140811456,6.364359586316628,1.896048793423495,19.59692389286661,Arizona
04013050606,Maricopa County,Arizona,Census Tract 506.06,95067,1531,76.3970843457133,282800,74.29643527204503,3.9399624765478416,1.514339319217368,18.49370142053069,Arizona
04013050607,Maricopa County,Arizona,Census Tract 506.07,56623,1145,83.70883882149047,157500,52.758620689655174,4.615384615384615,0.41114058355437605,40.53050397877984,Arizona
04013050608,Maricopa County,Arizona,Census Tract 506.08,51382,1151,80.73076923076923,152800,53.437967115097166,8.320876930742402,0.124564025909317,30.09466865969108,Arizona
04013050609,Maricopa County,Arizona,Census Tract 506.09,55402,1149,96.99029126213591,152500,51.3107822410148,8.329809725158563,0.613107822410148,38.350951374207185,Arizona
04013050610,Maricopa County,Arizona,Census Tract 506.10,62206,1135,75.8336084516342,168500,47.7965381756398,11.139428692789636,1.805245832005946,38.24997345226718,Arizona
04013050611,Maricopa County,Arizona,Census Tract 506.11,65014,1212,82.38375900458415,149300,42.85990712074303,3.4055727554179556,0.270897832817337,51.79953560371517,Arizona
04013050701,Maricopa County,Arizona,Census Tract 507.01,49236,1032,65.78354002254791,133700,48.90925756186984,5.242896425297892,0.40329972502291406,41.3198900091659,Arizona
04013050702,Maricopa County,Arizona,Census Tract 507.02,36028,610,32.62411347517731,108500,45.26273885350318,5.792197452229299,1.6520700636942671,45.64092356687898,Arizona
04013060801,Maricopa County,Arizona,Census Tract 608.01,29092,661,21.61393530039104,39500,30.668481034189487,5.528151046096274,0,60.48647729205647,Arizona
04013060802,Maricopa County,Arizona,Census Tract 608.02,50221,1108,87.81725888324873,124800,47.41081703107019,9.359416954353664,2.991944764096663,38.89528193325661,Arizona
04013060901,Maricopa County,Arizona,Census Tract 609.01,57434,1148,77.03604806408545,129800,44.935278405588654,9.26648859667146,0.719128826792685,41.21635504417506,Arizona
04013060902,Maricopa County,Arizona,Census Tract 609.02,36587,792,29.547641963426376,115500,10.595238095238097,7.6190476190476195,0.08928571428571429,80.74404761904762,Arizona
04013060903,Maricopa County,Arizona,Census Tract 609.03,42598,1033,52.26837060702876,112700,27.83469352318111,2.899808994617121,1.0418475429762108,65.04601493314811,Arizona
04013060904,Maricopa County,Arizona,Census Tract 609.04,44338,989,54.91033304867634,97200,40.38142620232173,4.1459369817578775,0.41459369817578695,49.281370923161965,Arizona
04013061009,Maricopa County,Arizona,Census Tract 610.09,72205,1181,94.61017798947104,257000,56.3739085772984,7.24191063174114,5.906522855675398,26.964560862865948,Arizona
04013061010,Maricopa County,Arizona,Census Tract 610.10,76136,1514,32.747535362194604,269600,82.35912531539108,1.282590412111017,2.64928511354079,11.417157275021024,Arizona
04013061011,Maricopa County,Arizona,Census Tract 610.11,72436,1274,80.25773195876289,222300,48.20717131474104,9.806926141587496,4.030033711308611,32.301562978853816,Arizona
04013061012,Maricopa County,Arizona,Census Tract 610.12,73864,991,53.56472795497186,285000,51.31191760666993,5.272192251103482,8.840117704757235,27.194703285924472,Arizona
04013061013,Maricopa County,Arizona,Census Tract 610.13,72748,1191,85.02622794468287,227300,45.020651675080316,10.448217836928254,8.61251338534496,32.75202692366529,Arizona
04013061014,Maricopa County,Arizona,Census Tract 610.14,54969,1032,87.38144329896907,165600,41.92125469694494,13.380166639437999,1.846103577846757,39.55236072537167,Arizona
04013061015,Maricopa County,Arizona,Census Tract 610.15,70212,1276,17.905918057663122,177700,54.62095776638982,9.789715497437708,1.3960063615479759,30.093656122989927,Arizona
04013061016,Maricopa County,Arizona,Census Tract 610.16,99398,1674,94.55252918287937,288600,58.64527629233511,9.679144385026737,8.342245989304812,21.22994652406417,Arizona
04013061017,Maricopa County,Arizona,Census Tract 610.17,61590.62320441989,1160.7903587443946,26.609546532014267,216980.6224944321,45.382118619061664,11.47831218648569,0,30.185895544408382,Arizona
04013061018,Maricopa County,Arizona,Census Tract 610.18,60618,1160.7903587443946,57.92349726775956,312800,92.47677317017902,3.3537276229322446,1.4276002719238612,2.741898934964876,Arizona
04013061019,Maricopa County,Arizona,Census Tract 610.19,63333,1111,68.07324840764332,192400,46.70191339375629,8.811681772406848,6.3444108761329305,35.07049345417925,Arizona
04013061020,Maricopa County,Arizona,Census Tract 610.20,98000,1477,84.01253918495298,245300,51.92257389484698,8.710436829714883,6.643996861103846,25.52968872613131,Arizona
04013061021,Maricopa County,Arizona,Census Tract 610.21,89145,1369,94.5518453427065,275000,44.54976303317535,13.696682464454977,13.412322274881516,23.36492890995261,Arizona
04013061022,Maricopa County,Arizona,Census Tract 610.22,61622,1146,76.39296187683284,162300,50.83644951781145,10.4802204290494,1.997638260185003,33.29069080889588,Arizona
04013061023,Maricopa County,Arizona,Census Tract 610.23,78319,1354,77.33664185277088,190100,43.24514371099587,11.45293135272919,4.2014590841170785,37.84829041047728,Arizona
04013061024,Maricopa County,Arizona,Census Tract 610.24,56806,1101,82.79266572637518,152600,36.35122838944495,13.421292083712466,0.9099181073703361,44.35850773430391,Arizona
04013061025,Maricopa County,Arizona,Census Tract 610.25,77337,1643,92.00401472064236,215700,70.23519870235198,4.643146796431468,3.5482562854825628,14.811435523114355,Arizona
04013061026,Maricopa County,Arizona,Census Tract 610.26,56263,1222,88.6126305320736,171600,68.87863733144074,6.050390347764372,3.6550745209368336,19.26898509581263,Arizona
04013061027,Maricopa County,Arizona,Census Tract 610.27,47877,1102,62.770930726731834,162200,65.95789034813426,2.647488013341671,6.879299562226391,21.32582864290182,Arizona
04013061028,Maricopa County,Arizona,Census Tract 610.28,53846,985,83.98058252427184,196900,67.08542713567839,13.711414213926776,1.399856424982053,15.147164393395549,Arizona
04013061029,Maricopa County,Arizona,Census Tract 610.29,49931,1146,30.517711171662125,156200,74.45628051486906,4.28317798490901,0.488237905015534,18.64181091877497,Arizona
04013061030,Maricopa County,Arizona,Census Tract 610.30,73340,1180,85.9363153904473,201700,71.38713745271123,7.351828499369482,3.203026481715006,15.788146279949558,Arizona
04013061031,Maricopa County,Arizona,Census Tract 610.31,72586,1226,78.82971729125575,217900,66.89156626506025,10.433734939759036,3.493975903614458,14.481927710843372,Arizona
