GEOID,county,state,tract,medincome,rent,pnewh,medhval,pwht,pblk,pasn,phsp,region
04001942600,Apache County,Arizona,Census Tract 9426,21800,549.2666666666667,10.992366412213741,56300,0,0,0,0,Arizona
04001942700,Apache County,Arizona,Census Tract 9427,26910,555,14.991624790619765,68500,0.7720351704910999,0,0.08578168561012224,1.0722710701265281,Arizona
04001944000,Apache County,Arizona,Census Tract 9440,27439,556,16.857394366197184,40000,3.572583252505658,2.4086647268024572,0.0808276753960556,0.824442289039767,Arizona
04001944100,Apache County,Arizona,Census Tract 9441,28260,315,24.174480228291888,61800,3.7869822485207103,0.557903634826711,0.862214708368554,1.538461538461538,Arizona
04001944201,Apache County,Arizona,Census Tract 9442.01,28634,403,7.35009671179884,38300,7.625994694960212,0.39787798408488,0,2.144120247568523,Arizona
04001944202,Apache County,Arizona,Census Tract 9442.02,27877,802,18.456591639871384,42200,0.718641114982578,0.39198606271777003,0.609756097560975,2.74390243902439,Arizona
04001944300,Apache County,Arizona,Census Tract 9443,23323,434,13.547574039067422,63600,0.9853565074586009,0.08211304228821678,0.02737101409607226,0.24633912686465,Arizona
04001944901,Apache County,Arizona,Census Tract 9449.01,21860,454,20.246775098149183,47800,2.8622087132725427,0.455927051671732,0.5065856129685911,1.7477203647416408,Arizona
04001944902,Apache County,Arizona,Census Tract 9449.02,17593,453,16.589219330855016,51100,1.349667774086378,0.22840531561461702,0,1.4534883720930232,Arizona
04001945001,Apache County,Arizona,Census Tract 9450.01,37614,439,14.187643020594965,73000,2.931916568280204,0.01967729240456513,1.1412829594647769,1.515151515151515,Arizona
04001945002,Apache County,Arizona,Census Tract 9450.02,25033,538,13.390139987827146,58200,1.367088607594936,0.151898734177215,0,2.050632911392405,Arizona
04001945100,Apache County,Arizona,Census Tract 9451,25000,521,24.90613266583229,82100,2.877106452938759,0.411015207562679,2.589395807644882,3.986847513357994,Arizona
04001970200,Apache County,Arizona,Census Tract 9702,40540,935,31.305732484076433,113000,70.87120372422966,0.44336067390822403,0.576368876080691,18.310795832409667,Arizona
04001970300,Apache County,Arizona,Census Tract 9703,41100,513,5.09420795533845,81600,62.919929275069464,0.656731497852993,0.050517807527153326,30.108613286183378,Arizona
04001970501,Apache County,Arizona,Census Tract 9705.01,51357,668,14.527845036319611,149400,69.94276692322873,0.513124136569962,0,20.031576869942768,Arizona
04001970502,Apache County,Arizona,Census Tract 9705.02,55792,653,26.009197751660707,188900,73.12775330396477,0.259134490800725,0,11.479657942472144,Arizona
04003000100,Cochise County,Arizona,Census Tract 1,33098,492,16.432700247729148,86500,65.34052596089009,0.472016183412002,0.269723533378287,27.17464598786244,Arizona
04003000201,Cochise County,Arizona,Census Tract 2.01,49362,652,22.52252252252252,105100,51.142680667078444,0,0.339715873996294,47.09697344039531,Arizona
04003000202,Cochise County,Arizona,Census Tract 2.02,43159,528,9.431060994361866,93700,39.07351460221551,0.025176233635448138,0,58.91238670694864,Arizona
04003000203,Cochise County,Arizona,Census Tract 2.03,40536,617,20.449561403508774,114600,71.08478341355054,0,0.888559792669381,21.880784894483522,Arizona
04003000301,Cochise County,Arizona,Census Tract 3.01,25532,619,17.43237440961786,86300,70.31642390758412,1.054746358613762,0.251130085384229,26.544450025113008,Arizona
04003000302,Cochise County,Arizona,Census Tract 3.02,47359,1273,37.35806207418622,156200,89.29173693086003,0.08431703204047217,0.737774030354131,8.937605396290051,Arizona
04003000303,Cochise County,Arizona,Census Tract 3.03,52771,1013,22.903033908387865,98000,85.84070796460178,0,0,10.07018614586512,Arizona
04003000400,Cochise County,Arizona,Census Tract 4,29201,592,20.268361581920903,117200,75.9610705596107,0,0.194647201946472,20.340632603406323,Arizona
04003000500,Cochise County,Arizona,Census Tract 5,40208,554,20.585365853658537,136600,44.67416641329685,11.330698287220025,0.09121313469139557,39.66757879801358,Arizona
04003000600,Cochise County,Arizona,Census Tract 6,29375,569,14.860681114551083,78800,24.644970414201183,1.834319526627218,0,71.95266272189349,Arizona
04003000700,Cochise County,Arizona,Census Tract 7,31607,485,16.457564575645755,116300,6.369581012351659,0.1937515136837,0.460159844998789,92.87963187212401,Arizona
04003000800,Cochise County,Arizona,Census Tract 8,32333,589,13.383152173913043,83000,10.995670995670997,0.577200577200577,6.378066378066379,80.23088023088023,Arizona
04003000901,Cochise County,Arizona,Census Tract 9.01,20568,450,4.549590536851683,81100,3.5909090909090913,0,0,96.40909090909092,Arizona
04003000902,Cochise County,Arizona,Census Tract 9.02,25882,550,4.719101123595506,66400,12.703379224030037,0,0.18773466833541902,84.918648310388,Arizona
04003001000,Cochise County,Arizona,Census Tract 10,28583,624,2.874902874902874,161500,75.22184300341297,2.3208191126279862,1.5699658703071668,16.99658703071672,Arizona
04003001100,Cochise County,Arizona,Census Tract 11,32018,658,3.9150943396226414,106700,51.83823529411765,0.226244343891402,0.056561085972850686,47.369909502262445,Arizona
04003001200,Cochise County,Arizona,Census Tract 12,35184,586,17.461300309597526,135100,44.35310936383131,0.39313795568263,0.25017869907076395,53.32380271622588,Arizona
04003001300,Cochise County,Arizona,Census Tract 13,41448,605,17.892425905598245,116900,67.49585406301824,3.0587801732080337,1.492537313432835,20.06633499170813,Arizona
04003001401,Cochise County,Arizona,Census Tract 14.01,52143,1207,74.86486486486487,128450,65.7995563621698,9.094575519257916,2.88364589635007,12.603347449082477,Arizona
04003001402,Cochise County,Arizona,Census Tract 14.02,71630,1260,48.4251968503937,128450,52.918287937743195,4.571984435797665,9.82490272373541,27.042801556420233,Arizona
04003001501,Cochise County,Arizona,Census Tract 15.01,34063,632,7.7928607340372045,127700,47.353407290015845,7.765451664025356,5.736925515055467,33.312202852614895,Arizona
04003001502,Cochise County,Arizona,Census Tract 15.02,40150,693,5.08298755186722,101600,47.514910536779325,2.9572564612326038,1.366799204771371,37.22664015904573,Arizona
04003001601,Cochise County,Arizona,Census Tract 16.01,52308,880,20.129589632829372,165200,49.41022280471822,6.384572177494851,1.554016101853585,40.1235723647257,Arizona
04003001602,Cochise County,Arizona,Census Tract 16.02,31636,659,2.809917355371901,120500,53.49514563106796,10.647249190938513,4.01294498381877,26.472491909385116,Arizona
04003001701,Cochise County,Arizona,Census Tract 17.01,53628,869,11.969629298794104,149700,55.769760396584964,5.7284494629578635,4.544202698980997,31.148443954833375,Arizona
04003001702,Cochise County,Arizona,Census Tract 17.02,46000,890,33.77851975514747,144600,48.787266296109145,6.417382516422436,3.4360788276907526,28.372915613946436,Arizona
04003001703,Cochise County,Arizona,Census Tract 17.03,58172,998,52.27467811158798,170300,58.96700143472023,6.087312973970076,2.787456445993031,24.697683951629433,Arizona
04003001800,Cochise County,Arizona,Census Tract 18,72567,1383,40.184757505773675,227300,69.61071107110712,6.694419441944194,4.4216921692169215,16.932943294329434,Arizona
04003001900,Cochise County,Arizona,Census Tract 19,98721,1260,32.664660648612504,246600,74.1125798306847,4.039803950690628,2.881330758948462,17.317688994504678,Arizona
04003002001,Cochise County,Arizona,Census Tract 20.01,37793,871,27.815906338312473,93200,66.46851198216608,0.650195058517555,0.390117035110533,27.93981051458295,Arizona
04003002002,Cochise County,Arizona,Census Tract 20.02,59274,823,33.16557624559638,166800,75.02540134119081,1.036374720585246,0.6909164803901641,22.02804308067466,Arizona
04003002100,Cochise County,Arizona,Census Tract 21,52801,1489,44.70314318975553,200000,79.36344969199179,0.739219712525667,0,19.17864476386037,Arizona
04005000100,Coconino County,Arizona,Census Tract 1,92500,1343,7.986348122866895,336200,80.61861520998865,0.454029511918274,2.014755959137344,9.506242905788875,Arizona
04005000200,Coconino County,Arizona,Census Tract 2,59704,1139,21.72243554580362,323000,66.10576923076923,0.29380341880341804,1.629273504273504,21.07371794871795,Arizona
04005000300,Coconino County,Arizona,Census Tract 3,38135,883,12.395437262357415,185800,38.80083732057416,3.1698564593301426,0.8522727272727271,38.00837320574163,Arizona
04005000400,Coconino County,Arizona,Census Tract 4,60902,1092,2.590393955747436,240200,58.4541949697081,1.964384064622728,0.60583807600514,20.69028823205434,Arizona
04005000500,Coconino County,Arizona,Census Tract 5,62436,1201,37.07504810776139,161300,54.05662621936712,0.689983345229597,0.47585058291696397,39.59076849869141,Arizona
04005000600,Coconino County,Arizona,Census Tract 6,63428,1152,16.329154612664738,443200,77.35916118713347,1.386173804869379,3.3943486760263006,7.339612582192998,Arizona
04005000700,Coconino County,Arizona,Census Tract 7,60375,1322,25.71756601607348,274300,72.33453337025755,0.27693159789531896,1.9939075048463029,14.012738853503185,Arizona
04005000800,Coconino County,Arizona,Census Tract 8,27439,1123,32.591414944356124,194000,56.05561653860227,4.317599707281375,0.8964507866813021,17.197219173069886,Arizona
04005000900,Coconino County,Arizona,Census Tract 9,57981,969,53.41748768472906,357300,62.50364325269601,1.267851938210434,3.5558146313028267,15.826289711454386,Arizona
04005001000,Coconino County,Arizona,Census Tract 10,14957,1089,24.295774647887324,224351.85185185185,68.08976464148878,4.862251413975552,3.147235905856595,16.529830322933773,Arizona
04005001101,Coconino County,Arizona,Census Tract 11.01,69667,1404,30.808550185873607,300500,73.78662002623524,2.1644075207695668,2.383034543069523,10.931351114997815,Arizona
04005001102,Coconino County,Arizona,Census Tract 11.02,36635,1094,37.64184887904789,187500,54.97617426820967,1.375085091899251,8.046289993192648,22.151123213070115,Arizona
04005001200,Coconino County,Arizona,Census Tract 12,58947,944,5.639913232104121,356300,83.3457249070632,1.003717472118959,0.817843866171003,12.565055762081784,Arizona
04005001301,Coconino County,Arizona,Census Tract 13.01,86481,1704,26.130414088529268,315200,78.64741641337386,0,0.227963525835866,10.733282674772036,Arizona
04005001302,Coconino County,Arizona,Census Tract 13.02,68068,1321,21.578243423985732,257400,71.75131348511383,2.679509632224168,0.385288966725043,15.306479859894925,Arizona
04005001500,Coconino County,Arizona,Census Tract 15,50313,1152,21.91390041493776,257300,83.49546044098574,0,0,7.684824902723736,Arizona
04005001600,Coconino County,Arizona,Census Tract 16,55052,1043,13.219094247246021,574800,86.50641025641026,0,2.019230769230769,8.557692307692308,Arizona
04005001700,Coconino County,Arizona,Census Tract 17,44091,738,21.54989384288747,165400,67.8994918125353,1.270468661773009,0.395256916996047,24.33653303218521,Arizona
04005002000,Coconino County,Arizona,Census Tract 20,49375,793,17.293835068054445,161100,80.42780748663102,0.481283422459893,0.481283422459893,3.5828877005347595,Arizona
04005002100,Coconino County,Arizona,Census Tract 21,59850,822,17.54764473211075,157500,46.0169941582581,0.305363781200212,0,10.369091874668083,Arizona
04005002200,Coconino County,Arizona,Census Tract 22,63896,1299,19.754768392370572,282900,81.1521704050347,0.048410521219945137,0.016136840406648378,10.230756817815072,Arizona
04005002300,Coconino County,Arizona,Census Tract 23,38750,464,35.70734078755469,153900,75.59482155353395,0.892232330300909,1.294611616515045,10.7592722183345,Arizona
04005942201,Coconino County,Arizona,Census Tract 9422.01,36055,486,15.904292751583393,58400,0.42068794852759206,0,0,1.0888393961890621,Arizona
04005942202,Coconino County,Arizona,Census Tract 9422.02,29963,598,20.893141945773525,54900,0.5467468562055761,0.10934937124111502,0,1.120831055221432,Arizona
04005944900,Coconino County,Arizona,Census Tract 9449,46250,613,14.108425865447419,71000,2.365768360419666,0,4.690392923266817,1.8103270931907012,Arizona
04005945000,Coconino County,Arizona,Census Tract 9450,25719,996.6296296296296,13.597359735973596,59700,0.7269422989550199,0.45433893684688703,0,1.317582916855974,Arizona
04005945100,Coconino County,Arizona,Census Tract 9451,30581,488,20.870206489675518,70800,0.654485955822198,0,0.736296700299972,1.8543768748295602,Arizona
04005945200,Coconino County,Arizona,Census Tract 9452,50954,633,13.140794223826715,57600,3.4786343139360096,0,0,1.0736525660296319,Arizona
04007000100,Gila County,Arizona,Census Tract 1,60660,746.8666666666667,15.214105793450884,250000,94.54545454545455,0,0.826446280991735,4.628099173553719,Arizona
