IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
176119020,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,5/6/17 0:00,15:30:00,CENTRAL,NONE,STOCKTON ST / SUTTER ST,37.78943476,-122.4069587
170419715,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,5/22/17 0:00,11:40:00,NORTHERN,NONE,HAYES ST / GOUGH ST,37.77688209,-122.4229815
176119666,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,5/9/17 0:00,9:02:00,MISSION,NONE,VALENCIA ST / 21ST ST,37.75690115,-122.4211185
170132707,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,2/15/17 0:00,19:30:00,INGLESIDE,NONE,400 Block of CORTLAND AV,37.73903628,-122.4168297
170132713,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,2/15/17 0:00,19:49:00,INGLESIDE,"ARREST, BOOKED",MISSION ST / 30TH ST,37.74237522,-122.4219709
176121752,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,5/11/17 0:00,23:00:00,NORTHERN,NONE,CHESTNUT ST / POLK ST,37.80248976,-122.4230909
170464243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,6/6/17 0:00,22:15:00,NORTHERN,NONE,1700 Block of POST ST,37.78552072,-122.4306001
170464259,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,6/6/17 0:00,19:10:00,NORTHERN,NONE,MCALLISTER ST / POLK ST,37.78026075,-122.418601
170475347,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,6/10/17 0:00,13:30:00,SOUTHERN,NONE,0 Block of HOWARD ST,37.79161942,-122.3920364
176124568,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/28/17 0:00,1:45:00,NORTHERN,NONE,PINE ST / LARKIN ST,37.78982977,-122.4188447
176124596,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,5/14/17 0:00,20:30:00,CENTRAL,NONE,WASHINGTON ST / DRUMM ST,37.79634787,-122.3969624
