GEOID,county,state,tract,medincome,rent,tpop,pnewh,medhval,pwht,pblk,pasn,phsp,region
6001404600,Alameda County,California,Census Tract 4046,163322,2750,4347,0.021428571,854800,0.731078905,0.046468829,0.133195307,0.037727168,Bay Area
6001404700,Alameda County,California,Census Tract 4047,159107,2409,2166,0.011138614,862700,0.706371191,0.052631579,0.126962142,0.077562327,Bay Area
6001404800,Alameda County,California,Census Tract 4048,61875,1105,2784,0.030256012,685300,0.40625,0.191810345,0.197557471,0.096264368,Bay Area
6001404900,Alameda County,California,Census Tract 4049,84375,1112,3995,0.02970297,636300,0.565707134,0.105882353,0.122152691,0.114643304,Bay Area
6001405000,Alameda County,California,Census Tract 4050,122237,1522,3248,0.00313087,722800,0.649014778,0.094827586,0.118842365,0.076970443,Bay Area
6001405100,Alameda County,California,Census Tract 4051,182153,1428,4265,0.00436409,1117100,0.640093787,0.16014068,0.104337632,0.031887456,Bay Area
6001405200,Alameda County,California,Census Tract 4052,75417,1368,5099,0.026835043,7.40E+05,0.332025887,0.108060404,0.273975289,0.165522652,Bay Area
6001405301,Alameda County,California,Census Tract 4053.01,60928,1278,2899,0.014687882,599300,0.435667472,0.252845809,0.141428079,0.118316661,Bay Area
6001405302,Alameda County,California,Census Tract 4053.02,35638,950,2616,0.065883888,4.00E+05,0.260703364,0.122706422,0.324923547,0.201070336,Bay Area
6001405401,Alameda County,California,Census Tract 4054.01,39712,993,4087,0.008953553,422100,0.167849278,0.173721556,0.375825789,0.247369709,Bay Area
6001405402,Alameda County,California,Census Tract 4054.02,33555,1138,3239,0.031350482,3.31E+05,0.095399815,0.286508182,0.391478851,0.138623032,Bay Area
6001405500,Alameda County,California,Census Tract 4055,50225,1128,4104,0,360300,0.204922027,0.179824561,0.442495127,0.118664717,Bay Area
6001405600,Alameda County,California,Census Tract 4056,53063,1185,3148,0.005442177,395500,0.290343075,0.173761118,0.276683609,0.214421855,Bay Area
6001405700,Alameda County,California,Census Tract 4057,48851,1044,3701,0.016960651,419600,0.115914618,0.323155904,0.267495272,0.23723318,Bay Area
6001405800,Alameda County,California,Census Tract 4058,44375,1179,4237,0.022142857,2.96E+05,0.109511447,0.240264338,0.421052632,0.20368185,Bay Area
6001405901,Alameda County,California,Census Tract 4059.01,31607,928,4293,0.010915197,351500,0.028185418,0.187281621,0.391567668,0.364779874,Bay Area
6001405902,Alameda County,California,Census Tract 4059.02,32833,968,3170,0.058585859,3.00E+05,0.059621451,0.094952681,0.495583596,0.288328076,Bay Area
6001406000,Alameda County,California,Census Tract 4060,30909,745,3447,0.05648267,399200,0.228024369,0.178125907,0.464751958,0.100667247,Bay Area
6001406100,Alameda County,California,Census Tract 4061,44485,1343,4835,0.338630807,282200,0.143123061,0.086039297,0.121820062,0.614891417,Bay Area
6001406201,Alameda County,California,Census Tract 4062.01,37336,997,4296,0.133783784,327500,0.076350093,0.163407821,0.229283054,0.44273743,Bay Area
6001406202,Alameda County,California,Census Tract 4062.02,33583,987,4674,0.144079886,339500,0.094137783,0.100342319,0.084937955,0.638853231,Bay Area
6001406300,Alameda County,California,Census Tract 4063,43307,1062,4148,0.097233202,334700,0.107039537,0.158148505,0.399951784,0.31195757,Bay Area
6001406400,Alameda County,California,Census Tract 4064,59500,1370,2218,0.026007802,437700,0.276375113,0.260144274,0.241659152,0.161857529,Bay Area
6001406500,Alameda County,California,Census Tract 4065,41346,1152,6574,0.014832536,302400,0.078034682,0.166261028,0.224977183,0.487374506,Bay Area
6001406601,Alameda County,California,Census Tract 4066.01,48467,1361,4835,0.056848944,371100,0.108996898,0.2885212,0.223164426,0.266184074,Bay Area
6001406602,Alameda County,California,Census Tract 4066.02,53162,1085,2767,0,375300,0.17419588,0.176725696,0.36610047,0.252620166,Bay Area
6001406700,Alameda County,California,Census Tract 4067,73167,1334,4969,0.084877208,550800,0.52626283,0.113906219,0.172670557,0.134433488,Bay Area
6001406800,Alameda County,California,Census Tract 4068,94167,1386,3483,0.042897328,638100,0.418317542,0.11627907,0.23255814,0.143554407,Bay Area
6001406900,Alameda County,California,Census Tract 4069,65556,1410,3989,0.056774194,6.02E+05,0.364001003,0.198796691,0.188518426,0.138881925,Bay Area
6001407000,Alameda County,California,Census Tract 4070,43125,1259,5902,0.048041045,357700,0.130125381,0.185022026,0.338359878,0.302270417,Bay Area
6001407101,Alameda County,California,Census Tract 4071.01,51691,1024,3538,0.030965392,258800,0.09807801,0.130016959,0.240531374,0.474844545,Bay Area
6001407102,Alameda County,California,Census Tract 4071.02,47660,1130,4296,0.019690577,358600,0.09613594,0.1966946,0.16433892,0.476955307,Bay Area
6001407200,Alameda County,California,Census Tract 4072,37319,1013,6616,0.03652968,249800,0.066354293,0.082073761,0.142079807,0.687726723,Bay Area
6001407300,Alameda County,California,Census Tract 4073,53214,1503,2501,0.067247821,252900,0.173530588,0.106357457,0.137944822,0.536585366,Bay Area
6001407400,Alameda County,California,Census Tract 4074,47656,1064,4452,0.048281506,311300,0.039532794,0.162398922,0.112084456,0.66621743,Bay Area
6001407500,Alameda County,California,Census Tract 4075,24869,949,4201,0.037668799,286600,0.06117591,0.354915496,0.02475601,0.488931207,Bay Area
6001407600,Alameda County,California,Census Tract 4076,53300,952,6398,0,359400,0.117067834,0.404814004,0.133479212,0.283682401,Bay Area
6001407700,Alameda County,California,Census Tract 4077,70938,2016,4323,0,423700,0.288919732,0.477446218,0.043025677,0.126763821,Bay Area
6001407800,Alameda County,California,Census Tract 4078,80368,1048,2719,0.007317073,440400,0.286870173,0.302317028,0.179109967,0.164766458,Bay Area
6001407900,Alameda County,California,Census Tract 4079,100927,1632,3077,0.025239339,559800,0.406564836,0.180695483,0.162820929,0.123171921,Bay Area
6001408000,Alameda County,California,Census Tract 4080,158917,3159,2739,0.121468927,7.53E+05,0.474260679,0.166119022,0.185104053,0.11683096,Bay Area
6001408100,Alameda County,California,Census Tract 4081,103670,1806,6266,0.115684883,620900,0.369135014,0.224385573,0.228215768,0.111714012,Bay Area
6001408200,Alameda County,California,Census Tract 4082,51135,1199,4162,0.042621204,375700,0.188370975,0.508889957,0.044449784,0.161701105,Bay Area
6001408300,Alameda County,California,Census Tract 4083,81695,1079,4939,0.041349293,401500,0.237699939,0.420125531,0.081797935,0.20915165,Bay Area
6001408400,Alameda County,California,Census Tract 4084,30213,1222,3129,0.031796502,186300,0.104825823,0.386705018,0,0.453819112,Bay Area
6001408500,Alameda County,California,Census Tract 4085,47841,1291,5747,0.04335425,229300,0.017922394,0.30589873,0.016008352,0.609709414,Bay Area
6001408600,Alameda County,California,Census Tract 4086,30696,1142,6292,0.174757282,2.47E+05,0.036554355,0.320565798,0.033852511,0.558963764,Bay Area
6001408700,Alameda County,California,Census Tract 4087,43649,1272,7758,0.032046332,308800,0.05001289,0.41131735,0.015339005,0.496906419,Bay Area
6001408800,Alameda County,California,Census Tract 4088,23598,769,6348,0.263969171,203100,0.036074354,0.299306868,0.053245117,0.54521109,Bay Area
6001408900,Alameda County,California,Census Tract 4089,26379,1095,3105,0.033453888,186100,0.034782609,0.273752013,0.041867955,0.605152979,Bay Area
6001409000,Alameda County,California,Census Tract 4090,44125,1442,3752,0.094936709,174900,0.035714286,0.349147122,0.039712154,0.532249467,Bay Area
