GEOID,county,medincome,phisp,pblk,mhisp,status
6073018509,San Diego County,47875,0.6530986431976531,0.08287495416208288,Majority,Urban
6073018517,San Diego County,61607,0.28422619047619047,0.01403061224489796,Not Majority,Urban
6073018612,San Diego County,87845,0.3479960899315738,0.030303030303030304,Not Majority,Urban
6073019301,San Diego County,105063,0.27415997621171573,0.02705917335712162,Not Majority,Urban
6073019502,San Diego County,46472,0.8761808367071525,0.011639676113360324,Majority,Urban
6073020014,San Diego County,124063,0.11678366305041481,0.01595405232929164,Not Majority,Urban
6073020107,San Diego County,86528,0.39077236808564875,0.00662758093295947,Not Majority,Urban
6073009704,San Diego County,113617,0.15558963871847306,0.040558963871847306,Not Majority,Urban
6073008800,San Diego County,60690,0.35402521823472355,0.06415408064292642,Not Majority,Urban
6073009106,San Diego County,81250,0.24745696400625977,0.036189358372456966,Not Majority,Urban
6073008311,San Diego County,229583,0.0837874659400545,0.0017029972752043597,Not Majority,Urban
6073013606,San Diego County,77708,0.19305555555555556,0.04737654320987654,Not Majority,Urban
6073013802,San Diego County,54077,0.5557763269940391,0.1669032074936134,Majority,Urban
6073013905,San Diego County,87298,0.29278932512188866,0.13933795227097767,Not Majority,Urban
6073014200,San Diego County,81627,0.4389682174113312,0.1497005988023952,Not Majority,Urban
6073014300,San Diego County,63304,0.579520697167756,0.07213749697409828,Majority,Urban
6073015200,San Diego County,119211,0.22210442618605883,0.05618870924993374,Not Majority,Urban
6073015301,San Diego County,59643,0.18089887640449437,0.009831460674157303,Not Majority,Urban
6073015405,San Diego County,108636,0.2047046148321063,0.0019752199676782187,Not Majority,Urban
6073015602,San Diego County,114306,0.20189144736842105,0.009457236842105263,Not Majority,Urban
6073015704,San Diego County,50580,0.34984756097560976,0.11128048780487805,Not Majority,Urban
6073016100,San Diego County,95214,0.22919962037329958,0.017874090477696933,Not Majority,Urban
6073016301,San Diego County,43458,0.2559010865492694,0.13619333083551893,Not Majority,Urban
6073016605,San Diego County,64759,0.15862068965517243,0.016091954022988506,Not Majority,Urban
6073016606,San Diego County,105350,0.21286713286713288,0.0064335664335664336,Not Majority,Urban
6073016607,San Diego County,90058,0.19496770721205597,0.023815931108719053,Not Majority,Urban
6073016612,San Diego County,97122,0.15700808625336926,0.014319407008086253,Not Majority,Urban
6073016802,San Diego County,77566,0.0899764314432275,0.003327325661999168,Not Majority,Urban
6073016806,San Diego County,61696,0.31775123558484347,0.006589785831960461,Not Majority,Urban
6073017030,San Diego County,139233,0.06237178475619378,0.019685971279785386,Not Majority,Urban
6073017031,San Diego County,105391,0.194484412470024,2.3980815347721823e-4,Not Majority,Urban
6073017042,San Diego County,130477,0.09089795418351096,0.019355629057944385,Not Majority,Urban
6073017044,San Diego County,153854,0.082389289392379,0.028492962581531067,Not Majority,Urban
6073017045,San Diego County,156033,0.08116157855547282,0.010424422933730455,Not Majority,Urban
6073018700,San Diego County,49578,0.28572534448056974,0.08670072766682149,Not Majority,Urban
6073018803,San Diego County,82250,0.26585416236314813,0.010741582317702954,Not Majority,Urban
6073019106,San Diego County,96978,0.33952959028831564,0.006449165402124431,Not Majority,Suburban
6073019601,San Diego County,78310,0.4659882163899304,0.018746652383502947,Not Majority,Urban
6073008200,San Diego County,87321,0.1063973063973064,0.011784511784511785,Not Majority,Urban
6073008301,San Diego County,119375,0.11935704514363885,0.02017783857729138,Not Majority,Urban
