"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households without broadband internet such "
"06067008111, CA","06067008111","=""06067008111""","20.28"
"06067008206, CA","06067008206","=""06067008206""","19.19"
"06067006300, CA","06067006300","=""06067006300""","36.99"
"06067006101, CA","06067006101","=""06067006101""","38.87"
"06067009615, CA","06067009615","=""06067009615""","14.06"
"06067002200, CA","06067002200","=""06067002200""","27.09"
"06067009317, CA","06067009317","=""06067009317""","18.96"
"06067008909, CA","06067008909","=""06067008909""","19.27"
"06067009606, CA","06067009606","=""06067009606""","45.49"
"06067004502, CA","06067004502","=""06067004502""","34.13"
"06067009630, CA","06067009630","=""06067009630""","11.76"
"06067007010, CA","06067007010","=""06067007010""","17.32"
"06067007702, CA","06067007702","=""06067007702""","22.49"
"06067005801, CA","06067005801","=""06067005801""","16.95"
"06067007501, CA","06067007501","=""06067007501""","29.19"
"06067005701, CA","06067005701","=""06067005701""","16.62"
"06067007433, CA","06067007433","=""06067007433""","18.39"
"06067005904, CA","06067005904","=""06067005904""","30.16"
"06067005601, CA","06067005601","=""06067005601""","30.66"
"06067008204, CA","06067008204","=""06067008204""","22.59"
"06067005606, CA","06067005606","=""06067005606""","12.68"
"06067009331, CA","06067009331","=""06067009331""","12.38"
"06067007020, CA","06067007020","=""06067007020""","12.91"
"06067003000, CA","06067003000","=""06067003000""","25.10"
"06067009307, CA","06067009307","=""06067009307""","17.28"
"06067007209, CA","06067007209","=""06067007209""","19.31"
"06067008125, CA","06067008125","=""06067008125""","15.37"
"06067007903, CA","06067007903","=""06067007903""","23.40"
"06067008122, CA","06067008122","=""06067008122""","15.58"
"06067007602, CA","06067007602","=""06067007602""","24.22"
"06067006800, CA","06067006800","=""06067006800""","57.09"
"06067004904, CA","06067004904","=""06067004904""","30.74"
"06067007417, CA","06067007417","=""06067007417""","13.15"
"06067007701, CA","06067007701","=""06067007701""","36.12"
"06067007905, CA","06067007905","=""06067007905""","18.11"
"06067008124, CA","06067008124","=""06067008124""","16.84"
"06067008143, CA","06067008143","=""06067008143""","24.73"
"06067003900, CA","06067003900","=""06067003900""","28.58"
"06067009107, CA","06067009107","=""06067009107""","24.67"
"06067008119, CA","06067008119","=""06067008119""","21.24"
"06067003300, CA","06067003300","=""06067003300""","18.84"
"06067005001, CA","06067005001","=""06067005001""","32.45"
"06067008127, CA","06067008127","=""06067008127""","28.47"
"06067009319, CA","06067009319","=""06067009319""","26.90"
"06067002900, CA","06067002900","=""06067002900""","22.78"
"06067000100, CA","06067000100","=""06067000100""","16.07"
"06067003400, CA","06067003400","=""06067003400""","31.43"
"06067007904, CA","06067007904","=""06067007904""","17.63"
"06067004601, CA","06067004601","=""06067004601""","40.87"
"06067007104, CA","06067007104","=""06067007104""","10.69"
"06067006201, CA","06067006201","=""06067006201""","38.67"
"06067009632, CA","06067009632","=""06067009632""","9.53"
"06067008908, CA","06067008908","=""06067008908""","30.70"
"06067009617, CA","06067009617","=""06067009617""","15.16"
"06067006600, CA","06067006600","=""06067006600""","50.51"
"06067009614, CA","06067009614","=""06067009614""","13.76"
"06067008509, CA","06067008509","=""06067008509""","6.74"
"06067007103, CA","06067007103","=""06067007103""","6.66"
"06067007403, CA","06067007403","=""06067007403""","36.55"
"06067004005, CA","06067004005","=""06067004005""","23.34"
"06067009637, CA","06067009637","=""06067009637""","12.16"
"06067009616, CA","06067009616","=""06067009616""","16.50"
"06067008704, CA","06067008704","=""06067008704""","6.14"
"06067008007, CA","06067008007","=""06067008007""","19.91"
"06067009504, CA","06067009504","=""06067009504""","35.71"
"06067009312, CA","06067009312","=""06067009312""","20.81"
"06067008141, CA","06067008141","=""06067008141""","30.00"
"06067009309, CA","06067009309","=""06067009309""","19.10"
"06067005201, CA","06067005201","=""06067005201""","40.09"
"06067005101, CA","06067005101","=""06067005101""","28.85"
"06067007105, CA","06067007105","=""06067007105""","18.69"
"06067004100, CA","06067004100","=""06067004100""","42.22"
"06067004012, CA","06067004012","=""06067004012""","19.29"
"06067008912, CA","06067008912","=""06067008912""","17.74"
"06067009329, CA","06067009329","=""06067009329""","34.24"
"06067007427, CA","06067007427","=""06067007427""","15.06"
"06067008120, CA","06067008120","=""06067008120""","24.19"
"06067008132, CA","06067008132","=""06067008132""","12.48"
"06067006002, CA","06067006002","=""06067006002""","33.20"
"06067005505, CA","06067005505","=""06067005505""","25.68"
"06067004006, CA","06067004006","=""06067004006""","29.56"
"06067007011, CA","06067007011","=""06067007011""","20.16"
"06067007014, CA","06067007014","=""06067007014""","20.90"
"06067009611, CA","06067009611","=""06067009611""","36.18"
"06067007906, CA","06067007906","=""06067007906""","16.74"
"06067007430, CA","06067007430","=""06067007430""","15.57"
"06067004201, CA","06067004201","=""06067004201""","31.82"
"06067009103, CA","06067009103","=""06067009103""","23.58"
"06067005202, CA","06067005202","=""06067005202""","17.20"
"06067004009, CA","06067004009","=""06067004009""","17.83"
"06067004801, CA","06067004801","=""06067004801""","34.03"
"06067009610, CA","06067009610","=""06067009610""","17.00"
"06067007503, CA","06067007503","=""06067007503""","20.61"
"06067008138, CA","06067008138","=""06067008138""","21.25"
"06067004501, CA","06067004501","=""06067004501""","47.85"
"06067009321, CA","06067009321","=""06067009321""","18.42"
"06067009106, CA","06067009106","=""06067009106""","18.38"
"06067004903, CA","06067004903","=""06067004903""","33.38"
"06067009109, CA","06067009109","=""06067009109""","16.44"
"06067001500, CA","06067001500","=""06067001500""","19.60"
"06067008130, CA","06067008130","=""06067008130""","35.59"
"06067001800, CA","06067001800","=""06067001800""","25.42"
"06067004905, CA","06067004905","=""06067004905""","43.89"
"06067008910, CA","06067008910","=""06067008910""","22.64"
"06067009320, CA","06067009320","=""06067009320""","29.45"
"06067008140, CA","06067008140","=""06067008140""","22.95"
"06067004008, CA","06067004008","=""06067004008""","22.86"
"06067003202, CA","06067003202","=""06067003202""","44.01"
"06067004010, CA","06067004010","=""06067004010""","23.35"
"06067004202, CA","06067004202","=""06067004202""","40.45"
"06067004203, CA","06067004203","=""06067004203""","44.49"
"06067006202, CA","06067006202","=""06067006202""","38.97"
"06067008134, CA","06067008134","=""06067008134""","19.79"
"06067008905, CA","06067008905","=""06067008905""","20.33"
"06067008113, CA","06067008113","=""06067008113""","23.63"
"06067003204, CA","06067003204","=""06067003204""","40.27"
"06067009008, CA","06067009008","=""06067009008""","37.52"
"06067001101, CA","06067001101","=""06067001101""","38.35"
"06067006003, CA","06067006003","=""06067006003""","30.63"
"06067008907, CA","06067008907","=""06067008907""","32.33"
"06067002100, CA","06067002100","=""06067002100""","28.63"
"06067007415, CA","06067007415","=""06067007415""","17.33"
"06067004702, CA","06067004702","=""06067004702""","36.39"
"06067008142, CA","06067008142","=""06067008142""","21.65"
"06067009612, CA","06067009612","=""06067009612""","17.51"
"06067000200, CA","06067000200","=""06067000200""","17.73"
"06067009108, CA","06067009108","=""06067009108""","31.16"
"06067008136, CA","06067008136","=""06067008136""","20.60"
"06067009111, CA","06067009111","=""06067009111""","23.26"
"06067007424, CA","06067007424","=""06067007424""","28.13"
"06067007414, CA","06067007414","=""06067007414""","21.12"
"06067009609, CA","06067009609","=""06067009609""","18.53"
"06067000300, CA","06067000300","=""06067000300""","14.33"
"06067003700, CA","06067003700","=""06067003700""","56.08"
"06067004802, CA","06067004802","=""06067004802""","29.57"
"06067008135, CA","06067008135","=""06067008135""","30.11"
"06067008144, CA","06067008144","=""06067008144""","13.35"
"06067004701, CA","06067004701","=""06067004701""","36.24"
"06067004401, CA","06067004401","=""06067004401""","57.51"
"06067009004, CA","06067009004","=""06067009004""","31.55"
"06067008139, CA","06067008139","=""06067008139""","29.82"
"06067009318, CA","06067009318","=""06067009318""","19.36"
