GEOID,NAME,phisp,asnp,blkp,whtp
06001400100,"Census Tract 4001, Alameda County, California",0.027501656726308814,0.16269052352551358,0.030483764082173626,0.7107355864811133
06001400200,"Census Tract 4002, Alameda County, California",0.1076530612244898,0.08418367346938775,0.005612244897959183,0.7275510204081632
06001400300,"Census Tract 4003, Alameda County, California",0.07372039724980901,0.11440030557677616,0.11573720397249809,0.6390374331550802
06001400400,"Census Tract 4004, Alameda County, California",0.0637736753776073,0.10980580196595541,0.09829777031886838,0.6612323183888755
06001400500,"Census Tract 4005, Alameda County, California",0.12966915688367128,0.03735325506937033,0.2518676627534685,0.5261472785485592
06001400600,"Census Tract 4006, Alameda County, California",0.09512341962673089,0.06983744732089103,0.35159542444310654,0.38290186634557494
06001400700,"Census Tract 4007, Alameda County, California",0.16520210896309315,0.026142355008787345,0.3714850615114236,0.37346221441124783
06001400800,"Census Tract 4008, Alameda County, California",0.12007986309184256,0.12435824301197947,0.311751283513976,0.3964632059326868
06001400900,"Census Tract 4009, Alameda County, California",0.11671087533156499,0.08311229000884174,0.3244916003536693,0.3974358974358974
06001401000,"Census Tract 4010, Alameda County, California",0.22283222993702567,0.031325690295494917,0.3321492007104796,0.30905861456483125
06001401100,"Census Tract 4011, Alameda County, California",0.10995650072498792,0.15031416143064283,0.16167230546157563,0.514741420976317
06001401200,"Census Tract 4012, Alameda County, California",0.1675592960979342,0.07115531752104055,0.14001530221882172,0.568477429227238
06001401300,"Census Tract 4013, Alameda County, California",0.1272635814889336,0.1783199195171026,0.3241951710261569,0.323692152917505
06001401400,"Census Tract 4014, Alameda County, California",0.27872444011684516,0.08568646543330087,0.3943524829600779,0.16820837390457644
06001401500,"Census Tract 4015, Alameda County, California",0.12053742802303263,0.072552783109405,0.38733205374280233,0.3673704414587332
06001401600,"Census Tract 4016, Alameda County, California",0.21997238840312933,0.10722503451449608,0.3281178094799816,0.2549470777726645
06001401700,"Census Tract 4017, Alameda County, California",0.3142963792459873,0.09966405375139978,0.23964165733482642,0.3176558417319896
06001401800,"Census Tract 4018, Alameda County, California",0.19346195069667738,0.02304394426580922,0.42765273311897106,0.2733118971061093
06001402200,"Census Tract 4022, Alameda County, California",0.22651704073150458,0.14172901080631753,0.3192019950124688,0.2709891936824605
06001402400,"Census Tract 4024, Alameda County, California",0.0854670032455824,0.10926794085827624,0.5549945906959971,0.21817526144969349
06001402500,"Census Tract 4025, Alameda County, California",0.19258046917621385,0.0430987452264048,0.6388434260774686,0.0845608292416803
