GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,TDPE001,TDPE002,TDPE003,TDPE004,TDPE005,TDPE006,TDPE007,TDPE008,TDPE009,TDPE010,TXBE001,T76E001,NAME_M,TDPM001,TDPM002,TDPM003,TDPM004,TDPM005,TDPM006,TDPM007,TDPM008,TDPM009,TDPM010,TXBM001,T76M001
"G0100010","2011-2013",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,"Autauga County, Alabama",55263,42843,10167,155,522,25,665,886,77,809,48995,133100,"Autauga County, Alabama",0,392,245,73,127,43,429,309,106,289,5346,8995
"G0100030","2011-2013",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",190981,165157,17918,874,1392,0,2176,3464,353,3111,49381,165600,"Baldwin County, Alabama",0,818,789,321,294,110,830,877,333,819,2058,3031
"G0100050","2011-2013",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,"Barbour County, Alabama",27203,12768,12783,45,130,0,1129,348,0,348,30589,87700,"Barbour County, Alabama",0,420,218,52,148,110,427,193,110,193,2576,5882
"G0100070","2011-2013",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,"Bibb County, Alabama",,,,,,,,,,,36660,99500,"Bibb County, Alabama",,,,,,,,,,,5834,9588
"G0100090","2011-2013",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,"Blount County, Alabama",57807,54808,723,326,62,0,795,1093,34,1059,42607,114800,"Blount County, Alabama",0,513,275,266,59,110,486,321,41,292,3872,5988
"G0100130","2011-2013",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,"Butler County, Alabama",,,,,,,,,,,30700,77300,"Butler County, Alabama",,,,,,,,,,,2718,4270
"G0100150","2011-2013",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117253,88314,24607,193,912,0,1043,2184,249,1935,40049,100600,"Calhoun County, Alabama",0,577,387,129,217,110,476,506,324,371,1885,4086
"G0100170","2011-2013",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,"Chambers County, Alabama",,,,,,,,,,,32921,81900,"Chambers County, Alabama",,,,,,,,,,,2408,4967
"G0100190","2011-2013",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,"Cherokee County, Alabama",26116,24298,1305,72,65,4,22,350,9,341,35495,100200,"Cherokee County, Alabama",0,93,135,61,70,7,42,96,16,96,3234,9108
"G0100210","2011-2013",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,"Chilton County, Alabama",43846,37011,4573,120,76,0,1777,289,18,271,40411,102900,"Chilton County, Alabama",0,625,139,85,75,110,623,138,29,135,2494,8634
"G0100250","2011-2013",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,"Clarke County, Alabama",,,,,,,,,,,30231,85300,"Clarke County, Alabama",,,,,,,,,,,4660,6068
"G0100310","2011-2013",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,"Coffee County, Alabama",50906,39246,8647,521,833,0,264,1395,9,1386,44133,137700,"Coffee County, Alabama",0,260,351,199,104,110,174,318,11,319,3328,9264
"G0100330","2011-2013",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,"Colbert County, Alabama",54450,43325,8532,268,224,26,700,1375,298,1077,38807,99700,"Colbert County, Alabama",0,254,402,165,95,41,496,543,336,439,2248,7366
"G0100390","2011-2013",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,"Covington County, Alabama",37932,31998,4855,221,140,38,243,437,99,338,35234,88700,"Covington County, Alabama",0,142,80,93,90,57,154,162,100,126,2145,5376
"G0100430","2011-2013",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",80566,77202,894,320,430,24,553,1143,104,1039,39002,113400,"Cullman County, Alabama",0,419,234,195,36,31,418,264,146,228,1862,5116
"G0100450","2011-2013",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,"Dale County, Alabama",50106,37417,9764,233,587,13,596,1496,131,1365,42942,96300,"Dale County, Alabama",0,572,261,103,153,23,534,312,101,319,2513,6233
"G0100470","2011-2013",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,"Dallas County, Alabama",,,,,,,,,,,26949,82000,"Dallas County, Alabama",,,,,,,,,,,2199,4446
"G0100490","2011-2013",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",71137,64364,1378,769,254,0,2560,1812,410,1402,38626,100600,"DeKalb County, Alabama",0,1771,50,278,11,110,1779,491,411,348,1485,7262
"G0100510","2011-2013",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",80443,61135,16860,366,602,0,287,1193,81,1112,53484,138300,"Elmore County, Alabama",0,367,395,148,92,110,234,384,94,375,3332,8418
"G0100530","2011-2013",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,"Escambia County, Alabama",38094,23457,12851,1225,20,0,73,468,53,415,30931,88800,"Escambia County, Alabama",0,168,231,128,26,110,88,177,70,163,1950,8585
"G0100550","2011-2013",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",104188,84598,16074,540,753,89,759,1375,193,1182,36643,99400,"Etowah County, Alabama",0,459,262,296,96,121,400,366,188,308,1775,4363
"G0100590","2011-2013",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,"Franklin County, Alabama",31661,28312,1789,109,69,39,921,422,229,193,35136,86300,"Franklin County, Alabama",0,872,527,119,73,62,735,341,320,154,2589,5843
"G0100610","2011-2013",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,"Geneva County, Alabama",26837,23158,2613,67,0,0,543,456,34,422,35711,74200,"Geneva County, Alabama",0,224,364,78,110,110,445,130,53,125,3169,4866
"G0100690","2011-2013",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",103112,71974,27004,349,879,6,1066,1834,88,1746,40932,123100,"Houston County, Alabama",0,286,219,112,83,11,259,243,42,232,1305,2918
"G0100710","2011-2013",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,"Jackson County, Alabama",53078,48629,1564,714,248,63,388,1472,82,1390,37909,95900,"Jackson County, Alabama",0,290,225,375,39,95,282,413,94,395,1712,6249
"G0100730","2011-2013",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",658601,348342,279024,1411,9869,86,13028,6841,305,6536,44709,141400,"Jefferson County, Alabama",0,1688,893,413,479,74,1704,1013,173,994,1017,2401
"G0100770","2011-2013",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",92693,80557,9328,384,748,22,380,1274,148,1126,43375,119000,"Lauderdale County, Alabama",0,341,402,117,60,35,292,467,135,425,1435,4921
"G0100790","2011-2013",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,"Lawrence County, Alabama",33806,26154,3778,1960,36,0,35,1843,104,1739,39728,93100,"Lawrence County, Alabama",0,207,159,497,25,110,53,532,108,543,3099,6829
"G0100810","2011-2013",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",147537,103038,34240,227,4492,74,3047,2419,109,2310,46120,149500,"Lee County, Alabama",0,668,670,175,174,125,916,676,186,647,1985,6041
"G0100830","2011-2013",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",87255,70829,11094,386,1117,61,2133,1635,160,1475,48624,141600,"Limestone County, Alabama",0,755,306,117,155,72,726,433,111,397,2104,6378
"G0100870","2011-2013",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,"Macon County, Alabama",20429,3459,16677,50,16,0,77,150,1,149,30881,72000,"Macon County, Alabama",0,81,130,28,25,110,90,67,6,65,2894,3761
"G0100890","2011-2013",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",343112,236866,83572,2191,8524,362,2536,9061,562,8499,57042,163600,"Madison County, Alabama",0,995,787,390,555,318,744,1136,306,1045,1637,2772
"G0100910","2011-2013",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,"Marengo County, Alabama",,,,,,,,,,,32281,89900,"Marengo County, Alabama",,,,,,,,,,,2748,10504
"G0100930","2011-2013",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,"Marion County, Alabama",,,,,,,,,,,31040,76100,"Marion County, Alabama",,,,,,,,,,,2810,4802
"G0100950","2011-2013",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,"Marshall County, Alabama",94365,87157,1693,670,462,6,2602,1775,254,1521,38732,117000,"Marshall County, Alabama",0,1010,238,384,92,10,1043,470,233,369,2267,5223
"G0100970","2011-2013",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,"Mobile County, Alabama",413553,249728,144502,2803,7875,57,1860,6728,516,6212,42618,122500,"Mobile County, Alabama",0,811,891,548,548,49,689,1184,300,1116,1008,2708
"G0100990","2011-2013",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,"Monroe County, Alabama",22556,12432,9658,190,37,0,15,224,0,224,28488,76800,"Monroe County, Alabama",0,101,122,138,42,110,24,137,110,137,5287,10561
"G0101010","2011-2013",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,"Montgomery County, Alabama",229162,90360,127719,559,4980,18,2751,2775,695,2080,44087,119400,"Montgomery County, Alabama",0,895,417,259,503,28,918,636,508,426,1153,2911
"G0101030","2011-2013",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,"Morgan County, Alabama",119953,98800,14223,721,632,83,2439,3055,84,2971,44355,121800,"Morgan County, Alabama",0,909,430,332,246,104,821,576,72,561,2110,4409
"G0101090","2011-2013",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,"Pike County, Alabama",33122,19684,12149,249,647,0,10,383,3,380,32859,100500,"Pike County, Alabama",0,56,86,116,98,110,22,190,6,190,3383,11514
"G0101110","2011-2013",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,"Randolph County, Alabama",,,,,,,,,,,35571,86500,"Randolph County, Alabama",,,,,,,,,,,4163,6545
"G0101130","2011-2013",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,"Russell County, Alabama",57438,30597,24037,218,425,112,690,1359,334,1025,35517,107100,"Russell County, Alabama",0,578,320,130,190,23,422,550,379,437,1933,6280
"G0101150","2011-2013",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,"St. Clair County, Alabama",85261,75161,8079,344,655,9,433,580,0,580,51356,136900,"St. Clair County, Alabama",0,401,222,180,100,19,327,246,110,246,2648,6286
"G0101170","2011-2013",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,"Shelby County, Alabama",201093,165085,23146,492,4021,19,5732,2598,564,2034,67523,188300,"Shelby County, Alabama",0,1224,299,206,385,45,1363,688,448,475,1663,4509
"G0101210","2011-2013",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,"Talladega County, Alabama",81503,52818,26203,297,275,0,505,1405,307,1098,33281,92200,"Talladega County, Alabama",0,300,261,212,184,110,323,354,208,315,2161,4786
"G0101230","2011-2013",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",,,,,,,,,,,40000,94600,"Tallapoosa County, Alabama",,,,,,,,,,,2859,14318
"G0101250","2011-2013",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",198762,132683,60303,389,2917,15,915,1540,68,1472,44825,153800,"Tuscaloosa County, Alabama",0,746,259,182,136,25,710,329,71,305,1665,3156
"G0101270","2011-2013",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,"Walker County, Alabama",66257,60331,3530,61,208,0,610,1517,68,1449,35570,82000,"Walker County, Alabama",0,273,296,52,67,110,273,296,89,291,2174,3888
"G0101330","2011-2013",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,"Winston County, Alabama",24203,23278,102,218,51,16,0,538,77,461,32394,77800,"Winston County, Alabama",0,208,81,233,47,28,110,133,64,122,2417,6663
"G0200200","2011-2013",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",298384,196544,17826,20118,25094,6355,4143,28304,1882,26422,76159,287500,"Anchorage Municipality, Alaska",0,1187,846,1409,1206,283,808,1963,704,1827,1699,4085
"G0200900","2011-2013",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",99951,77056,4425,6718,2612,395,1072,7673,139,7534,67992,211600,"Fairbanks North Star Borough, Alaska",0,721,472,841,346,261,584,952,94,948,2579,8629
"G0201100","2011-2013",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",32415,22378,384,4020,1929,340,412,2952,168,2784,84415,321800,"Juneau City and Borough, Alaska",0,231,83,431,248,85,305,564,121,559,3734,13061
"G0201220","2011-2013",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",56812,47934,354,4557,669,53,184,3061,147,2914,62826,206800,"Kenai Peninsula Borough, Alaska",0,208,50,458,143,50,146,467,115,470,3500,7869
"G0201700","2011-2013",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",93641,79241,841,5075,1203,232,814,6235,109,6126,70680,221000,"Matanuska-Susitna Borough, Alaska",0,396,157,441,152,90,404,572,71,568,2351,4477
"G0400010","2011-2013",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,"Apache County, Arizona",72378,16941,331,52184,311,247,756,1608,64,1544,31785,92800,"Apache County, Arizona",0,411,178,471,54,182,360,491,68,489,1662,6250
"G0400030","2011-2013",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,"Cochise County, Arizona",131232,101859,5188,1496,2142,191,12541,7815,2461,5354,44103,145900,"Cochise County, Arizona",0,1473,537,354,360,239,1466,1339,966,851,2338,6745
"G0400050","2011-2013",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,"Coconino County, Arizona",135522,84456,2184,36901,1850,190,5052,4889,1364,3525,47478,211200,"Coconino County, Arizona",0,1214,278,793,275,144,1159,996,714,753,2588,9471
"G0400070","2011-2013",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,"Gila County, Arizona",53201,42552,373,8003,154,19,1074,1026,154,872,39607,118100,"Gila County, Arizona",0,551,123,182,113,29,516,263,136,227,2126,7824
"G0400090","2011-2013",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,"Graham County, Arizona",37170,28549,744,5173,186,70,1514,934,154,780,44682,127100,"Graham County, Arizona",0,605,73,284,130,71,448,475,117,456,3091,8350
"G0400120","2011-2013",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,"La Paz County, Arizona",20356,14407,49,2985,114,73,2427,301,58,243,35388,81200,"La Paz County, Arizona",0,460,56,275,82,72,515,196,57,179,3980,17168
"G0400130","2011-2013",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,"Maricopa County, Arizona",3939668,3174535,204844,74427,142897,7899,221509,113557,23101,90456,52261,168000,"Maricopa County, Arizona",0,9371,2840,2770,2388,567,8582,4856,2206,4235,317,1119
"G0400150","2011-2013",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,"Mohave County, Arizona",202857,178856,2204,3612,2305,329,6435,9116,1576,7540,37190,120100,"Mohave County, Arizona",0,1777,289,639,409,209,1415,1455,867,1268,1358,4295
"G0400170","2011-2013",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,"Navajo County, Arizona",107144,52061,586,46716,524,97,3714,3446,533,2913,34840,97900,"Navajo County, Arizona",0,873,173,719,166,25,876,722,271,680,2079,5275
"G0400190","2011-2013",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,"Pima County, Arizona",992286,778022,36220,31280,26544,1337,84279,34604,9136,25468,44612,158500,"Pima County, Arizona",0,4692,1555,1654,1047,286,4363,2770,1442,2258,707,1936
"G0400210","2011-2013",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,"Pinal County, Arizona",386687,309199,17960,19789,6133,1702,20851,11053,2537,8516,48172,115300,"Pinal County, Arizona",0,2749,704,1016,510,275,2400,2033,951,1699,1539,2450
"G0400230","2011-2013",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",47111,36006,200,84,353,41,9387,1040,620,420,39361,133000,"Santa Cruz County, Arizona",0,2176,94,71,157,55,2101,571,470,297,3841,7624
"G0400250","2011-2013",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,"Yavapai County, Arizona",212843,195196,1242,4483,1491,35,5328,5068,1209,3859,42757,174100,"Yavapai County, Arizona",0,1438,217,491,314,51,1302,946,650,584,1619,6663
"G0400270","2011-2013",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,"Yuma County, Arizona",201595,154484,4077,2759,2479,666,32918,4212,1479,2733,40351,110300,"Yuma County, Arizona",0,3058,616,403,239,658,3034,673,433,520,1579,3086
"G0500030","2011-2013",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,"Ashley County, Arkansas",21491,15217,5544,32,29,0,499,170,15,155,34128,63000,"Ashley County, Arkansas",0,306,83,39,50,110,309,71,22,66,3187,4714
"G0500050","2011-2013",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,"Baxter County, Arkansas",41096,39803,206,224,67,0,184,612,23,589,33376,117700,"Baxter County, Arkansas",0,160,151,172,69,110,166,225,33,229,2857,5856
"G0500070","2011-2013",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,"Benton County, Arkansas",232560,204961,2786,3296,7718,754,6448,6597,820,5777,54709,145700,"Benton County, Arkansas",0,1554,424,557,312,109,1467,731,337,658,1817,3770
"G0500090","2011-2013",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,"Boone County, Arkansas",37252,36053,90,271,189,0,15,634,1,633,38805,108500,"Boone County, Arkansas",0,29,84,178,36,110,27,201,6,202,2112,7661
"G0500150","2011-2013",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,"Carroll County, Arkansas",27646,26287,85,244,111,5,160,754,70,684,33411,112000,"Carroll County, Arkansas",0,188,69,178,121,8,115,198,63,188,3194,13384
"G0500190","2011-2013",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,"Clark County, Arkansas",22837,16871,5462,18,174,0,33,279,0,279,32601,88800,"Clark County, Arkansas",0,79,88,27,7,110,65,92,110,92,3795,8138
"G0500230","2011-2013",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",25806,25084,121,147,89,0,99,266,0,266,45047,120300,"Cleburne County, Arkansas",0,131,104,130,81,110,131,120,110,120,4469,10605
"G0500270","2011-2013",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,"Columbia County, Arkansas",24403,14587,8977,66,183,0,126,464,401,63,34825,77200,"Columbia County, Arkansas",0,172,159,68,139,110,142,251,237,76,4219,9815
"G0500290","2011-2013",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,"Conway County, Arkansas",,,,,,,,,,,34583,86100,"Conway County, Arkansas",,,,,,,,,,,3262,4784
"G0500310","2011-2013",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,"Craighead County, Arkansas",99927,82117,13748,370,1214,76,1027,1375,251,1124,42461,126600,"Craighead County, Arkansas",0,479,424,159,148,116,503,473,202,426,2258,6135
"G0500330","2011-2013",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,"Crawford County, Arkansas",61801,56084,800,1137,961,0,926,1893,35,1858,38085,103300,"Crawford County, Arkansas",0,498,161,341,99,110,473,327,40,322,1609,5825
"G0500350","2011-2013",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",50117,22759,25348,102,401,45,651,811,95,716,38971,98600,"Crittenden County, Arkansas",0,272,389,66,110,66,364,379,142,348,2210,5738
"G0500450","2011-2013",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",118233,100256,13056,461,1490,27,941,2002,158,1844,50852,141100,"Faulkner County, Arkansas",0,635,299,168,248,35,598,404,137,386,2623,4229
"G0500510","2011-2013",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,"Garland County, Arkansas",96900,81771,8122,666,608,0,3734,1999,34,1965,38592,130100,"Garland County, Arkansas",0,376,305,245,232,110,459,403,58,403,2010,6848
"G0500550","2011-2013",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,"Greene County, Arkansas",42994,41534,146,169,69,0,277,799,78,721,37666,101500,"Greene County, Arkansas",0,232,101,157,74,110,220,195,78,204,2929,8253
"G0500570","2011-2013",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",,,,,,,,,,,29254,78000,"Hempstead County, Arkansas",,,,,,,,,,,3888,8537
"G0500590","2011-2013",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",,,,,,,,,,,43087,83400,"Hot Spring County, Arkansas",,,,,,,,,,,3863,3920
"G0500630","2011-2013",,,"Arkansas","05","Independence County","063",,,,,,,,,,,,,,,,,"Independence County, Arkansas",36955,34816,1055,181,81,0,256,566,9,557,34051,89000,"Independence County, Arkansas",0,198,180,174,115,110,143,180,14,182,2372,6367
"G0500690","2011-2013",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",74611,31266,41502,98,575,154,178,838,129,709,37244,84200,"Jefferson County, Arkansas",0,248,156,70,118,177,105,235,129,167,2136,3963
"G0500710","2011-2013",,,"Arkansas","05","Johnson County","071",,,,,,,,,,,,,,,,,"Johnson County, Arkansas",25789,23832,546,171,250,87,555,348,19,329,32089,85600,"Johnson County, Arkansas",0,359,61,120,33,134,346,163,32,160,3564,3639
"G0500830","2011-2013",,,"Arkansas","05","Logan County","083",,,,,,,,,,,,,,,,,"Logan County, Arkansas",22120,20773,421,131,427,0,8,360,41,319,32859,81600,"Logan County, Arkansas",0,55,7,100,49,110,14,119,49,112,2932,4410
"G0500850","2011-2013",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,"Lonoke County, Arkansas",70051,62783,4269,439,533,0,969,1058,156,902,52994,126000,"Lonoke County, Arkansas",0,464,217,160,174,110,511,351,133,315,2218,4642
"G0500910","2011-2013",,,"Arkansas","05","Miller County","091",,,,,,,,,,,,,,,,,"Miller County, Arkansas",43588,31341,10477,196,121,0,308,1145,98,1047,40135,96400,"Miller County, Arkansas",0,209,433,163,149,110,160,430,73,430,2613,7989
"G0500930","2011-2013",,,"Arkansas","05","Mississippi County","093",,,,,,,,,,,,,,,,,"Mississippi County, Arkansas",45444,28645,15436,78,71,22,268,924,0,924,35616,76600,"Mississippi County, Arkansas",0,239,428,46,94,37,221,440,110,440,3730,4551
"G0501030","2011-2013",,,"Arkansas","05","Ouachita County","103",,,,,,,,,,,,,,,,,"Ouachita County, Arkansas",,,,,,,,,,,30722,69900,"Ouachita County, Arkansas",,,,,,,,,,,2296,6647
"G0501070","2011-2013",,,"Arkansas","05","Phillips County","107",,,,,,,,,,,,,,,,,"Phillips County, Arkansas",,,,,,,,,,,26165,59500,"Phillips County, Arkansas",,,,,,,,,,,1460,8553
"G0501110","2011-2013",,,"Arkansas","05","Poinsett County","111",,,,,,,,,,,,,,,,,"Poinsett County, Arkansas",,,,,,,,,,,30580,73800,"Poinsett County, Arkansas",,,,,,,,,,,2854,3934
"G0501130","2011-2013",,,"Arkansas","05","Polk County","113",,,,,,,,,,,,,,,,,"Polk County, Arkansas",20479,19053,17,301,146,0,445,517,20,497,33184,85400,"Polk County, Arkansas",0,193,22,204,158,110,192,178,25,183,2569,6046
"G0501150","2011-2013",,,"Arkansas","05","Pope County","115",,,,,,,,,,,,,,,,,"Pope County, Arkansas",62611,57195,2062,357,421,0,604,1972,128,1844,39315,111600,"Pope County, Arkansas",0,529,284,139,256,110,370,492,117,514,3546,5203
"G0501190","2011-2013",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,"Pulaski County, Arkansas",389001,229212,138222,1112,7820,100,4354,8181,300,7881,45352,142200,"Pulaski County, Arkansas",0,1588,1367,284,625,106,1382,1302,190,1295,1261,3424
"G0501230","2011-2013",,,"Arkansas","05","St. Francis County","123",,,,,,,,,,,,,,,,,"St. Francis County, Arkansas",27688,12142,14180,59,72,23,501,711,16,695,30761,58600,"St. Francis County, Arkansas",0,190,472,64,128,42,174,435,30,435,3777,3664
"G0501250","2011-2013",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,"Saline County, Arkansas",112083,101625,5807,310,954,0,953,2434,167,2267,55390,138200,"Saline County, Arkansas",0,448,454,201,216,110,443,619,118,587,2525,4466
"G0501310","2011-2013",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,"Sebastian County, Arkansas",127243,105307,7234,1670,5677,210,1608,5537,504,5033,38926,115900,"Sebastian County, Arkansas",0,711,691,409,199,217,544,777,250,713,2472,4460
"G0501390","2011-2013",,,"Arkansas","05","Union County","139",,,,,,,,,,,,,,,,,"Union County, Arkansas",41004,26506,13448,144,243,0,28,635,133,502,37105,70500,"Union County, Arkansas",0,234,130,105,72,110,40,215,152,149,2534,5804
"G0501430","2011-2013",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,"Washington County, Arkansas",211919,164853,7093,2427,5431,4739,22340,5036,584,4452,40868,143700,"Washington County, Arkansas",0,2155,299,496,327,109,2263,963,288,853,1092,4243
"G0501450","2011-2013",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,"White County, Arkansas",78404,71721,3543,168,372,0,911,1689,190,1499,43258,104100,"White County, Arkansas",0,371,233,130,183,110,394,341,166,306,1881,6706
"G0501490","2011-2013",,,"Arkansas","05","Yell County","149",,,,,,,,,,,,,,,,,"Yell County, Arkansas",21920,17836,464,130,333,0,2896,261,112,149,36761,90900,"Yell County, Arkansas",0,535,57,80,27,110,519,154,127,83,2928,12012
"G0600010","2011-2013",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,"Alameda County, California",1554725,708030,185319,9115,419817,13239,123876,95329,20693,74636,71356,489000,"Alameda County, California",0,5884,2158,962,2616,487,5336,4073,2337,3560,887,4578
"G0600050","2011-2013",,,"California","06","Amador County","005",,,,,,,,,,,,,,,,,"Amador County, California",37005,31896,985,828,549,22,1368,1357,67,1290,50662,249000,"Amador County, California",0,473,97,261,124,40,374,523,60,532,3982,17748
"G0600070","2011-2013",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,"Butte County, California",221006,185495,3238,2026,9656,333,5953,14305,1776,12529,41114,213600,"Butte County, California",0,1368,436,412,566,169,1198,1210,490,1119,1513,6345
