GEOID,pnhwhite,pnhasn,pnhblk,phisp
06001400100,0.6920762286860582,0.16181878970244065,0.028084252758274825,0.03778000668672685
06001400200,0.7130696044066099,0.09814722083124687,0.009013520280420632,0.0886329494241362
06001400300,0.6697247706422018,0.09759906304899472,0.09408549677923092,0.07515127854772594
06001400400,0.6577298922575796,0.12127286394387371,0.059634176898020544,0.09446254071661238
06001400500,0.5337221095334685,0.055780933062880324,0.24112576064908722,0.1031947261663286
06001400600,0.44587155963302755,0.09663608562691131,0.24587155963302754,0.0856269113149847
06001400700,0.3754393218937358,0.04134794293983874,0.3471159809799462,0.177175935497209
06001400800,0.38382507903055846,0.13198103266596417,0.3206006322444679,0.11090621707060064
06001400900,0.42564745196324144,0.06140350877192982,0.3237259816207185,0.12071846282372597
06001401000,0.29278053465663517,0.029774291659996798,0.36593564911157356,0.19801504722266688
06001401100,0.5048751486325802,0.16361474435196194,0.15315101070154577,0.10368608799048752
06001401200,0.5121107266435986,0.08727412533640908,0.1653210303729335,0.18685121107266436
06001401300,0.3453379378391712,0.15293537247163297,0.32535767143561917,0.13468179575727676
06001401400,0.22153002741091452,0.05855968103663095,0.3760279092947919,0.2342387241465238
06001401500,0.3711144806671721,0.0686125852918878,0.35898407884761185,0.1372251705837756
06001401600,0.2530981887511916,0.08531935176358436,0.45090562440419446,0.12869399428026693
06001401700,0.3286384976525822,0.09064644275911882,0.26038280967858435,0.28963524738172625
06001401800,0.2671161825726141,0.03682572614107884,0.42271784232365145,0.18827800829875518
06001402200,0.2675009777082519,0.13844348846304264,0.31286664059444663,0.2456003128666406
06001402400,0.21099290780141844,0.11170212765957446,0.5109929078014185,0.11914893617021277
06001402500,0.08022598870056497,0.10112994350282486,0.6412429378531074,0.1288135593220339
06001402600,0.1305398871877518,0.46253021756647866,0.257856567284448,0.12248186946011282
06001402700,0.25903614457831325,0.11336254107338445,0.40416210295728366,0.1801752464403067
06001402800,0.28390129259694474,0.17344300822561692,0.4115158636897767,0.08531139835487661
06001402900,0.23429781227946367,0.37544107268877913,0.15384615384615385,0.15314043754410728
06001403000,0.0538295908951092,0.8308212857582282,0.048908028298984926,0.018148262073208243
06001403100,0.22950819672131148,0.4191256830601093,0.1830601092896175,0.12786885245901639
06001403300,0.21589711153278515,0.5504954670040059,0.06557031414716424,0.10815939278937381
06001403400,0.4124062713019768,0.26743921835946377,0.19336514428538967,0.07475573733242445
06001403501,0.3773946360153257,0.2120051085568327,0.22264793529161345,0.12324393358876118
06001403502,0.4530493707647628,0.13601161665053244,0.25072604065827686,0.11423039690222653
06001403600,0.37233830845771143,0.09393034825870647,0.32119402985074624,0.1309452736318408
06001403701,0.4474336283185841,0.08212389380530974,0.31787610619469026,0.09876106194690265
06001403702,0.5291951604418726,0.1499210941609679,0.10573382430299842,0.13992635455023672
06001403800,0.66232191573204,0.14307365868444982,0.06001818732949379,0.07759927250682025
06001403900,0.5492604662822762,0.17197292554524943,0.1476560541489095,0.05891200802206067
06001404000,0.577316188592153,0.10913287174414771,0.060666007253544346,0.16584240026376526
06001404101,0.6518298714144412,0.13188262446422683,0.05440158259149357,0.05967688757006264
06001404102,0.7241948802642444,0.1222130470685384,0.03344343517753923,0.0953757225433526
06001404200,0.7,0.11055555555555556,0.06916666666666667,0.05388888888888889
06001404300,0.6272563176895307,0.11070998796630566,0.04271961492178099,0.14049338146811072
06001404400,0.6764976958525346,0.17437788018433178,0.025069124423963134,0.06304147465437789
06001404501,0.6666666666666666,0.13785675821217017,0.04254173397953689,0.0683898761443188
06001404502,0.658207343412527,0.12508999280057595,0.06569474442044636,0.07325413966882649
06001404600,0.7108274647887324,0.13138204225352113,0.053477112676056336,0.026848591549295774
06001404700,0.7149712092130518,0.13675623800383876,0.05662188099808062,0.06429942418426103
06001404800,0.43738523687109804,0.1369812706573632,0.16856408373117884,0.1340433345574734
06001404900,0.6007112014224029,0.11201422402844806,0.0937261874523749,0.08966217932435865
06001405000,0.6262019230769231,0.12259615384615384,0.0967548076923077,0.0859375
06001405100,0.6257498846331334,0.10013844023996309,0.16658975542224272,0.03068758652514998
06001405200,0.3088780487804878,0.296390243902439,0.09873170731707318,0.1951219512195122
06001405301,0.46869824445180525,0.08843988075521696,0.25074527989400464,0.12520702219277907
06001405302,0.28168438266557644,0.3466884709730172,0.1267375306623058,0.1500408830744072
06001405401,0.18933731938216244,0.3393124065769806,0.1898355754857997,0.23467862481315396
06001405402,0.10276923076923077,0.3436923076923077,0.248,0.1963076923076923
06001405500,0.19713870029097963,0.49733268671193015,0.13530552861299708,0.11542192046556742
06001405600,0.24881740775780511,0.27593818984547464,0.1488489435509303,0.2425102491327657
06001405700,0.12819148936170213,0.313563829787234,0.3268617021276596,0.1803191489361702
06001405800,0.13059033989266547,0.4288908765652952,0.23278175313059035,0.18537567084078713
06001405901,0.039057385991708486,0.3604625790966616,0.1527383809731617,0.4145756054985817
06001405902,0.08803611738148984,0.47726539825862624,0.13673008706868753,0.25378910029022894
06001406000,0.20571608040201006,0.4324748743718593,0.13662060301507536,0.16457286432160803
06001406100,0.140851155757183,0.1343702743573126,0.10412616115791748,0.5867357960682653
06001406201,0.07137985905887702,0.22686974312343713,0.16094566947033417,0.4405546715162537
06001406202,0.10615618881879486,0.08092234065695018,0.12007831194257124,0.6025668914509462
06001406300,0.11264534883720931,0.3541666666666667,0.14970930232558138,0.35876937984496127
06001406400,0.29554140127388534,0.18980891719745224,0.25392781316348195,0.1791932059447983
06001406500,0.06291125020060985,0.1486117798106243,0.18472155352270903,0.5496709998395121
06001406601,0.11001737116386798,0.2208067940552017,0.25690021231422505,0.3024512642347037
06001406602,0.1044404973357016,0.41101243339253996,0.16518650088809947,0.2753108348134991
06001406700,0.48154093097913325,0.23154093097913322,0.1286115569823435,0.10914927768860354
06001406800,0.33545530030445614,0.32742872958760033,0.08912261278715748,0.15721007473014115
06001406900,0.34838873382390256,0.22380106571936056,0.13854351687388988,0.17153006851053032
06001407000,0.11212624584717608,0.3573089700996678,0.1558139534883721,0.32558139534883723
06001407101,0.10830429732868757,0.24128919860627177,0.1326945412311266,0.4799651567944251
06001407102,0.14564052605942523,0.1602532878714077,0.15879201169020946,0.45981490501704825
06001407200,0.06851642129105323,0.14595130237825596,0.07969988674971687,0.6828992072480181
06001407300,0.15492957746478872,0.1557344064386318,0.0841046277665996,0.5625754527162978
06001407400,0.03995243757431629,0.11058263971462545,0.16837098692033295,0.6535077288941736
06001407500,0.062356717102246675,0.04997707473635947,0.317285648784961,0.5160476845483724
06001407600,0.09612426945555214,0.11473392802214703,0.41048908028298986,0.31205782836050444
06001407700,0.26745283018867927,0.06179245283018868,0.482311320754717,0.13160377358490566
06001407800,0.3096280087527352,0.21590080233406272,0.25200583515681985,0.14405543398978848
06001407900,0.41198249747559745,0.2022887916526422,0.15011780545270953,0.11881521373274992
06001408000,0.50362056480811,0.19261404779145547,0.14373642288196958,0.1057204923968139
06001408100,0.3693665300976993,0.2280176489127009,0.20895052001260636,0.11140876142451939
06001408200,0.1935843172198708,0.048340387614167965,0.505012252171976,0.13455112497215416
06001408300,0.2523201856148492,0.08874709976798144,0.35131477184841453,0.24671307037896364
06001408400,0.12265861027190332,0,0.3649546827794562,0.4595166163141994
06001408500,0.013486176668914362,0.023432231962238707,0.374409979770735,0.5342211732973702
06001408600,0.03682634730538922,0.01631736526946108,0.3163173652694611,0.5782934131736527
06001408700,0.05288337212309284,0.02068787173519524,0.4138867339022498,0.4856477889837083
06001408800,0.03824091778202677,0.05019120458891013,0.36089866156787764,0.5044614404079031
06001408900,0.03016393442622951,0.04590163934426229,0.2904918032786885,0.5914754098360656
06001409000,0.018013245033112583,0.026490066225165563,0.343046357615894,0.5136423841059603
06001409100,0.018360949395432154,0.05866547245857591,0.33049708911777875,0.5221674876847291
06001409200,0.038002773925104025,0.051040221914008324,0.3614424410540915,0.5228848821081831
06001409300,0.054403131115459885,0.015655577299412915,0.3025440313111546,0.6068493150684932
06001409400,0.05008472980606289,0.09621540199585765,0.25663716814159293,0.5912257578610431
06001409500,0.07673964881855626,0.01040537611099068,0.24235855191849123,0.6275742466941253
06001409600,0.020726495726495726,0.03782051282051282,0.26645299145299145,0.6416666666666667
06001409700,0.025360977415771938,0.0273972602739726,0.34431691965938543,0.5773787486116253
06001409800,0.13854907539118066,0.051493598862019915,0.512375533428165,0.1624466571834993
06001409900,0.25346420323325636,0.08747113163972287,0.4740184757505774,0.11374133949191687
06001410000,0.3226260918568611,0.04113834883065652,0.4077204846435616,0.08678500986193294
06001410100,0.12463976945244956,0.02989913544668588,0.5969020172910663,0.1739913544668588
06001410200,0.052522255192878335,0.012462908011869436,0.4940652818991098,0.40741839762611276
06001410300,0.011951083935519732,0.013340744858254585,0.24763757643135076,0.6717620900500277
06001410400,0.060057887120115776,0.08393632416787265,0.3666184273999035,0.47129763627592863
06001410500,0.06790402897238569,0.15391579900407423,0.6518786781349026,0.06564056133997284
06001420100,0.5965488907148726,0.2161051766639277,0.029170090386195564,0.06902218570254724
06001420200,0.4590112640801001,0.26501877346683356,0.077909887359199,0.15362953692115144
06001420300,0.3395311236863379,0.37206952303961194,0.05092966855295069,0.12105901374292644
06001420400,0.302740991684632,0.3400061595318756,0.017862642439174622,0.2334462580843856
06001420500,0.4954237962594509,0.2132908873855949,0.06287306008754477,0.09192200557103064
06001420600,0.7296650717703349,0.12410287081339713,0.005681818181818182,0.090311004784689
06001421100,0.7822541966426858,0.12853717026378897,0.012949640287769784,0.0407673860911271
06001421200,0.7515068493150685,0.11452054794520548,0.006301369863013699,0.0652054794520548
06001421300,0.8047910295616718,0.09276248725790011,0.010448521916411825,0.02089704383282365
06001421400,0.7530719719133997,0.11059098888238736,0.035693387946167346,0.04564072557050907
06001421500,0.7939011566771819,0.09227129337539432,0.031545741324921134,0.04784437434279706
06001421600,0.7763046544428773,0.13963328631875882,0.01692524682651622,0.04710860366713681
06001421700,0.673572228443449,0.1786114221724524,0.002799552071668533,0.08286674132138858
06001421800,0.7050423917893798,0.14814814814814814,0.027666220437304774,0.03435966086568496
06001421900,0.6173649671882887,0.14613831398283694,0.056789500252397776,0.07950530035335689
06001422000,0.6320324379118094,0.04308160162189559,0.15509376583882412,0.11910795742524075
06001422100,0.5101260985861674,0.13985479556744365,0.14176538020634313,0.14367596484524264
06001422200,0.5766957500703631,0.1514213340838728,0.06107514776245426,0.13228257810301153
06001422300,0.5902313624678663,0.2210796915167095,0.04884318766066838,0.08457583547557841
06001422400,0.5321232385956532,0.32171005493193217,0.016718414139001672,0.08359207069500836
06001422500,0.5108800773694391,0.28433268858800775,0.025145067698259187,0.09864603481624758
06001422600,0.38142153413089375,0.4123856439127375,0.028852920478536243,0.13441238564391272
06001422700,0.4749375840215095,0.29114653351257924,0.026502784712886498,0.15690416746687152
06001422800,0.2878554110645801,0.44093013004187787,0.047167731981485564,0.1591359929468812
06001422900,0.3655893168182698,0.3607509192955293,0.12754015869943874,0.06696342171472808
06001423000,0.5793973071169053,0.1944860012823253,0.03355417824321436,0.1278050865569566
06001423100,0.4832137068765918,0.178050474646909,0.1458670988654781,0.11437832831673998
06001423200,0.3040078201368524,0.06321277289019224,0.20690778755294884,0.3154121863799283
06001423300,0.37216748768472907,0.091871921182266,0.3568965517241379,0.11847290640394088
06001423400,0.4742792538157151,0.1366120218579235,0.1443376672319578,0.14377237610702845
06001423500,0.5316686967113277,0.11632155907429964,0.1425091352009744,0.15225334957369063
06001423601,0.7280732652342374,0.09968298696724198,0.03698485382176823,0.07784431137724551
06001423602,0.4163646767118062,0.34579439252336447,0.06790005721914934,0.08315849704367728
06001423700,0.6414706554007764,0.20369947476592828,0.027403516784654032,0.07170586891984472
06001423800,0.7687285223367698,0.088659793814433,0.012027491408934709,0.09312714776632303
06001423901,0.594159113796576,0.09718026183282981,0.13293051359516617,0.1510574018126888
06001423902,0.7347600518806745,0.10051880674448768,0.027885862516212712,0.07068741893644617
06001424001,0.4476851851851852,0.09837962962962964,0.24027777777777778,0.14837962962962964
06001424002,0.31722772277227723,0.07247524752475247,0.31683168316831684,0.23683168316831682
06001425101,0.5805523590333717,0.2508630609896433,0.08170310701956271,0.03624856156501726
06001425102,0.3554665140240412,0.41242129364625074,0.08614768174012594,0.08328563251287922
06001425103,0.4716126785092302,0.25391849529780564,0.1417624521072797,0.07732497387669801
06001425104,0.4130371236480561,0.16749488453668518,0.24788073662671734,0.13680210464776382
06001426100,0.7381290424357154,0.1779460482725982,0.013882315822684966,0.03202397854551191
06001426200,0.6572523703853137,0.1771232600363123,0.01956828727052653,0.06435343958039137
06001427100,0.6447437929212889,0.1455361859482303,0.04727945060750132,0.10882197569994717
06001427200,0.3745851114272167,0.20507349454717877,0.047178757705073494,0.2600758653390232
06001427300,0.4058812149351906,0.3826658928225962,0.0665505900561037,0.09576320371445154
06001427600,0.23204225352112676,0.3316901408450704,0.21778169014084506,0.12535211267605634
06001427700,0.5131034482758621,0.1741871921182266,0.07980295566502463,0.1399014778325123
06001427800,0.45430261400496086,0.3606182026330853,0.034917000572409845,0.06410990269032628
06001427900,0.49121389618258937,0.2740860432235912,0.05857402544940416,0.12482326802666129
06001428000,0.3653217011995638,0.30461650308978555,0.10432569974554708,0.15448927662668122
06001428100,0.5647348951911221,0.21413892314015617,0.03884093711467324,0.1337854500616523
06001428200,0.5407191149354641,0.24784880147510757,0.05270436385986478,0.09665027658266749
06001428301,0.3221620079863092,0.4505134055904164,0.02139189960068454,0.09455219623502567
06001428302,0.4035064239828694,0.42144004282655245,0.040417558886509636,0.07963062098501071
06001428400,0.4218334809565988,0.28476527900797166,0.09433126660761736,0.14393268379096547
06001428500,0.41182078169685415,0.3292024149984112,0.06990784874483635,0.08643152208452494
06001428600,0.4000586166471278,0.3443728018757327,0.10082063305978899,0.06770222743259086
06001428700,0.32935614588023415,0.3619990995047276,0.14317874831157137,0.12044124268347592
06001430101,0.3209160747934483,0.4980431946658936,0.05710972604725322,0.059428902739527466
06001430102,0.5686032138442522,0.2130201895344046,0.029666254635352288,0.10630407911001236
06001430200,0.6328849028400598,0.18804185351270553,0.02376681614349776,0.09865470852017937
06001430300,0.547638326585695,0.2164642375168691,0.07611336032388664,0.11794871794871795
06001430400,0.5990697674418605,0.1841860465116279,0.0027906976744186047,0.16883720930232557
06001430500,0.3118828176431863,0.2119815668202765,0.21445029624753126,0.2011191573403555
06001430600,0.3816008473293993,0.26811923135118776,0.1373884097442881,0.14465123316689363
06001430700,0.5773320444659256,0.19212179797003384,0.03455775737071049,0.13992266795553407
06001430800,0.5279457577423493,0.2112882536192047,0.016126076598863844,0.18435037566428442
06001430900,0.42554814108674927,0.15081029551954242,0.11763584366062917,0.2650142993326978
06001431000,0.31874145006839943,0.2612859097127223,0.030779753761969904,0.33036935704514364
06001431100,0.33062937062937064,0.1062937062937063,0.12811188811188812,0.3474125874125874
06001431200,0.4996562392574768,0.159333104159505,0.14437951185974562,0.1615675489859058
06001432100,0.41904008438818563,0.19013713080168776,0.12658227848101267,0.19356540084388185
06001432200,0.35257410296411856,0.11901047470470247,0.19701359482950748,0.2689993314018275
06001432300,0.20583879839221494,0.2519568436640575,0.08102390522530147,0.391580283477893
06001432400,0.2117319300417892,0.3378733942114224,0.058040550998297476,0.36666150750657794
06001432501,0.18513827316867215,0.35444374076419677,0.07557525860249102,0.35824361410175215
06001432502,0.13309845370914072,0.3820708553532981,0.11978860833822666,0.31630456057936973
06001432600,0.2475984305236098,0.21052631578947367,0.16628331754836964,0.3095656879989176
06001432700,0.42736545902215967,0.17340837143862117,0.0531129088990503,0.27576503693281745
06001432800,0.34019028027770637,0.25739264592440214,0.12188223193623039,0.2149652867060941
06001433000,0.2623762376237624,0.3892652423137051,0.06956748306409588,0.23449713392391872
06001433102,0.1429944724825763,0.3789954337899543,0.047825042057197786,0.3987022350396539
06001433103,0.10985545335085414,0.22943495400788436,0.290407358738502,0.3248357424441524
06001433104,0.3149257619171659,0.14274550664235477,0.1544673091951029,0.30450638187027873
06001433200,0.1800595238095238,0.3606601731601732,0.20265151515151514,0.20292207792207792
06001433300,0.23415380691238363,0.4347659737278408,0.0609616120392807,0.24703481698762914
06001433400,0.18026275588145432,0.5591200733272227,0.0795905896730828,0.13901619309501986
06001433500,0.25986277873070324,0.38186106346483706,0.04009433962264151,0.2971698113207547
06001433600,0.21087371895084245,0.4691679694285218,0.08494007295466388,0.18412367552544728
06001433700,0.11883346961024803,0.14336331425456528,0.09157808667211774,0.5936222403924775
06001433800,0.15986476696450133,0.35872977541656603,0.08439990340497465,0.39012315865732916
06001433900,0.07354907729339395,0.12302754747258625,0.31372024605509496,0.4542658464830168
06001434000,0.13029680791487774,0.14131043494493187,0.1734179578122083,0.5267873809968265
06001435102,0.3912025422311423,0.19986619836092992,0.10469978257233652,0.2405084462284663
06001435103,0.3142155446402774,0.4156313204276221,0.11282866223634788,0.09303669459693731
06001435104,0.13345800748044884,0.2388643318599116,0.13583815028901733,0.3871132267936076
06001435200,0.29546445704317487,0.20431748800697777,0.2069341474051461,0.23680767553423462
06001435300,0.2696629213483146,0.14088159031979255,0.23573898012100258,0.2824114088159032
06001435400,0.21077981651376146,0.13555045871559632,0.18944954128440367,0.3811926605504587
06001435500,0.281350086228135,0.10248829761024883,0.09731460950973146,0.4575018477457502
06001435601,0.0938431854060691,0.10998070513944921,0.1282231187510963,0.6260305209612349
06001435602,0.2847260149280903,0.10631713089386492,0.08301474604041507,0.5104678681958856
06001435700,0.19693918646798228,0.13391059202577527,0.1004832863471607,0.5237615787354007
06001435800,0.19540434627716424,0.22461702885643034,0.00997506234413965,0.5386533665835411
06001435900,0.3092177745134043,0.25780389276533233,0.0633492471538744,0.31087036356959236
06001436000,0.3441818992420865,0.2284886312973696,0.006241640659830584,0.3738296923762818
06001436100,0.21193348549070753,0.2474731007499185,0.05167916530811868,0.44717965438539287
06001436200,0.12629549288985298,0.11087008917811521,0.1752229452880212,0.5572427090865268
06001436300,0.13931593373852938,0.25134072220235965,0.11262066499821237,0.4650220474317721
06001436401,0.3194122196442382,0.1883217324052591,0.12980149523072956,0.27674658417117814
06001436402,0.4798356982823002,0.1176250933532487,0.13330843913368184,0.21135175504107542
06001436500,0.18307322929171668,0.16666666666666666,0.11924769907963186,0.45178071228491395
06001436601,0.11453362255965292,0.17512653651482285,0.10571221981200289,0.5240780911062907
06001436602,0.0920535011801731,0.2104642014162077,0.1955153422501967,0.4356805664830842
06001436700,0.1704268292682927,0.2939024390243902,0.04176829268292683,0.45884146341463417
06001436800,0.135678391959799,0.19262981574539365,0.1273031825795645,0.4893515195022733
06001436900,0.1377595788242176,0.12401286926001755,0.04884469143024276,0.6398069610997368
06001437000,0.19555302166476624,0.2120866590649943,0.05986316989737742,0.3805587229190422
06001437101,0.13929863623712774,0.504174784302811,0.05942109657667687,0.20553854717506262
06001437102,0.10095944177932839,0.39533362407326644,0.08482337549062363,0.3423462712603576
06001437200,0.1790437436419125,0.4202695829094608,0.055824008138351984,0.2843336724313327
06001437300,0.14431712604521524,0.2830597708268814,0.11210901207804273,0.3459275317435739
06001437400,0.17276544691061788,0.21295740851829634,0.02669466106778644,0.5338932213557288
06001437500,0.1178915135608049,0.15179352580927383,0.04440069991251094,0.6681977252843394
06001437600,0.1308435622878036,0.2791851658396448,0.07103682423609298,0.4348393836510838
06001437701,0.11695594125500668,0.08090787716955941,0.09906542056074766,0.5959946595460615
06001437702,0.03726061615320566,0.12447960033305579,0.026436303080766027,0.7805995004163198
06001437800,0.16581632653061223,0.3250425170068027,0.1016156462585034,0.32908163265306123
06001437900,0.07905460472697637,0.1621841890790546,0.0550122249388753,0.6397718011409943
06001438000,0.29094660820221824,0.30074800103172555,0.01728140314676296,0.3729687903017797
06001438100,0.17140568682418902,0.3131758109731678,0.09558136430383127,0.3629688960085436
06001438201,0.09498100379924015,0.2349530093981204,0.0673865226954609,0.5546890621875625
06001438203,0.18440046565774157,0.4987194412107101,0.046332945285215366,0.23376018626309664
06001438204,0.16809950612767513,0.35723431498079383,0.09109200658496433,0.2822388878726907
06001438300,0.054040530397798346,0.39254440830622966,0.08656492369276958,0.3487615711783838
06001438400,0.2015728476821192,0.40397350993377484,0.05173841059602649,0.30629139072847683
06001440100,0.39109113199836537,0.3690232938291786,0.025337147527584796,0.1855333060890887
06001440200,0.04187604690117253,0.20067001675041876,0.07035175879396985,0.6638190954773869
06001440301,0.22255394219025648,0.3278599538607681,0.04098249423259601,0.3644999321481884
06001440304,0.09494163424124513,0.6363813229571984,0.06848249027237355,0.12140077821011673
06001440305,0.15907429963459196,0.5566382460414129,0.0679658952496955,0.14786845310596833
06001440306,0.10208432022738038,0.6643770724774988,0.09355755566082426,0.08005684509711038
06001440307,0.21057367829021373,0.5322834645669291,0.0407199100112486,0.17480314960629922
06001440308,0.16599646131574713,0.48849927617822103,0.03667363680231623,0.2721569889013994
06001440331,0.15475837533353098,0.524755410613697,0.037058997924696115,0.20308330862733473
06001440332,0.08997785160575858,0.7967884828349945,0.008028792912513842,0.0340531561461794
06001440333,0.15099251545720793,0.6531077123332248,0.06898795964855191,0.05206638464041653
06001440334,0.14638447971781304,0.5864197530864198,0.04519400352733686,0.12874779541446207
06001440335,0.17996847685914888,0.6198595787362087,0.039403926063906004,0.09156039547213068
06001440336,0.18165285916346738,0.45867852091331585,0.09779753485552636,0.22368155182865226
06001441100,0.43638948116560056,0.2802653399668325,0.01658374792703151,0.2082444918265814
06001441200,0.3620467249534184,0.3396875447900244,0.025369069800773972,0.2089723376809517
06001441301,0.2135678391959799,0.6394472361809045,0.032977386934673364,0.08134422110552764
06001441302,0.2611800714164258,0.5070566230232953,0.024315592586294846,0.14657371195374935
06001441401,0.2041522491349481,0.5392980721700444,0.05054374691052892,0.12629757785467127
06001441402,0.18922397940419272,0.6719382125781538,0.025376976829716808,0.04266274365575579
06001441501,0.1040283994443587,0.7217163142460257,0.015125791017132274,0.08242012656274117
06001441503,0.0844799526557183,0.8085515608817873,0.01583074419292795,0.028702470779701138
06001441521,0.1714422158548233,0.6996179560649475,0.013053167780961477,0.06638013371537727
06001441522,0.10569263648727414,0.6087040994754226,0.05401204585195259,0.1797163396153099
06001441523,0.07126383763837639,0.790590405904059,0.04035977859778598,0.042435424354243544
06001441524,0.09611913357400723,0.822202166064982,0.01782490974729242,0.04444945848375451
06001441601,0.270393047600237,0.3632233853446573,0.05352557772071894,0.20837448153268812
06001441602,0.16924984500929943,0.5083694978301302,0.0712957222566646,0.19070055796652202
06001441700,0.22945755591251699,0.4596564932657852,0.04633634004695416,0.2147534906709502
06001441800,0.3517070628094866,0.4817565806619755,0.011727912431587178,0.13004951785248892
06001441921,0.16687769055457077,0.4064320081033173,0.06887819701190175,0.28133704735376047
06001441923,0.23145173627046045,0.6337769619091326,0.012543980419152516,0.08933761664372036
06001441924,0.23885429638854297,0.5809464508094645,0.0112079701120797,0.11357409713574097
06001441925,0.18526011560693642,0.6917630057803468,0.019653179190751446,0.06141618497109826
06001441926,0.09470377019748653,0.5112208258527827,0.03882405745062836,0.309245960502693
06001441927,0.125,0.6891476274165202,0.033391915641476276,0.11533391915641476
06001442000,0.1786366402921485,0.7294583079732198,0.0015216068167985392,0.014607425441265977
06001442100,0.15881561238223418,0.7865795039415497,0.007306287252451452,0.017112093828109978
06001442200,0.19991564740615775,0.6900042176296921,0.015745817517221986,0.05314213412062421
06001442301,0.2130153597413096,0.5196038803556993,0.03597413096200485,0.17865804365400162
06001442302,0.20073480293921175,0.5365731462925851,0.09435537742150969,0.12074148296593186
06001442400,0.23592740695170716,0.444632420793602,0.02076284220239926,0.2716087357736081
06001442500,0.21716716071658718,0.3960561928083516,0.03853589380074752,0.2450057997164583
06001442601,0.319625707953706,0.39965525732578183,0.01108101452844127,0.22728392021669538
06001442602,0.33110976349302607,0.31089549221750556,0.05700424499696786,0.2862340812613705
