Census Tract,FIPS Code,Formatted FIPS,Annual transit trips taken by a moderate-income family household
"06037214700, CA",6037214700,06037214700,413.39
"06037189500, CA",6037189500,06037189500,556.04
"06037185320, CA",6037185320,06037185320,309.99
"06037194402, CA",6037194402,06037194402,501.97
"06037123203, CA",6037123203,06037123203,309.16
"06037273600, CA",6037273600,06037273600,223.92
"06037104105, CA",6037104105,06037104105,246.25
"06037240010, CA",6037240010,06037240010,295.54
"06037134001, CA",6037134001,06037134001,222.65
"06037229420, CA",6037229420,06037229420,309.13
"06037214600, CA",6037214600,06037214600,354.87
"06037195300, CA",6037195300,06037195300,398.74
"06037204600, CA",6037204600,06037204600,454.44
"06037227010, CA",6037227010,06037227010,348.31
"06037206200, CA",6037206200,06037206200,902.33
"06037214800, CA",6037214800,06037214800,505.52
"06037271802, CA",6037271802,06037271802,528.09
"06037265202, CA",6037265202,06037265202,473.01
"06037241400, CA",6037241400,06037241400,284.66
"06037191201, CA",6037191201,06037191201,363.58
"06037134710, CA",6037134710,06037134710,315.03
"06037297202, CA",6037297202,06037297202,195.65
"06037273300, CA",6037273300,06037273300,325.46
"06037270100, CA",6037270100,06037270100,588.32
"06037127712, CA",6037127712,06037127712,233.06
"06037231900, CA",6037231900,06037231900,424.46
"06037134903, CA",6037134903,06037134903,459.56
"06037120010, CA",6037120010,06037120010,177.57
"06037123020, CA",6037123020,06037123020,263.7
"06037211120, CA",6037211120,06037211120,529.85
"06037293304, CA",6037293304,06037293304,253.46
"06037265410, CA",6037265410,06037265410,296.82
"06037143604, CA",6037143604,06037143604,557.62
"06037117530, CA",6037117530,06037117530,314.2
"06037128220, CA",6037128220,06037128220,244.64
"06037219500, CA",6037219500,06037219500,270.03
"06037296210, CA",6037296210,06037296210,228.5
"06037120020, CA",6037120020,06037120020,280.87
"06037203600, CA",6037203600,06037203600,481.65
"06037104701, CA",6037104701,06037104701,196.79
"06037120105, CA",6037120105,06037120105,217.12
"06037128210, CA",6037128210,06037128210,403.14
"06037183701, CA",6037183701,06037183701,328.03
"06037218701, CA",6037218701,06037218701,332.49
"06037185203, CA",6037185203,06037185203,268.93
"06037217001, CA",6037217001,06037217001,399.39
"06037127606, CA",6037127606,06037127606,275.53
"06037228310, CA",6037228310,06037228310,387.69
"06037234502, CA",6037234502,06037234502,327.99
"06037104404, CA",6037104404,06037104404,147.53
"06037183300, CA",6037183300,06037183300,242.4
"06037221401, CA",6037221401,06037221401,439.75
"06037229410, CA",6037229410,06037229410,314.26
"06037186403, CA",6037186403,06037186403,276.69
"06037201601, CA",6037201601,06037201601,237.49
"06037213100, CA",6037213100,06037213100,449.11
"06037183220, CA",6037183220,06037183220,234.67
"06037104821, CA",6037104821,06037104821,152.9
"06037239310, CA",6037239310,06037239310,278.62
"06037104620, CA",6037104620,06037104620,124.68
"06037104500, CA",6037104500,06037104500,126.23
"06037296220, CA",6037296220,06037296220,271.04
"06037221402, CA",6037221402,06037221402,424.67
"06037192700, CA",6037192700,06037192700,519.78
"06037192001, CA",6037192001,06037192001,437.22
"06037195600, CA",6037195600,06037195600,477.56
"06037143603, CA",6037143603,06037143603,435.43
"06037228600, CA",6037228600,06037228600,358.85
"06037219901, CA",6037219901,06037219901,397.19
"06037271200, CA",6037271200,06037271200,499.53
"06037125502, CA",6037125502,06037125502,455.07
"06037218500, CA",6037218500,06037218500,376.8
"06037186201, CA",6037186201,06037186201,323.32
"06037221602, CA",6037221602,06037221602,485.79
"06037232200, CA",6037232200,06037232200,327.44
"06037232120, CA",6037232120,06037232120,410.85
"06037241300, CA",6037241300,06037241300,274.1
"06037237402, CA",6037237402,06037237402,259.99
"06037231800, CA",6037231800,06037231800,417.25
"06037183620, CA",6037183620,06037183620,271.18
"06037204910, CA",6037204910,06037204910,290.35
"06037203200, CA",6037203200,06037203200,422.38
"06037237401, CA",6037237401,06037237401,295.28
"06037294510, CA",6037294510,06037294510,154.2
"06037228900, CA",6037228900,06037228900,419.52
"06037183402, CA",6037183402,06037183402,252.24
"06037123520, CA",6037123520,06037123520,223.02
"06037239502, CA",6037239502,06037239502,261.09
"06037214902, CA",6037214902,06037214902,330.51
"06037272302, CA",6037272302,06037272302,460.39
"06037121221, CA",6037121221,06037121221,168.94
"06037237600, CA",6037237600,06037237600,318.9
"06037229300, CA",6037229300,06037229300,402.86
"06037183510, CA",6037183510,06037183510,227.32
"06037123410, CA",6037123410,06037123410,288.7
"06037119320, CA",6037119320,06037119320,272.86
"06037102105, CA",6037102105,06037102105,323.61
"06037128801, CA",6037128801,06037128801,373.65
"06037190901, CA",6037190901,06037190901,563.85
"06037121801, CA",6037121801,06037121801,300.87
"06037190902, CA",6037190902,06037190902,478.24
"06037203800, CA",6037203800,06037203800,385.46
"06037190802, CA",6037190802,06037190802,471.98
"06037296902, CA",6037296902,06037296902,286.13
"06037183401, CA",6037183401,06037183401,222.88
"06037241110, CA",6037241110,06037241110,229.87
"06037239702, CA",6037239702,06037239702,293.54
"06037241201, CA",6037241201,06037241201,249.31
"06037297110, CA",6037297110,06037297110,260.31
"06037195710, CA",6037195710,06037195710,587.91
"06037271801, CA",6037271801,06037271801,448.49
"06037222200, CA",6037222200,06037222200,463.96
"06037294520, CA",6037294520,06037294520,206.75
"06037222100, CA",6037222100,06037222100,459.63
"06037242600, CA",6037242600,06037242600,407.78
"06037229100, CA",6037229100,06037229100,326.08
"06037121101, CA",6037121101,06037121101,321.13
"06037222001, CA",6037222001,06037222001,322.62
"06037239501, CA",6037239501,06037239501,301.63
"06037231720, CA",6037231720,06037231720,482.52
"06037212701, CA",6037212701,06037212701,363.61
"06037238320, CA",6037238320,06037238320,329.72
"06037269800, CA",6037269800,06037269800,532.57
"06037194401, CA",6037194401,06037194401,483.84
"06037125501, CA",6037125501,06037125501,454.63
"06037275200, CA",6037275200,06037275200,447.35
"06037221302, CA",6037221302,06037221302,560.5
"06037237102, CA",6037237102,06037237102,318.21
"06037120104, CA",6037120104,06037120104,245.35
"06037183810, CA",6037183810,06037183810,378.42
"06037267501, CA",6037267501,06037267501,737.55
"06037276603, CA",6037276603,06037276603,614.38
"06037224410, CA",6037224410,06037224410,470.43
"06037237201, CA",6037237201,06037237201,273.04
"06037239201, CA",6037239201,06037239201,312.37
"06037203900, CA",6037203900,06037203900,299.43
"06037228500, CA",6037228500,06037228500,416.46
"06037234902, CA",6037234902,06037234902,388.13
"06037219800, CA",6037219800,06037219800,348.53
"06037218120, CA",6037218120,06037218120,472.91
"06037229200, CA",6037229200,06037229200,385.12
"06037199900, CA",6037199900,06037199900,420.68
"06037236202, CA",6037236202,06037236202,621.97
"06037201200, CA",6037201200,06037201200,262.63
"06037219010, CA",6037219010,06037219010,308.93
"06037208302, CA",6037208302,06037208302,854.56
"06037227020, CA",6037227020,06037227020,401.42
"06037201503, CA",6037201503,06037201503,325.02
"06037297120, CA",6037297120,06037297120,219.06
"06037265201, CA",6037265201,06037265201,483.23
"06037127604, CA",6037127604,06037127604,321.76
"06037267502, CA",6037267502,06037267502,533.49
"06037127603, CA",6037127603,06037127603,274.79
"06037237710, CA",6037237710,06037237710,335.4
"06037119310, CA",6037119310,06037119310,290.08
"06037218600, CA",6037218600,06037218600,386.4
"06037207301, CA",6037207301,06037207301,971.7
"06037267300, CA",6037267300,06037267300,729.48
"06037267402, CA",6037267402,06037267402,617.74
"06037183520, CA",6037183520,06037183520,322.03
"06037226420, CA",6037226420,06037226420,616.84
"06037232800, CA",6037232800,06037232800,334.83
"06037191302, CA",6037191302,06037191302,271.75
"06037185310, CA",6037185310,06037185310,327.24
"06037239601, CA",6037239601,06037239601,284.72
"06037264301, CA",6037264301,06037264301,562.01
"06037207502, CA",6037207502,06037207502,552.25
"06037191610, CA",6037191610,06037191610,557.74
"06037139303, CA",6037139303,06037139303,471.17
"06037192610, CA",6037192610,06037192610,647.3
"06037128303, CA",6037128303,06037128303,337.13
"06037207102, CA",6037207102,06037207102,840.36
"06037122121, CA",6037122121,06037122121,285.44
"06037218800, CA",6037218800,06037218800,419.4
"06037209200, CA",6037209200,06037209200,554.32
"06037228210, CA",6037228210,06037228210,419.05
"06037216401, CA",6037216401,06037216401,657.14
"06037221900, CA",6037221900,06037221900,461.15
"06037186202, CA",6037186202,06037186202,284
"06037239701, CA",6037239701,06037239701,316.26
"06037210010, CA",6037210010,06037210010,775.86
"06037191820, CA",6037191820,06037191820,526.43
"06037191810, CA",6037191810,06037191810,535.99
"06037228710, CA",6037228710,06037228710,363.45
"06037190301, CA",6037190301,06037190301,776.12
"06037228720, CA",6037228720,06037228720,398.84
"06037195802, CA",6037195802,06037195802,532.74
"06037186404, CA",6037186404,06037186404,290.09
"06037297201, CA",6037297201,06037297201,288.36
"06037125401, CA",6037125401,06037125401,529.68
"06037264102, CA",6037264102,06037264102,507.31
"06037238310, CA",6037238310,06037238310,388.11
"06037189101, CA",6037189101,06037189101,460.76
"06037199201, CA",6037199201,06037199201,484.85
"06037213402, CA",6037213402,06037213402,763.73
"06037120108, CA",6037120108,06037120108,399.32
"06037197600, CA",6037197600,06037197600,824.48
"06037218210, CA",6037218210,06037218210,417.33
"06037265510, CA",6037265510,06037265510,169.12
"06037211420, CA",6037211420,06037211420,566.46
"06037294820, CA",6037294820,06037294820,243.11
"06037221500, CA",6037221500,06037221500,522.1
"06037191120, CA",6037191120,06037191120,607.07
"06037232110, CA",6037232110,06037232110,365.96
"06037183610, CA",6037183610,06037183610,317.56
"06037117408, CA",6037117408,06037117408,284.24
"06037195803, CA",6037195803,06037195803,519.66
"06037212900, CA",6037212900,06037212900,610.28
"06037239801, CA",6037239801,06037239801,329.79
"06037221601, CA",6037221601,06037221601,505.51
"06037201504, CA",6037201504,06037201504,267.45
"06037224200, CA",6037224200,06037224200,692.1
"06037228220, CA",6037228220,06037228220,434.43
"06037211122, CA",6037211122,06037211122,678.9
"06037189902, CA",6037189902,06037189902,804.72
"06037127520, CA",6037127520,06037127520,434.07
"06037120030, CA",6037120030,06037120030,332.01
"06037218702, CA",6037218702,06037218702,419.34
"06037134305, CA",6037134305,06037134305,383.37
"06037221210, CA",6037221210,06037221210,527.87
"06037224420, CA",6037224420,06037224420,566.89
"06037239602, CA",6037239602,06037239602,333.11
"06037212610, CA",6037212610,06037212610,519.29
"06037215101, CA",6037215101,06037215101,533.58
"06037134521, CA",6037134521,06037134521,257.16
"06037139503, CA",6037139503,06037139503,580.94
"06037208610, CA",6037208610,06037208610,642.03
"06037275101, CA",6037275101,06037275101,336.05
"06037195902, CA",6037195902,06037195902,492.45
"06037239320, CA",6037239320,06037239320,322.91
"06037214400, CA",6037214400,06037214400,707.67
"06037208402, CA",6037208402,06037208402,662.77
"06037192510, CA",6037192510,06037192510,525.15
"06037124902, CA",6037124902,06037124902,452.04
"06037139302, CA",6037139302,06037139302,506.15
"06037236203, CA",6037236203,06037236203,583.22
"06037213202, CA",6037213202,06037213202,605.71
"06037269904, CA",6037269904,06037269904,636.67
"06037237500, CA",6037237500,06037237500,367.53
"06037228320, CA",6037228320,06037228320,363.44
"06037117510, CA",6037117510,06037117510,315.52
"06037195804, CA",6037195804,06037195804,549.39
"06037265602, CA",6037265602,06037265602,612.68
"06037293307, CA",6037293307,06037293307,293.11
"06037213201, CA",6037213201,06037213201,628.98
"06037269601, CA",6037269601,06037269601,469.7
"06037221710, CA",6037221710,06037221710,567.53
"06037119341, CA",6037119341,06037119341,247.47
"06037117520, CA",6037117520,06037117520,356.21
"06037189201, CA",6037189201,06037189201,624.22
"06037124105, CA",6037124105,06037124105,378.61
"06037211802, CA",6037211802,06037211802,654.95
"06037124104, CA",6037124104,06037124104,431
"06037123204, CA",6037123204,06037123204,402.38
"06037124204, CA",6037124204,06037124204,424.48
"06037124203, CA",6037124203,06037124203,369.42
"06037192420, CA",6037192420,06037192420,578.76
"06037124103, CA",6037124103,06037124103,217.9
"06037234901, CA",6037234901,06037234901,403.09
"06037237720, CA",6037237720,06037237720,343.23
"06037190801, CA",6037190801,06037190801,481.91
"06037208620, CA",6037208620,06037208620,810.98
"06037207103, CA",6037207103,06037207103,725.4
"06037231710, CA",6037231710,06037231710,537.23
"06037203720, CA",6037203720,06037203720,512.38
"06037231210, CA",6037231210,06037231210,468.39
"06037204820, CA",6037204820,06037204820,355.85
"06037190510, CA",6037190510,06037190510,769.77
"06037294810, CA",6037294810,06037294810,306.22
"06037221120, CA",6037221120,06037221120,592.68
"06037214901, CA",6037214901,06037214901,743.43
"06037124903, CA",6037124903,06037124903,487.1
"06037213310, CA",6037213310,06037213310,655.56
"06037191410, CA",6037191410,06037191410,666.73
"06037213320, CA",6037213320,06037213320,626.94
"06037265305, CA",6037265305,06037265305,744.16
"06037272202, CA",6037272202,06037272202,559.55
"06037183820, CA",6037183820,06037183820,426.04
"06037192520, CA",6037192520,06037192520,726.25
"06037209300, CA",6037209300,06037209300,1046.35
"06037209102, CA",6037209102,06037209102,923.56
"06037221810, CA",6037221810,06037221810,535.55
"06037204420, CA",6037204420,06037204420,535.17
"06037204200, CA",6037204200,06037204200,528.25
"06037207101, CA",6037207101,06037207101,1021.16
"06037204410, CA",6037204410,06037204410,528.23
"06037195901, CA",6037195901,06037195901,562.07
"06037269602, CA",6037269602,06037269602,528.66
"06037224320, CA",6037224320,06037224320,694.69
"06037139504, CA",6037139504,06037139504,505.66
"06037195720, CA",6037195720,06037195720,599.97
"06037212620, CA",6037212620,06037212620,774.34
"06037127103, CA",6037127103,06037127103,438.16
"06037205110, CA",6037205110,06037205110,639.09
"06037212502, CA",6037212502,06037212502,570.39
"06037267404, CA",6037267404,06037267404,636.45
"06037269903, CA",6037269903,06037269903,647.87
"06037226410, CA",6037226410,06037226410,646.39
"06037203710, CA",6037203710,06037203710,489.44
"06037228410, CA",6037228410,06037228410,429.75
"06037228420, CA",6037228420,06037228420,426.53
"06037269907, CA",6037269907,06037269907,621.46
"06037242100, CA",6037242100,06037242100,438.48
"06037191301, CA",6037191301,06037191301,542.45
"06037191110, CA",6037191110,06037191110,562.87
"06037211410, CA",6037211410,06037211410,647.53
"06037208801, CA",6037208801,06037208801,897.9
"06037191720, CA",6037191720,06037191720,583.84
"06037204120, CA",6037204120,06037204120,407.05
"06037141303, CA",6037141303,06037141303,583.86
"06037208502, CA",6037208502,06037208502,763.18
"06037272201, CA",6037272201,06037272201,529.9
"06037189905, CA",6037189905,06037189905,596.85
"06037214502, CA",6037214502,06037214502,934.41
"06037215102, CA",6037215102,06037215102,840.17
"06037207302, CA",6037207302,06037207302,1111.82
"06037267403, CA",6037267403,06037267403,783.85
"06037190520, CA",6037190520,06037190520,689.84
"06037192620, CA",6037192620,06037192620,678.83
"06037208501, CA",6037208501,06037208501,623.81
"06037195903, CA",6037195903,06037195903,600.64
"06037269905, CA",6037269905,06037269905,623.87
"06037221110, CA",6037221110,06037221110,706.56
"06037221303, CA",6037221303,06037221303,554.79
"06037106407, CA",6037106407,06037106407,335.24
"06037214503, CA",6037214503,06037214503,834.35
"06037209520, CA",6037209520,06037209520,762.01
"06037264103, CA",6037264103,06037264103,607.96
"06037106408, CA",6037106408,06037106408,371.91
"06037208401, CA",6037208401,06037208401,1006.25
"06037236204, CA",6037236204,06037236204,630.82
"06037216402, CA",6037216402,06037216402,748.18
"06037191620, CA",6037191620,06037191620,638.49
"06037191420, CA",6037191420,06037191420,658.49
"06037221304, CA",6037221304,06037221304,665.06
"06037190201, CA",6037190201,06037190201,633.75
"06037119342, CA",6037119342,06037119342,363.3
"06037209401, CA",6037209401,06037209401,856.25
"06037211121, CA",6037211121,06037211121,615.75
"06037212204, CA",6037212204,06037212204,755.8
"06037190202, CA",6037190202,06037190202,878.82
"06037208802, CA",6037208802,06037208802,874.31
"06037120107, CA",6037120107,06037120107,434.38
"06037269906, CA",6037269906,06037269906,764.74
"06037120106, CA",6037120106,06037120106,396.42
"06037212202, CA",6037212202,06037212202,844.13
"06037212304, CA",6037212304,06037212304,456.33
"06037191203, CA",6037191203,06037191203,703.43
"06037221820, CA",6037221820,06037221820,747.23
"06037117405, CA",6037117405,06037117405,450.11
"06037191204, CA",6037191204,06037191204,552.8
"06037117407, CA",6037117407,06037117407,494.53
"06037213401, CA",6037213401,06037213401,963.47
"06037211320, CA",6037211320,06037211320,854.98
"06037211804, CA",6037211804,06037211804,828.57
"06037212101, CA",6037212101,06037212101,688.35
"06037211704, CA",6037211704,06037211704,788.5
"06037211703, CA",6037211703,06037211703,1025.55
"06037208902, CA",6037208902,06037208902,725.83
"06037209510, CA",6037209510,06037209510,892.02
"06037224310, CA",6037224310,06037224310,747.93
"06037211202, CA",6037211202,06037211202,719.56
"06037209820, CA",6037209820,06037209820,795.83
"06037208710, CA",6037208710,06037208710,1078.33
"06037190401, CA",6037190401,06037190401,943.13
"06037208720, CA",6037208720,06037208720,889.93
"06037212306, CA",6037212306,06037212306,827.9
"06037189904, CA",6037189904,06037189904,871.57
"06037208903, CA",6037208903,06037208903,925.78
"06037190402, CA",6037190402,06037190402,742.43
"06037212410, CA",6037212410,06037212410,726.86
"06037212303, CA",6037212303,06037212303,788.49
"06037209810, CA",6037209810,06037209810,760.75
"06037265303, CA",6037265303,06037265303,977.56
"06037211310, CA",6037211310,06037211310,1011.55
"06037212420, CA",6037212420,06037212420,885.17
"06037211803, CA",6037211803,06037211803,1094.38
"06037211201, CA",6037211201,06037211201,812.04
"06037120103, CA",6037120103,06037120103,564.42
"06037212102, CA",6037212102,06037212102,777.02
"06037209403, CA",6037209403,06037209403,1165.7
"06037211910, CA",6037211910,06037211910,1157.67
"06037209402, CA",6037209402,06037209402,1123.66
"06037207501, CA",6037207501,06037207501,1206.04
"06037265304, CA",6037265304,06037265304,848.14
"06037209103, CA",6037209103,06037209103,1191.96
"06037119340, CA",6037119340,06037119340,617.99
"06037208904, CA",6037208904,06037208904,1285.93
"06037212305, CA",6037212305,06037212305,956.29
"06037212203, CA",6037212203,06037212203,1126.82
"06037208301, CA",6037208301,06037208301,1046.17
"06037211922, CA",6037211922,06037211922,1255.75
"06037211921, CA",6037211921,06037211921,1043.65
"06037189903, CA",6037189903,06037189903,1156.07
"06037212501, CA",6037212501,06037212501,1175.31
"06037209104, CA",6037209104,06037209104,1395.94
