GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF49E001,AF9LE001,NAME_M,AF49M001,AF9LM001
"G0100010","2012-2016",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",53099,141000,"Autauga County, Alabama",2631,5337
"G0100030","2012-2016",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",51365,173400,"Baldwin County, Alabama",991,3862
"G0100050","2012-2016",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",33956,90300,"Barbour County, Alabama",2655,7258
"G0100070","2012-2016",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",39776,97200,"Bibb County, Alabama",3306,11238
"G0100090","2012-2016",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",46212,124200,"Blount County, Alabama",2443,5196
"G0100110","2012-2016",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",29335,68000,"Bullock County, Alabama",5435,11252
"G0100130","2012-2016",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",34315,83000,"Butler County, Alabama",2904,6582
"G0100150","2012-2016",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",41954,107900,"Calhoun County, Alabama",1381,2948
"G0100170","2012-2016",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",36027,83000,"Chambers County, Alabama",1870,3818
"G0100190","2012-2016",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",38925,112500,"Cherokee County, Alabama",2598,6936
"G0100210","2012-2016",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",42594,99100,"Chilton County, Alabama",2580,5668
"G0100230","2012-2016",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",32622,64600,"Choctaw County, Alabama",2357,6191
"G0100250","2012-2016",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",32735,85900,"Clarke County, Alabama",3261,5097
"G0100270","2012-2016",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",38815,90000,"Clay County, Alabama",4217,11630
"G0100290","2012-2016",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",36316,108100,"Cleburne County, Alabama",3942,5120
"G0100310","2012-2016",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",47872,142800,"Coffee County, Alabama",2517,7413
"G0100330","2012-2016",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",43786,102500,"Colbert County, Alabama",2743,5271
"G0100350","2012-2016",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",27609,72300,"Conecuh County, Alabama",2836,3940
"G0100370","2012-2016",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",31910,76500,"Coosa County, Alabama",2226,9024
"G0100390","2012-2016",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",37313,93700,"Covington County, Alabama",2008,4416
"G0100410","2012-2016",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",37557,77600,"Crenshaw County, Alabama",3008,5498
"G0100430","2012-2016",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",39297,118700,"Cullman County, Alabama",1344,4782
"G0100450","2012-2016",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",44093,103800,"Dale County, Alabama",1857,4689
"G0100470","2012-2016",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",28136,81000,"Dallas County, Alabama",2380,4140
"G0100490","2012-2016",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",38248,99600,"DeKalb County, Alabama",1595,5142
"G0100510","2012-2016",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",53398,152500,"Elmore County, Alabama",2566,5238
"G0100530","2012-2016",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",32334,93900,"Escambia County, Alabama",2283,4537
"G0100550","2012-2016",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",40478,101900,"Etowah County, Alabama",1494,3604
"G0100570","2012-2016",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",36205,76400,"Fayette County, Alabama",1708,5613
"G0100590","2012-2016",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",36138,87000,"Franklin County, Alabama",2678,4692
"G0100610","2012-2016",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",36519,81500,"Geneva County, Alabama",2333,4359
"G0100630","2012-2016",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",21339,68100,"Greene County, Alabama",2957,4325
"G0100650","2012-2016",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",33351,89400,"Hale County, Alabama",2476,6613
"G0100670","2012-2016",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",41045,101800,"Henry County, Alabama",2931,10103
"G0100690","2012-2016",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",41945,124800,"Houston County, Alabama",849,2469
"G0100710","2012-2016",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",38422,103800,"Jackson County, Alabama",1863,4708
"G0100730","2012-2016",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",47220,145700,"Jefferson County, Alabama",774,1655
"G0100750","2012-2016",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",34298,71100,"Lamar County, Alabama",3159,4706
"G0100770","2012-2016",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",43657,124100,"Lauderdale County, Alabama",1484,4669
"G0100790","2012-2016",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",42339,97600,"Lawrence County, Alabama",2999,5580
"G0100810","2012-2016",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",45056,156400,"Lee County, Alabama",1961,3727
"G0100830","2012-2016",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",51115,142500,"Limestone County, Alabama",1899,4250
"G0100850","2012-2016",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",27914,68900,"Lowndes County, Alabama",2588,11476
"G0100870","2012-2016",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",32390,77000,"Macon County, Alabama",2647,3666
"G0100890","2012-2016",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",60150,171200,"Madison County, Alabama",1318,1945
"G0100910","2012-2016",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",30713,87900,"Marengo County, Alabama",2691,7212
"G0100930","2012-2016",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",34074,85500,"Marion County, Alabama",2854,7905
"G0100950","2012-2016",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",39831,115700,"Marshall County, Alabama",1255,3729
"G0100970","2012-2016",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",44263,123500,"Mobile County, Alabama",997,1843
"G0100990","2012-2016",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",28182,87700,"Monroe County, Alabama",5042,6829
"G0101010","2012-2016",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",45358,122000,"Montgomery County, Alabama",982,2204
"G0101030","2012-2016",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",46883,124900,"Morgan County, Alabama",1879,3830
"G0101050","2012-2016",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",24912,73700,"Perry County, Alabama",2889,11123
"G0101070","2012-2016",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",31679,89100,"Pickens County, Alabama",2533,6171
"G0101090","2012-2016",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",33193,102300,"Pike County, Alabama",2358,8092
"G0101110","2012-2016",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",37496,85600,"Randolph County, Alabama",2796,4513
"G0101130","2012-2016",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",38400,114000,"Russell County, Alabama",2234,5458
"G0101150","2012-2016",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",54042,142800,"St. Clair County, Alabama",2410,4290
"G0101170","2012-2016",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",72310,195400,"Shelby County, Alabama",1426,3566
"G0101190","2012-2016",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",20428,73400,"Sumter County, Alabama",2143,6099
"G0101210","2012-2016",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",37923,94200,"Talladega County, Alabama",1749,4350
"G0101230","2012-2016",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",39395,105200,"Tallapoosa County, Alabama",2619,6369
"G0101250","2012-2016",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",48022,160000,"Tuscaloosa County, Alabama",1149,2406
"G0101270","2012-2016",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",37025,84800,"Walker County, Alabama",1276,3224
"G0101290","2012-2016",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",40293,81100,"Washington County, Alabama",4335,6968
"G0101310","2012-2016",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",24442,81600,"Wilcox County, Alabama",3100,7267
"G0101330","2012-2016",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",33896,77700,"Winston County, Alabama",2242,5144
"G0200130","2012-2016",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",65926,124500,"Aleutians East Borough, Alaska",2430,8890
"G0200160","2012-2016",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",86964,211400,"Aleutians West Census Area, Alaska",5192,41515
"G0200200","2012-2016",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",80862,298000,"Anchorage Municipality, Alaska",1295,2986
"G0200500","2012-2016",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",53296,151400,"Bethel Census Area, Alaska",2598,20597
"G0200600","2012-2016",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",88000,199000,"Bristol Bay Borough, Alaska",13265,21360
"G0200680","2012-2016",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",81302,228600,"Denali Borough, Alaska",5330,24335
"G0200700","2012-2016",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",56055,196400,"Dillingham Census Area, Alaska",3915,14872
"G0200900","2012-2016",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",73831,224000,"Fairbanks North Star Borough, Alaska",2012,6721
"G0201000","2012-2016",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",53125,198400,"Haines Borough, Alaska",12741,31829
"G0201050","2012-2016",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",54091,235100,"Hoonah-Angoon Census Area, Alaska",2879,21953
"G0201100","2012-2016",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",87436,329500,"Juneau City and Borough, Alaska",3015,9501
"G0201220","2012-2016",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",64891,229200,"Kenai Peninsula Borough, Alaska",2835,5293
"G0201300","2012-2016",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",64162,257100,"Ketchikan Gateway Borough, Alaska",3024,7674
"G0201500","2012-2016",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",73068,266700,"Kodiak Island Borough, Alaska",10017,18410
"G0201580","2012-2016",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska",38160,101300,"Kusilvak Census Area, Alaska",1766,6387
"G0201640","2012-2016",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",43864,143800,"Lake and Peninsula Borough, Alaska",4294,33646
"G0201700","2012-2016",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",73908,230100,"Matanuska-Susitna Borough, Alaska",1841,2938
"G0201800","2012-2016",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",51563,138300,"Nome Census Area, Alaska",2671,15602
"G0201850","2012-2016",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",72027,154100,"North Slope Borough, Alaska",10301,12553
"G0201880","2012-2016",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",61341,146400,"Northwest Arctic Borough, Alaska",3146,25004
"G0201950","2012-2016",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",63940,213400,"Petersburg Borough, Alaska",4036,11555
"G0201980","2012-2016",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",51887,171100,"Prince of Wales-Hyder Census Area, Alaska",2987,9645
"G0202200","2012-2016",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",70160,341600,"Sitka City and Borough, Alaska",4214,13696
"G0202300","2012-2016",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",64853,305700,"Skagway Municipality, Alaska",6486,20064
"G0202400","2012-2016",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",63713,201600,"Southeast Fairbanks Census Area, Alaska",8661,14487
"G0202610","2012-2016",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",82511,227900,"Valdez-Cordova Census Area, Alaska",3249,31615
"G0202750","2012-2016",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",52986,183300,"Wrangell City and Borough, Alaska",7083,20278
"G0202820","2012-2016",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",66875,165800,"Yakutat City and Borough, Alaska",12552,13143
"G0202900","2012-2016",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",38451,90800,"Yukon-Koyukuk Census Area, Alaska",1628,4660
"G0400010","2012-2016",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",32460,77900,"Apache County, Arizona",1381,3081
"G0400030","2012-2016",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",45383,140700,"Cochise County, Arizona",1470,3717
"G0400050","2012-2016",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",51106,231300,"Coconino County, Arizona",1578,7206
"G0400070","2012-2016",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",40593,139800,"Gila County, Arizona",1420,6862
"G0400090","2012-2016",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",47422,121400,"Graham County, Arizona",3914,7213
"G0400110","2012-2016",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",51813,81600,"Greenlee County, Arizona",5787,6784
"G0400120","2012-2016",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",36321,71200,"La Paz County, Arizona",3103,10628
"G0400130","2012-2016",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",55676,204900,"Maricopa County, Arizona",332,1133
"G0400150","2012-2016",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",39856,130000,"Mohave County, Arizona",1002,4639
"G0400170","2012-2016",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",36868,106100,"Navajo County, Arizona",1318,5033
"G0400190","2012-2016",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",46764,160800,"Pima County, Arizona",511,1039
"G0400210","2012-2016",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",51190,142200,"Pinal County, Arizona",931,2317
"G0400230","2012-2016",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",38941,135200,"Santa Cruz County, Arizona",2732,7064
"G0400250","2012-2016",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",46638,199300,"Yavapai County, Arizona",1145,4695
"G0400270","2012-2016",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",41467,113400,"Yuma County, Arizona",1093,1792
"G0500010","2012-2016",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",37330,77600,"Arkansas County, Arkansas",2349,2963
"G0500030","2012-2016",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",36352,70900,"Ashley County, Arkansas",2068,4309
"G0500050","2012-2016",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",38115,123100,"Baxter County, Arkansas",1703,4725
"G0500070","2012-2016",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",59016,155900,"Benton County, Arkansas",1392,2373
"G0500090","2012-2016",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",38664,114400,"Boone County, Arkansas",1680,4864
"G0500110","2012-2016",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",34665,72500,"Bradley County, Arkansas",4304,5733
"G0500130","2012-2016",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",35446,71800,"Calhoun County, Arkansas",10134,8173
"G0500150","2012-2016",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",38145,118500,"Carroll County, Arkansas",2714,9388
"G0500170","2012-2016",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",29628,59600,"Chicot County, Arkansas",2176,4822
"G0500190","2012-2016",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",35595,92700,"Clark County, Arkansas",2201,4982
"G0500210","2012-2016",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",32404,66700,"Clay County, Arkansas",2126,4012
"G0500230","2012-2016",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",41717,126100,"Cleburne County, Arkansas",3422,6793
"G0500250","2012-2016",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",42429,84000,"Cleveland County, Arkansas",4886,4361
"G0500270","2012-2016",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",36507,77100,"Columbia County, Arkansas",3378,6058
"G0500290","2012-2016",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",38266,100300,"Conway County, Arkansas",3505,6873
"G0500310","2012-2016",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",43892,131700,"Craighead County, Arkansas",1571,3881
"G0500330","2012-2016",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",41792,109500,"Crawford County, Arkansas",1441,3609
"G0500350","2012-2016",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",39407,102800,"Crittenden County, Arkansas",2569,5579
"G0500370","2012-2016",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",39306,83900,"Cross County, Arkansas",3733,4205
"G0500390","2012-2016",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",35745,61000,"Dallas County, Arkansas",4058,12006
"G0500410","2012-2016",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",26519,58800,"Desha County, Arkansas",2194,5216
"G0500430","2012-2016",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",33092,94200,"Drew County, Arkansas",2906,7911
"G0500450","2012-2016",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",50872,149900,"Faulkner County, Arkansas",2115,3335
"G0500470","2012-2016",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",39482,94000,"Franklin County, Arkansas",2167,6384
"G0500490","2012-2016",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",35593,88500,"Fulton County, Arkansas",3705,12277
"G0500510","2012-2016",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",40011,133700,"Garland County, Arkansas",1693,4676
"G0500530","2012-2016",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",49195,117800,"Grant County, Arkansas",4080,7240
"G0500550","2012-2016",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",42755,105300,"Greene County, Arkansas",2814,4933
"G0500570","2012-2016",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",34072,76300,"Hempstead County, Arkansas",3071,4030
