Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06067006600, CA",6067006600,06067006600,Designated Qualified Opportunity Zone,Sacramento,3.43,"Census Tract 66, Sacramento County, California",28e3,0.3810143042912874,0.1908683716225979
"06067007103, CA",6067007103,06067007103,Not Designated,Sacramento,2.64,"Census Tract 71.03, Sacramento County, California",72431,0.28601895734597155,0.10402843601895735
"06067004005, CA",6067004005,06067004005,Not Designated,Sacramento,2.91,"Census Tract 40.05, Sacramento County, California",67721,0.120763723150358,0.14940334128878283
"06067005201, CA",6067005201,06067005201,Not Designated,Sacramento,N/A,"Census Tract 52.01, Sacramento County, California",16821,0.36112759643916914,0.15252225519287835
"06067007105, CA",6067007105,06067007105,Not Designated,Sacramento,3.08,"Census Tract 71.05, Sacramento County, California",73971,0.20687217194570134,0.08569004524886878
"06067004100, CA",6067004100,06067004100,Designated Qualified Opportunity Zone,Sacramento,2.91,"Census Tract 41, Sacramento County, California",29635,0.36237203013328184,0.11415877921576202
"06067004012, CA",6067004012,06067004012,Not Designated,Sacramento,2.6,"Census Tract 40.12, Sacramento County, California",119615,0.19173038799207023,0.08779382611158312
"06067004006, CA",6067004006,06067004006,Not Designated,Sacramento,3.25,"Census Tract 40.06, Sacramento County, California",52292,0.16328560063643596,0.20425616547334924
"06067007011, CA",6067007011,06067007011,Not Designated,Sacramento,3.1,"Census Tract 70.11, Sacramento County, California",49896,0.3967090501121915,0.13792071802543007
"06067007014, CA",6067007014,06067007014,Not Designated,Sacramento,3.16,"Census Tract 70.14, Sacramento County, California",51835,0.41365196725640346,0.1961975178241352
"06067004201, CA",6067004201,06067004201,Not Designated,Sacramento,3.19,"Census Tract 42.01, Sacramento County, California",43365,0.37099073414112615,0.279935851746258
"06067005202, CA",6067005202,06067005202,Not Designated,Sacramento,2.78,"Census Tract 52.02, Sacramento County, California",68412,0.23643649815043158,0.04408138101109741
"06067004009, CA",6067004009,06067004009,Not Designated,Sacramento,2.96,"Census Tract 40.09, Sacramento County, California",70833,0.17869556327949296,0.17031281946432222
"06067004801, CA",6067004801,06067004801,Not Designated,Sacramento,3.29,"Census Tract 48.01, Sacramento County, California",36369,0.2019914651493599,0.11948790896159317
"06067009610, CA",6067009610,06067009610,Not Designated,Sacramento,3.7,"Census Tract 96.10, Sacramento County, California",57625,0.2940426887543804,0.2177445046193055
"06067004903, CA",6067004903,06067004903,Designated Qualified Opportunity Zone,Sacramento,3.16,"Census Tract 49.03, Sacramento County, California",31529,0.20563991323210412,0.2240057845263919
"06067001500, CA",6067001500,06067001500,Not Designated,Sacramento,2.77,"Census Tract 15, Sacramento County, California",94276,0.11745447104563127,0.01555146306527522
"06067001800, CA",6067001800,06067001800,Not Designated,Sacramento,3.25,"Census Tract 18, Sacramento County, California",52451,0.15390997718315702,0.14167185231279816
"06067004905, CA",6067004905,06067004905,Designated Qualified Opportunity Zone,Sacramento,3.57,"Census Tract 49.05, Sacramento County, California",40568,0.38531201358426487,0.26319513230507996
"06067004008, CA",6067004008,06067004008,Not Designated,Sacramento,2.95,"Census Tract 40.08, Sacramento County, California",82415,0.19066666666666668,0.05733333333333333
"06067003202, CA",6067003202,06067003202,Not Designated,Sacramento,3.22,"Census Tract 32.02, Sacramento County, California",33704,0.30256606664113367,0.12926081960934507
"06067004010, CA",6067004010,06067004010,Not Designated,Sacramento,2.81,"Census Tract 40.10, Sacramento County, California",41184,0.10976798596217587,0.3265743809709495
"06067004202, CA",6067004202,06067004202,Not Designated,Sacramento,2.94,"Census Tract 42.02, Sacramento County, California",36379,0.37880359612724757,0.21161825726141079
"06067004203, CA",6067004203,06067004203,Designated Qualified Opportunity Zone,Sacramento,3.27,"Census Tract 42.03, Sacramento County, California",35568,0.33773516642547036,0.2299204052098408
"06067006202, CA",6067006202,06067006202,Designated Qualified Opportunity Zone,Sacramento,3.7,"Census Tract 62.02, Sacramento County, California",25972,0.46247404331059033,0.10442005339661821
"06067003204, CA",6067003204,06067003204,Not Designated,Sacramento,3.57,"Census Tract 32.04, Sacramento County, California",33519,0.3042113040265977,0.09235315847801995
