Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06085512047, CA",6085512047,06085512047,Not Designated,San Jose,3.63,"Census Tract 5120.47, Santa Clara County, California",114242,0.26623970722781337,0.00860018298261665
"06085503315, CA",6085503315,06085503315,Not Designated,San Jose,3.77,"Census Tract 5033.15, Santa Clara County, California",77188,0.34070048309178746,0.034541062801932365
"06085512021, CA",6085512021,06085512021,Not Designated,San Jose,3.73,"Census Tract 5120.21, Santa Clara County, California",91189,0.25044635611102095,0.018990423632527186
"06085503313, CA",6085503313,06085503313,Not Designated,San Jose,3.24,"Census Tract 5033.13, Santa Clara County, California",145045,0.22505023442732752,0.02589863808885912
"06085512024, CA",6085512024,06085512024,Not Designated,San Jose,3.36,"Census Tract 5120.24, Santa Clara County, California",90795,0.2713080168776371,0.08291139240506329
"06085504315, CA",6085504315,06085504315,Not Designated,San Jose,3.32,"Census Tract 5043.15, Santa Clara County, California",95625,0.1507664831076053,0.016371483851763655
"06085503210, CA",6085503210,06085503210,Not Designated,San Jose,3.7,"Census Tract 5032.10, Santa Clara County, California",70500,0.39746204396102425,0.011783367323815998
"06085501800, CA",6085501800,06085501800,Not Designated,San Jose,3.72,"Census Tract 5018, Santa Clara County, California",92574,0.4893816951700808,0.0058259725615485815
"06085506601, CA",6085506601,06085506601,Not Designated,San Jose,3.21,"Census Tract 5066.01, Santa Clara County, California",94306,0.21797520661157024,0.028925619834710745
"06085502906, CA",6085502906,06085502906,Not Designated,San Jose,3.54,"Census Tract 5029.06, Santa Clara County, California",86902,0.16551406177962194,0.016828031350852927
"06085501900, CA",6085501900,06085501900,Not Designated,San Jose,3.3,"Census Tract 5019, Santa Clara County, California",82417,0.30373397733605795,0.025264722273825004
"06085512052, CA",6085512052,06085512052,Not Designated,San Jose,3.52,"Census Tract 5120.52, Santa Clara County, California",91667,0.23803446075303128,0.018506700701978303
"06085503804, CA",6085503804,06085503804,Not Designated,San Jose,3.6,"Census Tract 5038.04, Santa Clara County, California",75805,0.2889816663641314,0.011617353421673625
"06085507903, CA",6085507903,06085507903,Not Designated,San Jose,3.25,"Census Tract 5079.03, Santa Clara County, California",147e3,0.04482412060301508,0.006030150753768844
"06085504321, CA",6085504321,06085504321,Not Designated,San Jose,3.58,"Census Tract 5043.21, Santa Clara County, California",100048,0.1739612188365651,0.0035087719298245615
"06085504314, CA",6085504314,06085504314,Not Designated,San Jose,3.27,"Census Tract 5043.14, Santa Clara County, California",102254,0.24560678106264214,0.026462683481496795
"06085506301, CA",6085506301,06085506301,Not Designated,San Jose,3.31,"Census Tract 5063.01, Santa Clara County, California",84683,0.14967695620961952,0.07609475951184494
"06085506402, CA",6085506402,06085506402,Not Designated,San Jose,3.41,"Census Tract 5064.02, Santa Clara County, California",77089,0.3334419817470665,0.05492177314211213
"06085503327, CA",6085503327,06085503327,Not Designated,San Jose,3.6,"Census Tract 5033.27, Santa Clara County, California",84875,0.28349900596421473,0.027634194831013918
"06085507905, CA",6085507905,06085507905,Not Designated,San Jose,3.41,"Census Tract 5079.05, Santa Clara County, California",130047,0.04274465691788527,0
"06085503304, CA",6085503304,06085503304,Not Designated,San Jose,3.67,"Census Tract 5033.04, Santa Clara County, California",62955,0.4255647537533324,0.04111126701276835
"06085503322, CA",6085503322,06085503322,Not Designated,San Jose,3.65,"Census Tract 5033.22, Santa Clara County, California",108854,0.40386323268206037,0.03907637655417407
"06085512038, CA",6085512038,06085512038,Not Designated,San Jose,3.45,"Census Tract 5120.38, Santa Clara County, California",89297,0.3508939974457216,0.06257982120051085
"06085512039, CA",6085512039,06085512039,Not Designated,San Jose,3.6,"Census Tract 5120.39, Santa Clara County, California",106217,0.29060887512899897,0.06563467492260062
"06085507906, CA",6085507906,06085507906,Not Designated,San Jose,3.48,"Census Tract 5079.06, Santa Clara County, California",154432,0.014065934065934066,0
"06085512031, CA",6085512031,06085512031,Not Designated,San Jose,3.46,"Census Tract 5120.31, Santa Clara County, California",118618,0.24684849873939949,0.004354801741920697
"06085503204, CA",6085503204,06085503204,Not Designated,San Jose,3.8,"Census Tract 5032.04, Santa Clara County, California",65350,0.46828537811530646,0.036902342496523695
"06085502601, CA",6085502601,06085502601,Not Designated,San Jose,3.49,"Census Tract 5026.01, Santa Clara County, California",124539,0.1368765926465235,0
"06085504411, CA",6085504411,06085504411,Not Designated,San Jose,3.39,"Census Tract 5044.11, Santa Clara County, California",100701,0.1918204849800941,0.009048136083966703
"06085503331, CA",6085503331,06085503331,Not Designated,San Jose,3.49,"Census Tract 5033.31, Santa Clara County, California",86705,0.2247995418098511,0.052691867124856816
"06085503002, CA",6085503002,06085503002,Not Designated,San Jose,3.38,"Census Tract 5030.02, Santa Clara County, California",116e3,0.25672645739910316,0.04344170403587444
"06085503601, CA",6085503601,06085503601,Designated Qualified Opportunity Zone,San Jose,3.79,"Census Tract 5036.01, Santa Clara County, California",51910,0.5424304141208418,0
"06085504102, CA",6085504102,06085504102,Not Designated,San Jose,4.16,"Census Tract 5041.02, Santa Clara County, California",73958,0.7573770491803279,0.01
"06085500600, CA",6085500600,06085500600,Not Designated,San Jose,3.3,"Census Tract 5006, Santa Clara County, California",93547,0.23020329138431753,0.060406582768635045
"06085512025, CA",6085512025,06085512025,Not Designated,San Jose,3.34,"Census Tract 5120.25, Santa Clara County, California",105491,0.18494220556076227,0.0471727585129647
"06085503207, CA",6085503207,06085503207,Not Designated,San Jose,3.56,"Census Tract 5032.07, Santa Clara County, California",97250,0.1508600650860065,0.03091585309158531
"06085506401, CA",6085506401,06085506401,Not Designated,San Jose,3.45,"Census Tract 5064.01, Santa Clara County, California",86056,0.2668071250718253,0.06876077379812297
"06085502909, CA",6085502909,06085502909,Not Designated,San Jose,3.55,"Census Tract 5029.09, Santa Clara County, California",91571,0.29929707732149463,0.033296337402885685
"06085506603, CA",6085506603,06085506603,Not Designated,San Jose,3.65,"Census Tract 5066.03, Santa Clara County, California",121833,0.13636363636363635,0.008898508898508899
"06085507904, CA",6085507904,06085507904,Not Designated,San Jose,3.26,"Census Tract 5079.04, Santa Clara County, California",185192,0.025925925925925925,0.010802469135802469
"06085504323, CA",6085504323,06085504323,Not Designated,San Jose,3.34,"Census Tract 5043.23, Santa Clara County, California",96250,0.11213872832369942,0.007431874483897605
"06085511905, CA",6085511905,06085511905,Not Designated,San Jose,3.26,"Census Tract 5119.05, Santa Clara County, California",135972,0.09805153991200503,0
"06085502907, CA",6085502907,06085502907,Not Designated,San Jose,3.27,"Census Tract 5029.07, Santa Clara County, California",133598,0.15828285488543586,0.019489070318672638
"06085501102, CA",6085501102,06085501102,Not Designated,San Jose,3.67,"Census Tract 5011.02, Santa Clara County, California",82228,0.6201738427329695,0.022437841115827774
"06085502301, CA",6085502301,06085502301,Not Designated,San Jose,3.33,"Census Tract 5023.01, Santa Clara County, California",123942,0.1569239500567537,0.03887627695800227
"06085512030, CA",6085512030,06085512030,Not Designated,San Jose,3.39,"Census Tract 5120.30, Santa Clara County, California",135078,0.22266401590457258,0.028495692511597084
"06085501600, CA",6085501600,06085501600,Designated Qualified Opportunity Zone,San Jose,3.45,"Census Tract 5016, Santa Clara County, California",54269,0.4075588774502891,0.05105062755605697
"06085503708, CA",6085503708,06085503708,Not Designated,San Jose,3.81,"Census Tract 5037.08, Santa Clara County, California",71157,0.22095238095238096,0.01638095238095238
"06085503602, CA",6085503602,06085503602,Not Designated,San Jose,4.04,"Census Tract 5036.02, Santa Clara County, California",49796,0.6286204268292683,0.04801829268292683
"06085504317, CA",6085504317,06085504317,Not Designated,San Jose,3.74,"Census Tract 5043.17, Santa Clara County, California",102404,0.08677855096193204,0.0018419975440032747
"06085502910, CA",6085502910,06085502910,Not Designated,San Jose,3.55,"Census Tract 5029.10, Santa Clara County, California",86445,0.2513274336283186,0.009144542772861357
"06085503329, CA",6085503329,06085503329,Not Designated,San Jose,3.18,"Census Tract 5033.29, Santa Clara County, California",170071,0.12880434782608696,0.025815217391304348
"06085503208, CA",6085503208,06085503208,Not Designated,San Jose,3.88,"Census Tract 5032.08, Santa Clara County, California",87917,0.6364812419146184,0.023070288917636912
"06085503116, CA",6085503116,06085503116,Not Designated,San Jose,3.19,"Census Tract 5031.16, Santa Clara County, California",67197,0.12106446776611694,0.004872563718140929
"06085504001, CA",6085504001,06085504001,Not Designated,San Jose,3.93,"Census Tract 5040.01, Santa Clara County, California",66875,0.7464297048556015,0.015074579498571881
"06085503112, CA",6085503112,06085503112,Not Designated,San Jose,3.13,"Census Tract 5031.12, Santa Clara County, California",54048,0.5006435006435006,0.03474903474903475
"06085503323, CA",6085503323,06085503323,Not Designated,San Jose,3.78,"Census Tract 5033.23, Santa Clara County, California",110216,0.33992689744141047,0.04966673833584175
"06085502202, CA",6085502202,06085502202,Not Designated,San Jose,3.19,"Census Tract 5022.02, Santa Clara County, California",104643,0.18535539215686275,0.003676470588235294
"06085511915, CA",6085511915,06085511915,Not Designated,San Jose,3.52,"Census Tract 5119.15, Santa Clara County, California",50781,0.3735725938009788,0.10630777596519848
"06085503504, CA",6085503504,06085503504,Not Designated,San Jose,4.33,"Census Tract 5035.04, Santa Clara County, California",71404,0.7326717320514808,0.0021708792060784617
"06085503325, CA",6085503325,06085503325,Not Designated,San Jose,3.62,"Census Tract 5033.25, Santa Clara County, California",115625,0.20963461931006327,0.009797917942437232
"06085504410, CA",6085504410,06085504410,Not Designated,San Jose,3.46,"Census Tract 5044.10, Santa Clara County, California",87647,0.11905781584582441,0.042184154175588864
"06085504316, CA",6085504316,06085504316,Not Designated,San Jose,3.45,"Census Tract 5043.16, Santa Clara County, California",100536,0.20829476022958712,0.036104425106461766
"06085503213, CA",6085503213,06085503213,Not Designated,San Jose,3.96,"Census Tract 5032.13, Santa Clara County, California",42500,0.3291082944185012,0.00355792750722704
"06085501700, CA",6085501700,06085501700,Not Designated,San Jose,3.95,"Census Tract 5017, Santa Clara County, California",39780,0.8167202572347267,0.009043408360128617
"06085506304, CA",6085506304,06085506304,Not Designated,San Jose,3.6,"Census Tract 5063.04, Santa Clara County, California",78147,0.3170856849666496,0.023430819223533437
"06085506305, CA",6085506305,06085506305,Not Designated,San Jose,3.14,"Census Tract 5063.05, Santa Clara County, California",51161,0.3565766294773928,0.11112742219612448
"06085512053, CA",6085512053,06085512053,Not Designated,San Jose,3.35,"Census Tract 5120.53, Santa Clara County, California",85495,0.3445635528330781,0.07613213738788012
"06085506203, CA",6085506203,06085506203,Not Designated,San Jose,3.38,"Census Tract 5062.03, Santa Clara County, California",89583,0.1428785382656882,0.03504567919724427
"06085503509, CA",6085503509,06085503509,Not Designated,San Jose,3.8,"Census Tract 5035.09, Santa Clara County, California",86181,0.586046511627907,0.024806201550387597
"06085512019, CA",6085512019,06085512019,Not Designated,San Jose,3.51,"Census Tract 5120.19, Santa Clara County, California",102595,0.25387438825448616,0.07300163132137032
"06085503211, CA",6085503211,06085503211,Not Designated,San Jose,4.04,"Census Tract 5032.11, Santa Clara County, California",78287,0.2563884156729131,0.012137989778534924
"06085512020, CA",6085512020,06085512020,Not Designated,San Jose,3.63,"Census Tract 5120.20, Santa Clara County, California",85123,0.3407427487123882,0.01152073732718894
"06085503803, CA",6085503803,06085503803,Not Designated,San Jose,3.56,"Census Tract 5038.03, Santa Clara County, California",83173,0.14096916299559473,0.011537654709460877
"06085504002, CA",6085504002,06085504002,Not Designated,San Jose,3.97,"Census Tract 5040.02, Santa Clara County, California",57188,0.6541053921568627,0.017463235294117647
"06085512034, CA",6085512034,06085512034,Not Designated,San Jose,3.49,"Census Tract 5120.34, Santa Clara County, California",117841,0.3318804483188045,0.007783312577833126
"06085503510, CA",6085503510,06085503510,Not Designated,San Jose,3.93,"Census Tract 5035.10, Santa Clara County, California",56051,0.7144267149202171,0.027800625102812962
"06085512022, CA",6085512022,06085512022,Not Designated,San Jose,3.57,"Census Tract 5120.22, Santa Clara County, California",64231,0.40336711905170936,0.04758632537364714
"06085501401, CA",6085501401,06085501401,Designated Qualified Opportunity Zone,San Jose,3.49,"Census Tract 5014.01, Santa Clara County, California",44052,0.7169597277368123,0.03516732841747022
"06085500400, CA",6085500400,06085500400,Not Designated,San Jose,3.32,"Census Tract 5004, Santa Clara County, California",66354,0.3868431940422011,0.024824162184526273
"06085506605, CA",6085506605,06085506605,Not Designated,San Jose,3.48,"Census Tract 5066.05, Santa Clara County, California",79345,0.27290353853611243,0.02593310712554532
"06085503508, CA",6085503508,06085503508,Not Designated,San Jose,4.07,"Census Tract 5035.08, Santa Clara County, California",67180,0.7122322435174746,0.0346674182638106
"06085503506, CA",6085503506,06085503506,Not Designated,San Jose,4.06,"Census Tract 5035.06, Santa Clara County, California",60733,0.6142164781906301,0.012116316639741519
"06085512037, CA",6085512037,06085512037,Not Designated,San Jose,3.66,"Census Tract 5120.37, Santa Clara County, California",119886,0.23871951219512194,0.019817073170731708
"06085502201, CA",6085502201,06085502201,Not Designated,San Jose,3.19,"Census Tract 5022.01, Santa Clara County, California",57667,0.3185419968304279,0.0655525140469673
"06085512023, CA",6085512023,06085512023,Not Designated,San Jose,3.34,"Census Tract 5120.23, Santa Clara County, California",78100,0.4661471018022406,0.11462899821399578
"06085503711, CA",6085503711,06085503711,Not Designated,San Jose,4,"Census Tract 5037.11, Santa Clara County, California",65703,0.8109684947491248,0.003500583430571762
"06085504320, CA",6085504320,06085504320,Not Designated,San Jose,3.58,"Census Tract 5043.20, Santa Clara County, California",110875,0.05967005967005967,0.016848016848016848
"06085503111, CA",6085503111,06085503111,Not Designated,San Jose,4.21,"Census Tract 5031.11, Santa Clara County, California",84076,0.4470230169298079,0.0374738443979456
"06085503903, CA",6085503903,06085503903,Not Designated,San Jose,3.67,"Census Tract 5039.03, Santa Clara County, California",65250,0.5215337593776049,0.020839121978327314
"06085503336, CA",6085503336,06085503336,Not Designated,San Jose,3.65,"Census Tract 5033.36, Santa Clara County, California",88681,0.4021304926764314,0.02822902796271638
"06085512043, CA",6085512043,06085512043,Not Designated,San Jose,3.76,"Census Tract 5120.43, Santa Clara County, California",51e3,0.6224637681159421,0.051594202898550726
"06085503709, CA",6085503709,06085503709,Not Designated,San Jose,3.84,"Census Tract 5037.09, Santa Clara County, California",29545,0.3882933469457206,0.012761613067891782
"06085502002, CA",6085502002,06085502002,Not Designated,San Jose,3.65,"Census Tract 5020.02, Santa Clara County, California",46046,0.6656948493683188,0.03770651117589893
"06085506501, CA",6085506501,06085506501,Not Designated,San Jose,3.24,"Census Tract 5065.01, Santa Clara County, California",49539,0.46462052138179016,0.04122255040452035
"06085501502, CA",6085501502,06085501502,Not Designated,San Jose,3.25,"Census Tract 5015.02, Santa Clara County, California",63516,0.6775873291386418,0.022347580820134518
"06085503402, CA",6085503402,06085503402,Not Designated,San Jose,3.82,"Census Tract 5034.02, Santa Clara County, California",54221,0.6587848932676519,0.010180623973727421
"06085501200, CA",6085501200,06085501200,Not Designated,San Jose,3.56,"Census Tract 5012, Santa Clara County, California",69583,0.5539456085599643,0.03566651805617477
"06085503511, CA",6085503511,06085503511,Not Designated,San Jose,4.15,"Census Tract 5035.11, Santa Clara County, California",97862,0.4196850393700787,0.027559055118110236
"06085503324, CA",6085503324,06085503324,Not Designated,San Jose,3.21,"Census Tract 5033.24, Santa Clara County, California",114643,0.14643652561247217,0.026169265033407572
"06085512036, CA",6085512036,06085512036,Not Designated,San Jose,3.39,"Census Tract 5120.36, Santa Clara County, California",102200,0.24458715596330274,0.03614678899082569
"06085501000, CA",6085501e3,06085501000,Designated Qualified Opportunity Zone,San Jose,3.33,"Census Tract 5010, Santa Clara County, California",37988,0.48956315902732944,0.03744351194318916
"06085503110, CA",6085503110,06085503110,Designated Qualified Opportunity Zone,San Jose,3.43,"Census Tract 5031.10, Santa Clara County, California",44780,0.6713081714913888,0.01282521069989007
"06085503707, CA",6085503707,06085503707,Not Designated,San Jose,3.99,"Census Tract 5037.07, Santa Clara County, California",81977,0.5358405657344906,0.04178720668595307
"06085503337, CA",6085503337,06085503337,Not Designated,San Jose,3.14,"Census Tract 5033.37, Santa Clara County, California",82946,0.24386339381003203,0.030416221985058698
"06085503401, CA",6085503401,06085503401,Designated Qualified Opportunity Zone,San Jose,4,"Census Tract 5034.01, Santa Clara County, California",60455,0.7325731497418244,0.007314974182444062
"06085501300, CA",6085501300,06085501300,Not Designated,San Jose,3.3,"Census Tract 5013, Santa Clara County, California",82019,0.26907103825136613,0.06316939890710382
"06085500901, CA",6085500901,06085500901,Designated Qualified Opportunity Zone,San Jose,3.23,"Census Tract 5009.01, Santa Clara County, California",61458,0.18331692913385828,0.0703740157480315
"06085503113, CA",6085503113,06085503113,Not Designated,San Jose,3.69,"Census Tract 5031.13, Santa Clara County, California",55331,0.8172214470799283,0.0281044448873829
"06085503123, CA",6085503123,06085503123,Not Designated,San Jose,3.49,"Census Tract 5031.23, Santa Clara County, California",43785,0.42223368583956666,0.07299458344080474
"06085503703, CA",6085503703,06085503703,Not Designated,San Jose,3.93,"Census Tract 5037.03, Santa Clara County, California",60877,0.7023593466424682,0.047867513611615245
"06085502302, CA",6085502302,06085502302,Not Designated,San Jose,3.35,"Census Tract 5023.02, Santa Clara County, California",83507,0.24493423391397084,0.009242801279772485
"06085501101, CA",6085501101,06085501101,Not Designated,San Jose,3.16,"Census Tract 5011.01, Santa Clara County, California",71852,0.40354718633676373,0.07948324939785417
"06085503712, CA",6085503712,06085503712,Not Designated,San Jose,3.35,"Census Tract 5037.12, Santa Clara County, California",31903,0.46779744346116026,0.014503441494591937
"06085512042, CA",6085512042,06085512042,Not Designated,San Jose,3.63,"Census Tract 5120.42, Santa Clara County, California",68500,0.41936632253470985,0.04485582057671769
"06085501501, CA",6085501501,06085501501,Not Designated,San Jose,3.84,"Census Tract 5015.01, Santa Clara County, California",41308,0.6708418891170431,0.011498973305954825
"06085503710, CA",6085503710,06085503710,Not Designated,San Jose,4.1,"Census Tract 5037.10, Santa Clara County, California",31667,0.6280155642023346,0.005706874189364461
"06085503217, CA",6085503217,06085503217,Not Designated,San Jose,3.94,"Census Tract 5032.17, Santa Clara County, California",63258,0.6930308604128347,0.020846106683016553
"06085503218, CA",6085503218,06085503218,Not Designated,San Jose,4.61,"Census Tract 5032.18, Santa Clara County, California",41086,0.8026851098454028,0
"06085503118, CA",6085503118,06085503118,Not Designated,San Jose,3.48,"Census Tract 5031.18, Santa Clara County, California",66056,0.468573510657679,0.05155766077609765
"06085501402, CA",6085501402,06085501402,Not Designated,San Jose,3.46,"Census Tract 5014.02, Santa Clara County, California",46644,0.7409436834094368,0.01004566210045662
"06085503117, CA",6085503117,06085503117,Not Designated,San Jose,3.98,"Census Tract 5031.17, Santa Clara County, California",48636,0.5378447722899294,0.012508017960230917
"06085503713, CA",6085503713,06085503713,Not Designated,San Jose,3.44,"Census Tract 5037.13, Santa Clara County, California",29390,0.5822222222222222,0.02126984126984127
"06085503507, CA",6085503507,06085503507,Not Designated,San Jose,4.5,"Census Tract 5035.07, Santa Clara County, California",104219,0.7769472856018883,0.02006294256490952
"06085500902, CA",6085500902,06085500902,Not Designated,San Jose,N/A,"Census Tract 5009.02, Santa Clara County, California",30682,0.25621850105673877,0.06779385465777922
"06001409000, CA",6001409e3,06001409000,Designated Qualified Opportunity Zone,Oakland,3.19,"Census Tract 4090, Alameda County, California",44125,0.5322494669509595,0.34914712153518124
"06001401700, CA",6001401700,06001401700,Designated Qualified Opportunity Zone,Oakland,3.07,"Census Tract 4017, Alameda County, California",66308,0.3142963792459873,0.23964165733482642
"06001408100, CA",6001408100,06001408100,Not Designated,Oakland,3.11,"Census Tract 4081, Alameda County, California",103670,0.1117140121289499,0.22438557293329078
"06001410000, CA",600141e4,06001410000,Not Designated,Oakland,3.51,"Census Tract 4100, Alameda County, California",107083,0.06358560794044665,0.43858560794044665
"06001400100, CA",6001400100,06001400100,Not Designated,Oakland,3.01,"Census Tract 4001, Alameda County, California",177417,0.027501656726308814,0.030483764082173626
"06001981900, CA",6001981900,06001981900,Not Designated,Oakland,N/A,"Census Tract 9819, Alameda County, California",105714,0,0
"06001404600, CA",6001404600,06001404600,Not Designated,Oakland,3.31,"Census Tract 4046, Alameda County, California",163322,0.03772716816195077,0.04646882907752473
"06001409900, CA",6001409900,06001409900,Not Designated,Oakland,3.37,"Census Tract 4099, Alameda County, California",97689,0.14728906929544797,0.46941142360104376
"06001404400, CA",6001404400,06001404400,Not Designated,Oakland,3.04,"Census Tract 4044, Alameda County, California",150074,0.06624722427831237,0.020355292376017766
"06001404502, CA",6001404502,06001404502,Not Designated,Oakland,3.1,"Census Tract 4045.02, Alameda County, California",133068,0.08125115676476032,0.049046825837497685
"06001404200, CA",6001404200,06001404200,Not Designated,Oakland,3.16,"Census Tract 4042, Alameda County, California",169519,0.049589041095890414,0.13561643835616438
"06001406000, CA",6001406e3,06001406000,Designated Qualified Opportunity Zone,Oakland,2.93,"Census Tract 4060, Alameda County, California",30909,0.1006672468813461,0.17812590658543662
"06001407300, CA",6001407300,06001407300,Designated Qualified Opportunity Zone,Oakland,3.59,"Census Tract 4073, Alameda County, California",53214,0.5365853658536586,0.10635745701719312
"06001406100, CA",6001406100,06001406100,Designated Qualified Opportunity Zone,Oakland,2.85,"Census Tract 4061, Alameda County, California",44485,0.6148914167528439,0.0860392967942089
"06001408000, CA",6001408e3,06001408000,Not Designated,Oakland,3.08,"Census Tract 4080, Alameda County, California",158917,0.11683096020445419,0.1661190215407083
"06001404300, CA",6001404300,06001404300,Not Designated,Oakland,3.16,"Census Tract 4043, Alameda County, California",193523,0.10753980174226495,0.04956443376389306
"06001409800, CA",6001409800,06001409800,Not Designated,Oakland,3.47,"Census Tract 4098, Alameda County, California",63598,0.15248447204968943,0.5624223602484472
"06001406700, CA",6001406700,06001406700,Not Designated,Oakland,3.13,"Census Tract 4067, Alameda County, California",73167,0.13443348762326424,0.11390621855504125
"06001982000, CA",6001982e3,06001982000,Not Designated,Oakland,3.13,"Census Tract 9820, Alameda County, California",160417,0.25862068965517243,0
"06001408300, CA",6001408300,06001408300,Not Designated,Oakland,3.58,"Census Tract 4083, Alameda County, California",81695,0.20915165013160558,0.4201255314841061
"06001405100, CA",6001405100,06001405100,Not Designated,Oakland,3.09,"Census Tract 4051, Alameda County, California",182153,0.03188745603751465,0.16014067995310668
"06001403400, CA",6001403400,06001403400,Not Designated,Oakland,2.59,"Census Tract 4034, Alameda County, California",51172,0.08623853211009175,0.2194954128440367
"06001409400, CA",6001409400,06001409400,Not Designated,Oakland,3.37,"Census Tract 4094, Alameda County, California",39189,0.5851063829787234,0.25
"06001407800, CA",6001407800,06001407800,Not Designated,Oakland,3.68,"Census Tract 4078, Alameda County, California",80368,0.16476645825671202,0.302317028319235
"06001404700, CA",6001404700,06001404700,Not Designated,Oakland,2.85,"Census Tract 4047, Alameda County, California",159107,0.07756232686980609,0.05263157894736842
"06001408800, CA",6001408800,06001408800,Designated Qualified Opportunity Zone,Oakland,3.82,"Census Tract 4088, Alameda County, California",23598,0.5452110901071203,0.29930686830497794
"06001401000, CA",6001401e3,06001401000,Designated Qualified Opportunity Zone,Oakland,3.79,"Census Tract 4010, Alameda County, California",51073,0.22283222993702567,0.3321492007104796
"06001408700, CA",6001408700,06001408700,Designated Qualified Opportunity Zone,Oakland,3.65,"Census Tract 4087, Alameda County, California",43649,0.49690641918020106,0.411317349832431
"06001404501, CA",6001404501,06001404501,Not Designated,Oakland,3.23,"Census Tract 4045.01, Alameda County, California",181484,0.08169934640522876,0.04411764705882353
"06001400300, CA",6001400300,06001400300,Not Designated,Oakland,3.1,"Census Tract 4003, Alameda County, California",85313,0.07372039724980901,0.11573720397249809
"06001407900, CA",6001407900,06001407900,Not Designated,Oakland,3.4,"Census Tract 4079, Alameda County, California",100927,0.12317192070198245,0.18069548261293467
"06001409300, CA",6001409300,06001409300,Not Designated,Oakland,3.29,"Census Tract 4093, Alameda County, California",34830,0.6004813477737665,0.2954271961492178
"06001408600, CA",6001408600,06001408600,Designated Qualified Opportunity Zone,Oakland,3.91,"Census Tract 4086, Alameda County, California",30696,0.5589637635092181,0.3205657978385251
"06001403300, CA",6001403300,06001403300,Designated Qualified Opportunity Zone,Oakland,2.99,"Census Tract 4033, Alameda County, California",52246,0.07597980283722049,0.09641740803077663
"06001407600, CA",6001407600,06001407600,Not Designated,Oakland,3.63,"Census Tract 4076, Alameda County, California",53300,0.28368240075023443,0.4048140043763676
"06001404900, CA",6001404900,06001404900,Not Designated,Oakland,3.33,"Census Tract 4049, Alameda County, California",84375,0.1146433041301627,0.10588235294117647
"06001407700, CA",6001407700,06001407700,Not Designated,Oakland,3.57,"Census Tract 4077, Alameda County, California",70938,0.12676382142030998,0.4774462179042332
"06001406800, CA",6001406800,06001406800,Not Designated,Oakland,3,"Census Tract 4068, Alameda County, California",94167,0.1435544071202986,0.11627906976744186
"06001408200, CA",6001408200,06001408200,Not Designated,Oakland,3.81,"Census Tract 4082, Alameda County, California",51135,0.1617011052378664,0.5088899567515618
"06001401100, CA",6001401100,06001401100,Not Designated,Oakland,3.22,"Census Tract 4011, Alameda County, California",71205,0.10995650072498792,0.16167230546157563
"06001400700, CA",6001400700,06001400700,Not Designated,Oakland,3.47,"Census Tract 4007, Alameda County, California",46424,0.16520210896309315,0.3714850615114236
"06001406900, CA",6001406900,06001406900,Not Designated,Oakland,2.95,"Census Tract 4069, Alameda County, California",65556,0.13888192529456003,0.19879669089997493
"06001407000, CA",6001407e3,06001407000,Not Designated,Oakland,3.31,"Census Tract 4070, Alameda County, California",43125,0.30227041680786176,0.18502202643171806
"06001401300, CA",6001401300,06001401300,Not Designated,Oakland,3.01,"Census Tract 4013, Alameda County, California",37123,0.1272635814889336,0.3241951710261569
"06001405200, CA",6001405200,06001405200,Not Designated,Oakland,2.87,"Census Tract 4052, Alameda County, California",75417,0.1655226515002942,0.10806040400078447
"06001409500, CA",6001409500,06001409500,Designated Qualified Opportunity Zone,Oakland,4.16,"Census Tract 4095, Alameda County, California",31682,0.6071757129714811,0.28081876724931004
"06001408500, CA",6001408500,06001408500,Designated Qualified Opportunity Zone,Oakland,3.94,"Census Tract 4085, Alameda County, California",47841,0.6097094136070994,0.305898729772055
"06001405000, CA",6001405e3,06001405000,Not Designated,Oakland,3.12,"Census Tract 4050, Alameda County, California",122237,0.0769704433497537,0.09482758620689655
"06001409700, CA",6001409700,06001409700,Designated Qualified Opportunity Zone,Oakland,3.56,"Census Tract 4097, Alameda County, California",38357,0.5053704715091936,0.4012379391953395
"06001408900, CA",6001408900,06001408900,Designated Qualified Opportunity Zone,Oakland,4.37,"Census Tract 4089, Alameda County, California",26379,0.6051529790660225,0.27375201288244766
"06001410100, CA",6001410100,06001410100,Not Designated,Oakland,3.65,"Census Tract 4101, Alameda County, California",59239,0.17227505486466715,0.6294806144842722
"06001401400, CA",6001401400,06001401400,Designated Qualified Opportunity Zone,Oakland,3.98,"Census Tract 4014, Alameda County, California",25985,0.27872444011684516,0.3943524829600779
"06001406601, CA",6001406601,06001406601,Not Designated,Oakland,3.48,"Census Tract 4066.01, Alameda County, California",48467,0.26618407445708375,0.28852119958634953
"06001409600, CA",6001409600,06001409600,Not Designated,Oakland,3.93,"Census Tract 4096, Alameda County, California",37349,0.6382407598595912,0.2659508569068759
"06001406500, CA",6001406500,06001406500,Not Designated,Oakland,3.41,"Census Tract 4065, Alameda County, California",41346,0.4873745056282324,0.16626102829327655
"06001410500, CA",6001410500,06001410500,Designated Qualified Opportunity Zone,Oakland,3.05,"Census Tract 4105, Alameda County, California",22596,0.08250108554059922,0.6248371689101172
