"County","FIPS Code","Formatted FIPS","Estimated percent of people with at least a Bachelor's degree, b"
"San Bernardino","06071","=""06071""","20.99"
"Inyo","06027","=""06027""","27.17"
"Kern","06029","=""06029""","16.38"
"Siskiyou","06093","=""06093""","23.18"
"Riverside","06065","=""06065""","22.31"
"Fresno","06019","=""06019""","21.17"
"Lassen","06035","=""06035""","12.95"
"Modoc","06049","=""06049""","15.19"
"Tulare","06107","=""06107""","14.63"
"Humboldt","06023","=""06023""","30.42"
"Los Angeles","06037","=""06037""","32.54"
"Shasta","06089","=""06089""","22.16"
"Mendocino","06045","=""06045""","24.44"
"San Diego","06073","=""06073""","38.81"
"Imperial","06025","=""06025""","15.22"
"Monterey","06053","=""06053""","24.71"
"Santa Barbara","06083","=""06083""","34.16"
"Trinity","06105","=""06105""","19.52"
"San Luis Obispo","06079","=""06079""","35.38"
"Tehama","06103","=""06103""","15.66"
"Mono","06051","=""06051""","28.82"
"Plumas","06063","=""06063""","23.70"
"Tuolumne","06109","=""06109""","20.51"
"Madera","06039","=""06039""","14.55"
"Ventura","06111","=""06111""","33.79"
"Merced","06047","=""06047""","13.79"
"El Dorado","06017","=""06017""","34.30"
"Sonoma","06097","=""06097""","35.51"
"Butte","06007","=""06007""","27.22"
"Placer","06061","=""06061""","39.71"
"Stanislaus","06099","=""06099""","17.07"
"Mariposa","06043","=""06043""","24.56"
"San Joaquin","06077","=""06077""","18.76"
"Glenn","06021","=""06021""","14.16"
"Del Norte","06015","=""06015""","14.80"
"Lake","06033","=""06033""","15.53"
"San Benito","06069","=""06069""","19.73"
"Kings","06031","=""06031""","14.67"
"Santa Clara","06085","=""06085""","52.40"
"Colusa","06011","=""06011""","15.00"
"Yolo","06113","=""06113""","41.42"
"Calaveras","06009","=""06009""","18.32"
"Nevada","06057","=""06057""","37.25"
"Sacramento","06067","=""06067""","30.85"
"Sierra","06091","=""06091""","17.93"
"Solano","06095","=""06095""","26.91"
"Orange","06059","=""06059""","40.59"
"Marin","06041","=""06041""","59.49"
"Alameda","06001","=""06001""","47.42"
"Contra Costa","06013","=""06013""","42.35"
"Napa","06055","=""06055""","35.73"
"Alpine","06003","=""06003""","34.55"
"San Mateo","06081","=""06081""","50.98"
"Yuba","06115","=""06115""","17.06"
"Sutter","06101","=""06101""","18.24"
"Amador","06005","=""06005""","19.27"
"Santa Cruz","06087","=""06087""","40.84"
"San Francisco","06075","=""06075""","58.06"

"Location: California (State)"

"County Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
